HOUSE 2ND DISTRICT (REP),Precinct,Voters,Trnout,Pct,Greg Walden,Paul A. Daglian,Over Votes,Under Votes,Write-ins,,,,,,
,101,210,56,26.67,44,8,0,2,2,,,,,,
,102,436,144,33.03,117,16,0,11,0,,,,,,
,103,610,170,27.87,155,10,0,5,0,,,,,,
,104,562,168,29.89,147,14,0,6,1,,,,,,
,105,420,118,28.1,98,12,0,8,0,,,,,,
,106,388,149,38.4,124,17,0,7,1,,,,,,
,107,226,78,34.51,72,2,0,4,0,,,,,,
,108,164,62,37.8,56,2,0,4,0,,,,,,
,109,150,75,50,59,5,0,11,0,,,,,,
,110,488,243,49.8,214,17,0,12,0,,,,,,
,111,572,222,38.81,206,5,0,9,2,,,,,,
,112,57,29,50.88,28,1,0,0,0,,,,,,
,113,315,130,41.27,111,7,0,12,0,,,,,,
,114,223,103,46.19,99,1,0,3,0,,,,,,
,115,163,71,43.56,63,5,0,3,0,,,,,,
,116,53,26,49.06,19,4,0,3,0,,,,,,
,117,85,34,40,26,4,0,4,0,,,,,,
,119,75,41,54.67,27,9,0,5,0,,,,,,
,120,528,257,48.67,207,23,0,26,1,,,,,,
,121,230,116,50.43,92,17,0,7,0,,,,,,
,123,321,151,47.04,123,7,0,21,0,,,,,,
,124,417,212,50.84,180,14,0,18,0,,,,,,
,125,249,88,35.34,72,7,0,9,0,,,,,,
,126,374,134,35.83,111,15,0,8,0,,,,,,
,127,207,103,49.76,95,7,0,1,0,,,,,,
,128,562,221,39.32,182,25,0,11,3,,,,,,
,129,318,95,29.87,79,4,0,12,0,,,,,,
,130,683,229,33.53,198,25,0,6,0,,,,,,
,131,242,119,49.17,94,9,0,16,0,,,,,,
,132,409,223,54.52,177,12,1,33,0,,,,,,
,133,309,159,51.46,131,7,0,20,1,,,,,,
,136,522,194,37.16,167,11,0,14,2,,,,,,
,137,401,146,36.41,120,12,0,14,0,,,,,,
,138,521,261,50.1,233,13,0,15,0,,,,,,
,139,557,328,58.89,292,14,0,22,0,,,,,,
,140,94,40,42.55,31,2,0,7,0,,,,,,
,141,421,230,54.63,208,6,0,16,0,,,,,,
,142,364,164,45.05,142,7,0,15,0,,,,,,
,143,449,173,38.53,147,15,0,11,0,,,,,,
,TOTAL,13375,5562,41.59,4746,391,1,411,13,,,,,,
GOVERNOR (REP),Precinct,Voters,Trnout,Pct,Kevin Mannix,W. Ames Curtright,Davis W. Beem,Bob Leonard Forthan,Jason A. Atkinson,Ron Saxton,William E. Spidal,Gordon Leitch,Over Votes,Write-ins,Under Votes
,101,210,56,26.67,9,3,1,0,15,21,0,1,0,1,5
,102,436,144,33.03,42,5,0,1,25,56,1,2,0,1,11
,103,610,170,27.87,62,4,0,1,26,62,1,1,0,0,13
,104,562,168,29.89,51,5,1,0,25,68,6,2,0,0,10
,105,420,118,28.1,39,6,1,1,17,35,4,6,0,3,6
,106,388,149,38.4,44,2,3,3,34,51,1,2,0,0,9
,107,226,78,34.51,24,1,0,0,12,33,1,2,0,1,4
,108,164,62,37.8,14,1,0,0,11,33,0,1,0,0,2
,109,150,75,50,24,1,0,0,20,22,1,1,0,0,6
,110,488,243,49.8,54,10,0,0,37,121,1,1,0,0,19
,111,572,222,38.81,51,7,3,0,40,99,6,1,0,5,10
,112,57,29,50.88,9,0,0,0,7,11,0,0,0,2,0
,113,315,130,41.27,44,1,0,0,19,52,2,0,0,4,8
,114,223,103,46.19,26,3,1,1,12,54,0,0,0,1,5
,115,163,71,43.56,17,3,0,1,8,36,0,0,0,1,5
,116,53,26,49.06,5,2,2,0,3,10,0,0,0,1,3
,117,85,34,40,6,3,0,0,11,12,2,0,0,0,0
,119,75,41,54.67,22,2,0,0,6,7,0,0,0,0,4
,120,528,257,48.67,79,14,3,0,43,77,1,7,1,2,30
,121,230,116,50.43,37,2,3,1,18,30,1,4,0,0,20
,123,321,151,47.04,41,7,1,0,14,58,1,1,0,1,27
,124,417,212,50.84,62,6,1,0,29,90,0,2,0,0,22
,125,249,88,35.34,29,5,0,2,17,24,1,0,0,1,9
,126,374,134,35.83,35,5,0,0,28,55,1,2,0,2,6
,127,207,103,49.76,36,2,1,1,16,37,2,0,0,2,6
,128,562,221,39.32,71,6,5,2,32,94,0,3,0,0,8
,129,318,95,29.87,24,4,1,2,22,28,0,1,0,1,12
,130,683,229,33.53,83,5,3,0,46,80,3,2,0,2,5
,131,242,119,49.17,50,7,4,1,17,23,2,4,1,1,9
,132,409,223,54.52,67,7,3,2,31,65,2,5,0,1,40
,133,309,159,51.46,49,6,0,2,23,43,4,5,0,2,25
,136,522,194,37.16,61,9,1,1,32,77,2,2,0,0,9
,137,401,146,36.41,33,5,1,0,18,71,1,3,0,4,10
,138,521,261,50.1,52,7,4,0,42,132,0,1,0,2,21
,139,557,328,58.89,65,2,0,0,68,154,1,0,0,5,33
,140,94,40,42.55,12,0,0,0,9,17,0,0,0,0,2
,141,421,230,54.63,74,7,1,2,37,86,0,1,0,3,19
,142,364,164,45.05,37,2,1,0,25,71,1,1,0,0,26
,143,449,173,38.53,37,3,1,0,35,77,1,2,0,0,17
,TOTALS,13375,5562,41.59,1577,170,46,24,930,2172,50,66,2,49,476
STATE HOUSE 57TH DISTRICT (REP),Precinct,Voters,Trnout,Pct,Greg Smith,Over Votes,Under Votes,Write-ins,,,,,,,
,101,65,13,20,8,0,4,1,,,,,,,
,103,36,11,30.56,10,0,1,0,,,,,,,
,106,8,3,37.5,3,0,0,0,,,,,,,
,107,90,27,30,25,0,2,0,,,,,,,
,110,103,50,48.54,36,0,13,1,,,,,,,
,112,0,0,0,0,0,0,0,,,,,,,
,114,98,42,42.86,37,0,5,0,,,,,,,
,115,77,25,32.47,20,0,5,0,,,,,,,
,116,13,4,30.77,2,0,2,0,,,,,,,
,117,85,34,40,28,0,6,0,,,,,,,
,119,75,41,54.67,24,0,17,0,,,,,,,
,120,528,257,48.68,208,0,48,1,,,,,,,
,121,230,116,50.44,92,0,24,0,,,,,,,
,123,321,151,47.04,120,0,31,0,,,,,,,
,124,5,6,120,3,0,3,0,,,,,,,
,125,131,49,37.41,45,0,4,0,,,,,,,
,131,242,119,49.17,94,0,25,0,,,,,,,
,132,409,223,54.52,180,0,43,0,,,,,,,
,133,309,159,51.46,136,0,23,0,,,,,,,
,TOTAL,2825,1330,47.08,1071,0,256,3,,,,,,,
STATE HOUSE 58TH DISTRICT (REP),Precinct,Voters,Trnout,Pct,Bob Jenson,Over Votes,Under Votes,Write-ins,,,,,,,
,101,145,43,26.66,36,0,7,0,,,,,,,
,102,436,144,33.03,117,0,27,0,,,,,,,
,103,574,159,27.7,127,0,29,3,,,,,,,
,104,562,168,29.89,137,0,26,5,,,,,,,
,105,420,118,28.1,99,0,18,1,,,,,,,
,106,380,146,38.42,122,0,22,2,,,,,,,
,107,136,51,37.5,46,0,5,0,,,,,,,
,108,164,62,37.81,57,0,5,0,,,,,,,
,109,150,75,50,63,0,10,2,,,,,,,
,110,385,193,50.13,158,0,32,3,,,,,,,
,111,572,222,38.81,194,0,28,0,,,,,,,
,112,57,29,50.88,24,0,5,0,,,,,,,
,113,315,130,41.27,103,0,27,0,,,,,,,
,114,125,61,48.8,51,0,10,0,,,,,,,
,115,86,46,53.49,42,0,3,1,,,,,,,
,116,40,22,55,19,0,3,0,,,,,,,
,124,412,206,50,169,0,37,0,,,,,,,
,125,118,39,33.05,26,0,13,0,,,,,,,
,126,374,134,35.83,115,0,18,1,,,,,,,
,127,207,103,49.76,82,0,21,0,,,,,,,
,128,562,221,39.32,190,0,31,0,,,,,,,
,129,318,95,29.88,80,0,15,0,,,,,,,
,130,683,229,33.53,199,0,28,2,,,,,,,
,136,522,194,37.17,163,0,30,1,,,,,,,
,137,401,146,36.41,114,0,30,2,,,,,,,
,138,521,261,50.1,217,0,43,1,,,,,,,
,139,557,328,58.89,277,0,49,2,,,,,,,
,140,94,40,42.55,29,0,11,0,,,,,,,
,141,421,230,54.63,182,0,45,3,,,,,,,
,142,364,164,45.06,140,0,24,0,,,,,,,
,143,449,173,38.53,132,0,41,0,,,,,,,
,TOTAL,10550,4232,40.11,3510,0,693,29,,,,,,,
HOUSE 2ND DISTRICT (DEM),Precinct,Voters,Trnout,Pct,"Charles H. Butcher, III",Scott Silver,Dan Davis,Carol Voisin,Over Votes,Under Votes,Write-ins,,,,
,101,153,45,29.41,7,4,11,12,0,11,0,,,,
,102,455,132,29.01,10,19,40,40,0,23,0,,,,
,103,317,107,33.75,11,6,25,36,0,28,1,,,,
,104,408,125,30.64,14,19,29,33,0,26,4,,,,
,105,375,85,22.67,4,9,26,28,0,15,3,,,,
,106,350,113,32.29,18,9,20,39,0,25,2,,,,
,107,140,45,32.14,4,5,9,14,0,12,1,,,,
,108,57,27,47.37,4,1,4,9,0,9,0,,,,
,109,41,19,46.34,0,0,6,7,0,6,0,,,,
,110,235,123,52.34,4,4,18,35,0,58,3,,,,
,111,621,208,33.49,13,25,42,56,1,70,2,,,,
,112,21,11,52.38,3,0,3,2,0,3,0,,,,
,113,205,89,43.41,10,6,12,31,0,28,2,,,,
,114,74,31,18.89,1,5,4,11,0,9,1,,,,
,115,66,35,59.03,6,2,6,8,0,13,0,,,,
,116,62,19,30.65,1,0,4,7,0,7,0,,,,
,117,33,15,45.45,0,3,2,6,0,4,0,,,,
,119,42,24,57.14,2,3,4,9,0,6,0,,,,
,120,274,141,51.46,14,7,39,23,0,55,3,,,,
,121,138,60,43.48,4,7,15,20,0,13,1,,,,
,123,181,91,50.28,6,11,18,25,0,31,0,,,,
