SENATOR (DEM),Precinct,Voters,Trnout,Pct,BILL BRADBURY,CRAIG HANSON,GREG HAVEN,Under Votes,Over Votes,Write-ins
,0156,27,13,48.15%,13,0,0,0,0,0
,0158,21,13,61.90%,13,0,0,0,0,0
,0543,17,5,29.41%,4,0,0,1,0,0
,0547,15,6,40.00%,3,0,0,3,0,0
,0548,15,5,33.33%,5,0,0,0,0,0
,0601,0,0,0.00%,0,0,0,0,0,0
,1002,365,204,55.89%,171,9,4,20,0,0
,1013,2315,1544,66.70%,1387,26,12,115,1,3
,1025,1660,794,47.83%,643,27,31,84,2,7
,1045,113,84,74.34%,75,1,0,6,0,2
,1053,1028,414,40.27%,356,16,5,37,0,0
,1103,1480,740,50.00%,619,40,17,57,1,6
,1156,1436,977,68.04%,886,16,4,70,1,0
,1170,1782,1216,68.24%,1101,12,10,86,1,6
,1183,1012,612,60.47%,544,12,5,48,0,3
,1205,1860,1094,58.82%,936,39,14,98,1,6
,1211,1071,720,67.23%,622,19,12,62,0,5
,1213,1377,901,65.43%,759,26,11,102,0,3
,1222,1920,1250,65.10%,1053,40,12,138,4,3
,1224,1662,1144,68.83%,1012,24,8,91,3,6
,1226,1110,750,67.57%,654,12,4,77,1,2
,1230,2036,1250,61.39%,1057,30,13,139,0,11
,1238,1039,591,56.88%,490,24,16,55,1,5
,1240,734,486,66.21%,428,9,4,42,0,3
,1245,2137,1338,62.61%,1137,31,25,136,0,9
,1315,1510,813,53.84%,699,31,14,63,1,5
,1321,771,459,59.53%,404,7,3,43,0,2
,1400,613,341,55.63%,299,6,4,29,1,2
,1500,251,143,56.97%,122,1,5,14,1,0
,1504,696,436,62.64%,362,32,9,30,1,2
,1505,238,153,64.29%,116,10,8,15,1,3
,1507,131,88,67.18%,82,0,0,6,0,0
,1515,424,291,68.63%,252,10,5,22,1,1
,1546,366,257,70.22%,216,4,5,26,2,4
,2002,1877,785,41.82%,528,77,55,108,7,10
,2026,1926,812,42.16%,578,87,35,96,4,12
,2029,2048,944,46.09%,703,80,48,101,2,10
,2077,2331,1250,53.63%,925,122,59,132,3,9
,2086,2117,971,45.87%,738,73,25,123,2,10
,2099,1946,764,39.26%,572,53,27,101,3,8
,2100,2122,1180,55.61%,868,112,35,154,3,8
,2114,1914,1057,55.22%,842,79,26,96,3,11
,2143,1076,529,49.16%,405,35,16,63,0,10
,3000,1674,837,50.00%,630,61,26,111,2,7
,3002,2027,1029,50.76%,801,51,39,120,2,16
,3004,1766,679,38.45%,467,62,35,104,2,9
,3008,2250,1169,51.96%,903,71,31,152,1,11
,3058,2209,1028,46.54%,820,46,32,117,1,12
,3097,2250,1066,47.38%,892,45,23,97,1,8
,3113,2092,1386,66.25%,1234,27,7,103,3,12
,3128,2143,1477,68.92%,1283,34,19,129,4,8
,3144,1777,1305,73.44%,1146,17,16,120,1,5
