President (DEM),Precinct,Hillary Clinton,Barack Obama,WI,OV,UV,,,,,
,6,56,1,0,37,,,,,,
,7,73,4,0,63,,,,,,
,8,121,3,0,65,,,,,,
,9,58,1,0,62,,,,,,
,10,21,0,0,15,,,,,,
,11,79,1,0,60,,,,,,
,12,9,0,0,5,,,,,,
,13,6,0,0,5,,,,,,
,14,44,1,0,22,,,,,,
,15,25,1,0,30,,,,,,
,16,191,5,1,119,,,,,,
,17,6,0,0,6,,,,,,
,18,89,1,1,73,,,,,,
,19,40,4,0,24,,,,,,
,TOTAL,2113,64,3,1431,,,,,,
State Treasurer (DEM),Precinct,Ben Westlund,WI,OV,UV,,,,,,
,1,490,3,1,256,,,,,,
,2,369,5,0,165,,,,,,
,3,309,2,0,145,,,,,,
,4,66,0,0,43,,,,,,
,5,211,4,0,114,,,,,,
,6,63,1,0,30,,,,,,
,7,84,2,0,54,,,,,,
,8,128,0,1,60,,,,,,
,9,79,0,0,42,,,,,,
,10,22,1,0,13,,,,,,
,11,85,0,0,55,,,,,,
,12,9,0,0,5,,,,,,
,13,7,0,0,4,,,,,,
,14,47,0,0,20,,,,,,
,15,31,0,0,25,,,,,,
,16,211,0,0,105,,,,,,
,17,5,0,0,7,,,,,,
,18,102,2,0,60,,,,,,
,19,40,0,0,28,,,,,,
,TOTAL,2358,20,2,1231,,,,,,
President (REP),Precinct,John McCain,Ron Paul,WI,OV,UV,,,,,
,1,451,105,22,0,36,,,,,
,2,450,73,27,0,21,,,,,
,3,326,67,21,2,36,,,,,
,4,87,18,5,1,9,,,,,
,5,297,45,15,1,21,,,,,
,6,97,21,7,0,5,,,,,
,7,165,28,5,0,4,,,,,
,8,192,50,7,0,6,,,,,
,9,171,54,2,0,6,,,,,
,10,59,16,0,0,5,,,,,
,11,187,52,7,0,11,,,,,
,12,13,9,2,0,0,,,,,
,13,46,8,1,0,4,,,,,
,14,45,5,0,0,4,,,,,
,15,84,16,7,1,4,,,,,
,16,254,50,13,2,19,,,,,
,17,17,5,0,0,1,,,,,
,18,183,32,6,0,13,,,,,
,19,111,18,5,0,5,,,,,
,TOTAL,3235,672,152,7,210,,,,,
US Senator (REP),Precinct,Gordon H. Smith,Gordon Leitch,WI,OV,UV,,,,,
,1,493,85,0,1,35,,,,,
,2,462,70,4,1,34,,,,,
,3,350,70,2,0,30,,,,,
,4,93,23,0,0,4,,,,,
,5,319,44,0,0,16,,,,,
,6,103,18,1,0,8,,,,,
,7,154,35,1,0,12,,,,,
,8,201,44,0,0,10,,,,,
,9,199,26,0,0,8,,,,,
,10,66,11,0,0,3,,,,,
,11,204,37,0,0,16,,,,,
,12,18,5,0,0,1,,,,,
,13,48,8,0,0,3,,,,,
,14,45,5,0,0,4,,,,,
,15,89,15,0,0,8,,,,,
,16,262,51,1,0,24,,,,,
,17,19,2,0,0,2,,,,,
,18,199,28,0,0,7,,,,,
,19,125,6,0,0,8,,,,,
,TOTAL,3449,583,9,2,233,,,,,
US Representative Dist 2 (REP),Precinct,Greg Walden,WI,OV,UV,,,,,,
,1,512,4,0,98,,,,,,
,2,487,7,0,77,,,,,,
,3,364,5,0,83,,,,,,
,4,95,0,0,25,,,,,,
,5,328,2,1,48,,,,,,
,6,108,0,0,22,,,,,,
,7,176,1,0,25,,,,,,
,8,215,2,0,38,,,,,,
,9,206,2,0,25,,,,,,
,10,68,0,0,12,,,,,,
,11,217,1,0,39,,,,,,
,12,21,0,0,3,,,,,,
,13,54,0,0,5,,,,,,
,14,44,2,0,8,,,,,,
,15,98,1,0,13,,,,,,
,16,273,1,0,64,,,,,,
,17,21,0,0,2,,,,,,
,18,210,3,0,21,,,,,,
,19,118,0,0,21,,,,,,
,TOTAL,3615,31,1,629,,,,,,
Secretary of State (REP),Precinct,Rick Dancer,WI,OV,UV,,,,,,
,1,402,4,0,208,,,,,,
,2,379,2,0,190,,,,,,
,3,312,4,0,136,,,,,,
,4,74,0,0,46,,,,,,
,5,264,2,0,113,,,,,,
,6,84,1,0,45,,,,,,
,7,143,1,0,58,,,,,,
,8,180,0,1,74,,,,,,
,9,165,0,1,67,,,,,,
,10,43,3,0,34,,,,,,
,11,161,1,0,95,,,,,,
,12,19,0,0,5,,,,,,
,13,40,0,0,19,,,,,,
,14,40,0,0,14,,,,,,
,15,70,0,1,41,,,,,,
,16,219,1,0,118,,,,,,
,17,15,0,0,8,,,,,,
,18,181,1,0,52,,,,,,
,19,89,0,0,50,,,,,,
,TOTAL,2880,20,3,1373,,,,,,
State Treasurer (REP),Precinct,Allen Alley,WI,OV,UV,,,,,,
,1,394,3,0,217,,,,,,
,2,379,3,0,189,,,,,,
,3,295,6,0,151,,,,,,
,4,72,0,0,48,,,,,,
,5,257,2,0,120,,,,,,
,6,82,1,0,47,,,,,,
,7,131,1,0,70,,,,,,
,8,171,1,0,83,,,,,,
,9,161,0,0,72,,,,,,
,10,44,2,0,34,,,,,,
,11,156,2,0,99,,,,,,
,12,17,0,0,7,,,,,,
,13,39,0,0,20,,,,,,
,14,38,0,0,16,,,,,,
,15,67,0,0,45,,,,,,
,16,208,1,0,129,,,,,,
,17,16,0,0,7,,,,,,
,18,172,1,0,61,,,,,,
,19,90,0,0,49,,,,,,
,TOTAL,2789,23,0,1464,,,,,,
State Rep Dist 57 (REP),Precinct,Greg Smith,WI,OV,UV,,,,,,
,1,468,12,0,134,,,,,,
,2,457,7,0,107,,,,,,
,3,343,3,0,106,,,,,,
,4,85,0,0,35,,,,,,
,5,302,7,0,70,,,,,,
,6,102,2,0,26,,,,,,
,7,160,1,0,41,,,,,,
,8,201,1,0,53,,,,,,
,9,189,0,0,44,,,,,,
,10,60,2,0,18,,,,,,
,11,193,3,0,61,,,,,,
,12,20,0,0,4,,,,,,
,13,54,0,0,5,,,,,,
,14,40,0,0,14,,,,,,
,15,85,0,0,27,,,,,,
,16,253,3,0,82,,,,,,
,17,19,0,0,4,,,,,,
,18,200,0,0,34,,,,,,
,19,110,0,0,29,,,,,,
,TOTAL,3341,41,0,894,,,,,,
State Senator Dist 29 (REP),Precinct,David Nelson,WI,OV,UV,,,,,,
,1,462,7,0,145,,,,,,
,2,422,3,0,146,,,,,,
,3,327,1,1,123,,,,,,
,4,82,0,0,38,,,,,,
,5,298,0,0,81,,,,,,
,6,98,0,0,32,,,,,,
,7,151,0,0,51,,,,,,
,8,191,1,0,63,,,,,,
,9,177,0,0,56,,,,,,
,10,55,1,0,24,,,,,,
,11,189,1,0,67,,,,,,
,12,20,0,0,4,,,,,,
,13,46,0,0,13,,,,,,
,14,36,0,0,18,,,,,,
,15,82,0,0,30,,,,,,
,16,240,0,0,98,,,,,,
,17,17,0,0,6,,,,,,
,18,202,0,0,32,,,,,,
,19,108,0,0,31,,,,,,
,TOTAL,3203,14,1,1058,,,,,,
