President (DEM),Precinct,Hillary Clinton,Barack Obama,WI,OV,UV,,,,,
,1,257,469,10,1,13,,,,,
,2,256,253,9,2,19,,,,,
,3,210,216,8,1,21,,,,,
,4,45,54,4,0,6,,,,,
,5,139,165,11,0,14,,,,,
,6,51,41,1,0,1,,,,,
,7,50,85,0,0,5,,,,,
,8,70,99,7,1,12,,,,,
,9,53,58,6,0,4,,,,,
,10,14,21,0,0,1,,,,,
,11,48,75,8,0,9,,,,,
,12,6,7,1,0,0,,,,,
,13,4,6,1,0,0,,,,,
,14,29,33,1,0,4,,,,,
,15,15,32,2,0,7,,,,,
,16,137,161,7,0,11,,,,,
,17,4,7,0,0,1,,,,,
,18,87,64,6,0,7,,,,,
,19,23,41,1,0,3,,,,,
,TOTAL,1498,1887,83,5,138,,,,,
US Senator (DEM),Precinct,Pavel Goberman,Jeff Merkley,Roger S. Obrist,David Loera,Candy Neville,Steve Novick,WI,OV,UV,
,1,9,312,14,3,47,228,7,1,129,
,2,14,218,18,6,41,140,11,1,90,
,3,19,173,24,7,35,105,8,3,82,
,4,2,45,4,0,9,25,2,1,21,
,5,14,114,11,5,22,88,8,2,65,
,6,2,43,0,1,12,19,1,0,16,
,7,2,58,4,1,6,39,2,1,27,
,8,11,72,7,3,17,41,3,2,33,
,9,3,50,3,1,12,26,3,0,23,
,10,0,12,2,2,1,9,0,1,9,
,11,8,43,8,2,13,40,1,0,25,
,12,0,8,1,0,3,0,0,0,2,
,13,0,6,0,0,1,1,0,0,3,
,14,2,30,2,0,8,17,0,0,8,
,15,2,14,1,1,3,19,0,1,15,
,16,10,128,10,5,29,67,6,1,60,
,17,0,4,0,0,0,6,0,0,2,
,18,3,68,6,0,8,39,0,2,38,
,19,2,25,4,1,3,10,3,0,20,
,TOTAL,103,1423,119,38,270,919,55,16,668,
Secretary of State (DEM),Precinct,Kate Brown,Rick Metsger,Vicki L. Walker,Paul Damian Wells,WI,OV,UV,,,
,1,346,191,64,12,2,1,134,,,
,2,214,149,59,28,6,0,83,,,
,3,164,139,50,12,1,1,89,,,
,4,52,21,11,1,0,0,24,,,
,5,126,82,39,12,3,1,66,,,
,6,40,26,8,2,0,0,18,,,
,7,75,28,8,1,1,0,27,,,
,8,70,47,20,11,0,0,41,,,
,9,52,23,13,6,0,0,27,,,
,10,15,7,2,2,0,0,10,,,
,11,46,37,14,14,0,0,29,,,
,12,6,4,1,1,0,0,2,,,
,13,4,2,2,0,0,0,3,,,
,14,31,17,8,2,0,1,8,,,
,15,19,15,5,4,1,0,12,,,
,16,136,81,32,11,1,1,54,,,
,17,6,2,1,1,0,0,2,,,
,18,57,45,12,7,0,1,42,,,
,19,29,18,5,1,0,0,15,,,
,TOTAL,1488,934,354,128,15,6,686,,,
Attorney General (DEM),Precinct,John R. Kroger,Greg Macpherson,WI,OV,UV,,,,,
,1,311,268,1,2,168,,,,,
,2,209,209,3,1,117,,,,,
,3,180,184,1,2,89,,,,,
,4,44,33,0,0,32,,,,,
,5,124,127,1,1,76,,,,,
,6,28,44,0,1,21,,,,,
,7,58,44,1,1,36,,,,,
,8,62,89,0,0,38,,,,,
,9,33,50,0,0,38,,,,,
,10,17,11,0,0,8,,,,,
,11,54,52,0,0,34,,,,,
,12,2,8,0,0,4,,,,,
,13,2,5,0,0,4,,,,,
,14,31,26,1,0,9,,,,,
,15,21,16,0,0,19,,,,,
,16,121,117,0,1,77,,,,,
,17,3,7,0,0,2,,,,,
,18,48,74,1,0,41,,,,,
,19,24,24,0,0,20,,,,,
,TOTAL,1372,1388,9,9,833,,,,,
US Representative Dist 2 (DEM),Precinct,Noah Lemas,WI,OV,UV,,,,,,
,1,437,14,0,299,,,,,,
,2,328,13,0,198,,,,,,
,3,286,7,0,163,,,,,,
,4,55,2,0,52,,,,,,
,5,189,6,1,133,,,,,,
