President (DEM),Precinct,Hillary Clinton,Barack Obama,WI,Trnout,,,,
,1,12,13,1,26,,,,
,2,46,42,3,91,,,,
,3,44,84,4,132,,,,
,4,19,37,4,60,,,,
,5,65,174,6,245,,,,
,6,54,86,4,144,,,,
,7,38,53,1,92,,,,
,8,69,85,1,155,,,,
,9,94,112,9,215,,,,
,10,68,78,1,147,,,,
,11,97,95,8,200,,,,
,12,21,52,1,74,,,,
,13,30,34,1,65,,,,
,14,38,36,3,77,,,,
,15,36,58,2,96,,,,
,16,131,116,4,251,,,,
,17,182,168,9,359,,,,
,18,41,53,1,95,,,,
,19,75,70,6,151,,,,
,20,66,37,0,103,,,,
,21,30,32,0,62,,,,
,22,61,41,3,105,,,,
,23,49,53,3,105,,,,
,24,78,45,3,126,,,,
,25,77,46,2,125,,,,
,26,99,85,6,190,,,,
,27,37,37,2,76,,,,
,TOTAL,1657,1822,88,3567,,,,
Senator (DEM),Precinct,Pavel Goberman,Jeff Merkley,Roger S. Obrist,David Loera,Candy Neville,Steve Novick,WI,Trnout
,1,2,13,0,0,1,9,0,25
,2,6,32,1,1,13,27,0,80
,3,2,43,4,1,6,54,3,113
,4,2,20,1,0,9,16,0,48
,5,8,104,4,2,18,67,1,204
,6,7,71,3,1,10,33,0,125
,7,3,36,0,0,6,34,0,79
,8,7,68,1,3,7,33,0,119
,9,12,84,4,3,19,46,3,171
,10,6,50,1,0,13,53,3,126
,11,3,86,4,3,28,43,0,167
,12,3,31,0,0,6,18,0,58
,13,2,26,2,1,4,18,0,53
,14,3,27,4,1,13,14,2,64
,15,2,40,2,3,12,22,0,81
,16,11,92,3,5,37,52,3,203
,17,17,140,6,4,21,86,7,281
,18,7,39,4,1,11,22,0,84
,19,8,70,2,1,14,27,3,125
,20,7,37,3,0,10,34,1,92
,21,1,18,1,2,9,17,0,48
,22,2,35,7,2,14,18,2,80
,23,3,45,3,2,10,25,0,88
,24,4,56,6,0,18,26,0,110
,25,3,48,6,1,20,21,0,99
,26,4,75,3,1,22,54,1,160
,27,1,32,1,3,4,22,1,64
,TOTAL,136,1418,76,41,355,891,30,2947
"Representative in Congress, 4th District (DEM)",Precinct,Peter A. DeFazio,WI,Trnout,,,,,
,1,24,1,25,,,,,
,2,85,0,85,,,,,
,3,122,0,122,,,,,
,4,54,0,54,,,,,
,5,224,4,228,,,,,
,6,137,0,137,,,,,
,7,85,0,85,,,,,
,8,135,2,137,,,,,
,9,189,2,191,,,,,
,10,133,1,134,,,,,
,11,181,3,184,,,,,
,12,68,0,68,,,,,
,13,59,0,59,,,,,
,14,61,1,62,,,,,
,15,84,0,84,,,,,
