President,Precinct,Trnout,Ralph Nader (PCE),Cynthia McKinney (PGP),John McCain (REP),Bob Barr (LIB),Chuck Baldwin (CON),Barack Obama (DEM),WI,OV,UV
,55,219,53,7,14,124,7,3,0,11,
,TOTAL,24986,4473,435,1466,15430,691,179,20,2292,
Secretary of State,Precinct,Trnout,Kate Brown (DEM),Seth Alan Woolley (PGP),Rick Dancer (REP),WI,OV,UV,,,
,1,198,94,5,82,0,0,17,,,
,2,317,125,17,150,1,1,23,,,
,3,234,129,12,78,0,1,14,,,
,4,363,149,12,182,1,0,19,,,
,5,460,217,17,193,0,0,33,,,
,6,420,202,13,181,0,0,24,,,
,7,563,308,11,200,1,0,43,,,
,8,628,276,22,277,0,0,53,,,
,9,213,102,10,86,0,0,15,,,
,10,270,133,8,116,0,0,13,,,
,11,295,150,1,123,0,0,21,,,
,12,415,216,10,162,2,0,25,,,
,13,484,246,13,198,0,0,27,,,
,14,420,197,13,185,0,0,25,,,
,15,291,162,9,94,2,0,24,,,
,16,606,299,20,249,1,0,37,,,
,17,386,204,13,144,0,0,25,,,
,18,162,71,7,70,1,0,13,,,
,19,799,398,17,330,0,1,53,,,
,20,620,272,14,293,0,0,41,,,
,21,375,216,12,126,0,0,21,,,
,22,380,210,18,126,0,1,25,,,
,23,666,344,31,239,1,1,50,,,
,24,421,228,23,144,2,0,24,,,
,25,361,203,20,120,2,1,15,,,
,26,1845,874,41,817,1,0,112,,,
,27,420,220,19,152,0,1,28,,,
,28,432,216,10,166,0,0,40,,,
,29,496,267,11,180,1,0,37,,,
,30,184,90,3,79,0,0,12,,,
,31,609,303,12,264,0,0,30,,,
,32,675,358,18,251,1,0,47,,,
,33,1097,548,27,433,1,2,86,,,
,34,874,420,29,359,0,0,66,,,
,35,613,300,16,256,0,0,41,,,
,36,411,213,12,157,1,0,28,,,
,37,415,197,20,162,1,0,35,,,
,38,444,224,18,174,0,0,28,,,
,39,45,20,3,19,0,0,3,,,
,40,861,388,23,396,0,0,54,,,
,41,353,162,13,148,1,0,29,,,
,42,244,95,10,123,0,0,16,,,
,43,391,186,18,166,0,0,21,,,
,44,195,62,6,107,0,0,20,,,
,45,494,178,27,249,1,1,38,,,
,46,566,265,18,243,1,1,38,,,
,47,540,266,26,217,0,0,31,,,
,48,319,147,11,144,0,0,17,,,
,49,452,227,13,185,2,0,25,,,
,50,32,14,0,18,0,0,0,,,
,51,176,70,7,82,2,0,15,,,
,52,49,16,2,25,0,1,5,,,
,53,1188,578,25,507,3,0,75,,,
,55,219,118,6,85,0,0,10,,,
,TOTAL,24986,12173,792,10312,30,12,1667,,,
State Treasurer,Precinct,Trnout,Allen Alley (REP),Michael Marsh (CON),Ben Westlund (DEM),WI,OV,UV,,,
,1,198,64,10,101,0,0,23,,,
,2,317,134,18,136,2,1,26,,,
,3,234,80,10,126,0,1,17,,,
,4,363,159,18,161,1,0,24,,,
,5,460,157,28,236,1,1,37,,,
,6,420,157,27,209,0,0,27,,,
,7,563,164,35,315,1,0,48,,,
,8,628,241,33,287,0,1,66,,,
,9,213,74,9,111,0,0,19,,,
,10,270,109,10,123,1,1,26,,,
,11,295,112,10,145,0,0,28,,,
,12,415,160,18,207,4,0,26,,,
,13,484,198,19,238,0,0,29,,,
,14,420,186,20,184,0,0,30,,,
,15,291,91,12,160,1,0,27,,,
,16,606,244,36,282,1,1,42,,,
,17,386,137,18,193,0,1,37,,,
,18,162,61,3,77,1,0,20,,,
,19,799,334,30,365,0,1,69,,,
,20,620,283,22,258,1,0,56,,,
,21,375,109,21,215,1,0,29,,,
,22,380,123,12,212,2,0,31,,,
,23,666,208,49,345,4,1,59,,,
,24,421,137,31,218,3,0,32,,,
,25,361,115,22,195,1,0,28,,,
,26,1845,755,81,834,3,0,172,,,
,27,420,123,43,216,0,0,38,,,
,28,432,155,20,211,1,0,45,,,
,29,496,187,16,240,1,0,52,,,
,30,184,75,5,89,0,1,14,,,
,31,609,258,18,282,3,0,48,,,
,32,675,233,36,340,2,0,64,,,
,33,1097,418,33,545,0,0,101,,,
,34,874,348,32,405,1,0,88,,,
,35,613,260,27,261,0,0,65,,,
,36,411,161,18,191,2,0,39,,,
,37,415,136,30,201,3,0,45,,,
,38,444,165,22,217,0,1,39,,,
,39,45,17,1,24,0,0,3,,,
,40,861,376,31,376,0,0,78,,,
,41,353,126,21,169,1,0,36,,,
,42,244,117,11,88,2,0,26,,,
,43,391,153,16,186,1,0,35,,,
,44,195,96,11,65,0,0,23,,,
,45,494,222,34,189,2,0,47,,,
,46,566,221,32,263,1,1,48,,,
,47,540,199,33,265,0,0,43,,,
,48,319,129,14,149,0,0,27,,,
,49,452,171,21,223,3,1,33,,,
,50,32,12,2,17,0,0,1,,,
,51,176,83,5,70,0,0,18,,,
,52,49,23,2,19,0,0,5,,,
,53,1188,475,42,563,5,1,102,,,
,55,219,86,5,117,1,0,10,,,
,TOTAL,24986,9617,1183,11914,57,14,2201,,,
Attorney General,Precinct,Trnout,John R Kroger (DEM),J Ashlee Albies (WRK),Walter F (Walt) Brown (PGP),James E Leuenberger (CON),WI,OV,UV,,
,1,198,124,14,4,22,0,0,34,,
,2,317,159,40,11,37,3,0,67,,
,3,234,139,31,5,21,0,0,38,,
,4,363,179,41,9,84,0,0,50,,
,5,460,259,43,19,62,1,0,76,,
,6,420,238,49,11,55,0,1,66,,
,7,563,345,59,12,61,3,0,83,,
,8,628,341,68,28,80,3,0,108,,
,9,213,129,19,3,29,0,0,33,,
,10,270,162,28,8,28,0,0,44,,
,11,295,190,18,6,31,0,0,50,,
,12,415,248,34,19,49,3,0,62,,
,13,484,299,37,13,66,1,0,68,,
,14,420,224,49,17,59,2,0,69,,
,15,291,172,29,6,34,3,0,47,,
,16,606,347,54,11,75,1,0,118,,
,17,386,223,32,9,62,0,0,60,,
,18,162,86,23,2,18,1,0,32,,
,19,799,480,62,19,83,1,0,154,,
,20,620,358,41,18,87,6,0,110,,
,21,375,237,31,13,34,2,0,58,,
,22,380,247,35,18,25,1,1,53,,
,23,666,406,78,27,66,0,0,89,,
,24,421,261,60,16,30,2,0,52,,
,25,361,217,62,11,26,4,0,41,,
,26,1845,1064,195,44,231,11,0,300,,
,27,420,249,51,15,33,1,0,71,,
,28,432,264,47,9,34,4,0,74,,
,29,496,297,37,11,48,1,0,102,,
,30,184,115,18,3,10,2,0,36,,
,31,609,365,53,23,80,2,0,86,,
,32,675,381,68,30,76,4,0,116,,
,33,1097,661,96,29,107,5,0,199,,
,34,874,517,71,32,86,2,0,166,,
,35,613,327,49,31,71,4,0,131,,
,36,411,238,38,14,50,2,0,69,,
,37,415,219,39,22,50,1,1,83,,
,38,444,242,41,8,63,4,0,86,,
,39,45,25,5,3,4,0,0,8,,
,40,861,476,78,29,123,1,0,154,,
,41,353,178,40,12,56,0,0,67,,
,42,244,114,31,5,39,2,0,53,,
,43,391,219,40,22,44,3,0,63,,
,44,195,85,27,7,31,2,0,43,,
,45,494,248,38,37,77,1,0,93,,
,46,566,293,56,30,77,4,0,106,,
,47,540,318,42,16,78,5,0,81,,
,48,319,165,31,15,38,2,0,68,,
,49,452,258,49,14,63,4,0,64,,
,50,32,17,7,3,2,0,0,3,,
,51,176,83,18,3,22,2,0,48,,
,52,49,21,5,0,14,0,0,9,,
,53,1188,708,110,32,122,10,1,205,,
,55,219,134,31,6,15,0,0,33,,
,TOTAL,24986,,,,,,,,,
"State Representative, 31st District",Precinct,Trnout,Brad Witt (DEM),WI,OV,UV,,,,,
,1,198,151,4,0,43,,,,,
,2,317,220,11,0,86,,,,,
,3,234,184,3,0,47,,,,,
,4,363,255,8,0,100,,,,,
,5,460,322,13,0,125,,,,,
,6,420,283,11,0,126,,,,,
,7,563,400,11,0,152,,,,,
,8,628,375,18,0,235,,,,,
,9,213,146,10,1,56,,,,,
,10,270,170,5,0,95,,,,,
,11,295,186,11,0,98,,,,,
,12,415,264,11,0,140,,,,,
,13,484,310,14,0,160,,,,,
,14,420,298,8,0,114,,,,,
,15,291,194,9,0,88,,,,,
,16,606,378,15,1,212,,,,,
,17,386,248,9,0,129,,,,,
,18,162,107,2,0,53,,,,,
,19,799,487,13,0,299,,,,,
,20,620,381,21,0,218,,,,,
,21,375,261,8,0,106,,,,,
,22,380,265,7,0,108,,,,,
,23,666,446,21,0,199,,,,,
,24,421,315,11,0,95,,,,,
,25,361,265,8,0,88,,,,,
,26,1845,1169,49,0,627,,,,,
,27,420,286,8,0,126,,,,,
,28,432,303,11,0,118,,,,,
,29,496,306,9,0,181,,,,,
,30,184,121,4,0,59,,,,,
,31,609,394,11,0,204,,,,,
,32,675,436,12,0,227,,,,,
,33,1097,723,22,0,352,,,,,
,34,874,558,17,0,299,,,,,
,35,613,346,13,0,254,,,,,
,36,411,233,11,0,167,,,,,
,37,415,256,13,0,146,,,,,
,38,444,257,14,0,173,,,,,
,39,45,28,0,0,17,,,,,
,40,861,497,28,0,336,,,,,
,41,353,215,6,0,132,,,,,
,42,244,145,5,0,94,,,,,
,43,391,267,8,0,116,,,,,
,44,195,112,10,0,73,,,,,
,46,566,350,16,0,200,,,,,
,47,540,349,16,0,175,,,,,
,48,319,174,6,0,139,,,,,
,49,452,274,14,0,164,,,,,
,50,32,24,1,0,7,,,,,
,52,49,25,3,0,21,,,,,
,53,1188,741,31,0,416,,,,,
,55,219,132,9,0,78,,,,,
,TOTAL,24244,15632,609,2,8073,,,,,
"State Representative, 32nd District",Precinct,Trnout,Tim Bero (REP),Deborah Boone (DEM),WI,OV,UV,,,,
,45,494,199,234,4,0,57,,,,
,51,176,58,94,2,0,22,,,,
,TOTAL,670,257,328,6,0,79,,,,
