President,Precinct,Trnout,Ralph Nader (PCE),Cynthia McKinney (PGP),John McCain (REP),Bob Barr (LIB),Chuck Baldwin (CON),Barack Obama (DEM),WI,OV,UV
,1,198,0,1,81,3,0,112,1,0,0
,2,317,6,1,158,1,3,143,1,0,4
,3,234,2,0,97,0,5,127,3,0,0
,4,363,3,2,189,1,8,159,0,0,1
,5,460,4,4,195,1,2,247,3,0,4
,6,420,3,0,195,2,3,212,1,0,4
,7,563,6,1,211,0,10,325,5,0,5
,8,628,9,0,275,6,3,322,6,1,6
,9,213,3,1,81,0,0,127,1,0,0
,10,270,5,1,117,0,0,142,3,1,1
,11,295,2,1,116,0,4,170,0,0,2
,12,415,9,4,169,1,6,222,2,0,2
,13,484,3,0,207,2,3,262,4,0,3
,14,420,4,1,189,0,7,210,4,1,4
,15,291,7,0,103,1,2,170,3,1,4
,16,606,6,2,263,3,2,315,8,1,6
,17,386,4,1,170,4,4,196,5,0,2
,18,162,0,2,65,1,1,87,6,0,0
,19,799,12,2,329,6,4,437,5,1,3
,20,620,12,0,288,5,4,300,5,0,6
,21,375,6,2,110,3,4,238,5,0,7
,22,380,8,3,129,0,3,228,5,1,3
,23,666,7,5,219,2,8,410,11,1,3
,24,421,5,4,129,1,4,268,8,0,2
,25,361,6,1,123,5,3,212,5,0,6
,26,1845,10,0,812,8,11,955,28,1,20
,27,420,6,1,144,3,6,255,3,1,1
,28,432,13,1,179,0,2,231,3,1,2
,29,496,11,2,199,0,1,271,5,0,7
,30,184,2,1,67,1,1,110,1,0,1
,31,609,4,2,268,3,6,314,3,0,9
,32,675,5,4,265,2,6,386,1,0,6
,33,1097,7,3,438,6,5,616,15,0,7
,34,874,12,1,338,3,6,490,12,3,9
,35,613,8,1,260,2,5,327,6,1,3
,36,411,6,0,154,2,5,237,6,0,1
,37,415,10,0,165,3,3,223,4,1,6
,38,444,7,0,179,1,6,244,3,1,3
,39,45,0,0,19,0,0,26,0,0,0
,40,861,7,6,375,3,4,448,10,2,6
,41,353,6,0,157,7,2,173,4,1,3
,42,244,3,1,133,1,0,102,1,0,3
,43,391,6,1,170,1,3,203,3,0,4
,44,195,3,0,114,2,0,74,0,0,2
,45,494,5,5,254,4,6,206,10,1,3
,46,566,6,2,260,3,6,276,8,0,5
,47,540,11,0,197,3,9,310,8,1,1
,48,319,5,1,140,4,1,158,5,0,5
,49,452,4,0,188,3,6,244,7,0,0
,50,32,2,0,15,0,0,15,0,0,0
,51,176,2,0,89,3,1,78,1,0,2
,52,49,1,0,25,0,1,22,0,0,0
,53,1188,11,3,508,7,6,637,10,4,2
,55,219,2,0,93,0,1,118,2,0,3
,TOTAL,24986,307,74,10413,123,202,13390,259,26,192
Senator,Precinct,Trnout,Gordon H Smith (REP),Jeff Merkley (DEM),Dave Brownlow (CON),WI,OV,UV,,,
,1,198,86,86,17,0,0,9,,,
,2,317,168,105,31,0,0,13,,,
,3,234,86,110,30,0,0,8,,,
,4,363,198,130,26,1,0,8,,,
,5,460,224,177,38,1,0,20,,,
,6,420,200,179,25,2,1,13,,,
,7,563,203,278,56,1,0,25,,,
,8,628,271,275,49,3,0,30,,,
,9,213,83,106,15,0,2,7,,,
,10,270,136,106,18,0,0,10,,,
,11,295,122,140,15,2,0,16,,,
,12,415,166,190,36,1,0,22,,,
,13,484,214,214,38,2,0,16,,,
,14,420,219,157,29,2,0,13,,,
,15,291,99,152,23,3,0,14,,,
,16,606,262,265,53,0,0,26,,,
,17,386,159,186,30,0,0,11,,,
,18,162,69,75,12,1,0,5,,,
,19,799,334,374,53,3,1,34,,,
,20,620,281,252,66,1,0,20,,,
,21,375,109,208,37,3,1,17,,,
,22,380,141,190,33,1,0,15,,,
,23,666,224,330,82,2,1,27,,,
,24,421,129,219,54,3,0,16,,,
,25,361,120,186,38,2,0,15,,,
,26,1845,846,803,135,7,0,54,,,
,27,420,129,218,55,1,1,16,,,
,28,432,185,186,38,6,0,17,,,
,29,496,199,232,44,2,2,17,,,
,30,184,67,88,24,2,0,3,,,
,31,609,266,262,52,2,1,26,,,
,32,675,254,333,53,4,2,29,,,
,33,1097,468,499,76,8,1,45,,,
,34,874,366,391,73,1,1,42,,,
,35,613,265,285,42,2,0,19,,,
,36,411,166,193,33,0,0,19,,,
,37,415,157,187,51,0,0,20,,,
,38,444,181,200,47,0,0,16,,,
,39,45,21,22,1,0,0,1,,,
,40,861,386,384,63,3,1,24,,,
,41,353,164,142,28,0,0,19,,,
,42,244,144,78,10,1,0,11,,,
,43,391,192,162,17,2,0,18,,,
,44,195,110,64,14,0,0,7,,,
,45,494,255,181,40,1,2,15,,,
,46,566,260,231,50,2,2,21,,,
,47,540,209,261,56,2,0,12,,,
,48,319,148,126,35,0,0,10,,,
,49,452,186,200,48,8,1,9,,,
,50,32,12,17,3,0,0,0,,,
,51,176,100,58,12,0,0,6,,,
,52,49,29,14,4,0,0,2,,,
,53,1188,531,541,70,6,3,37,,,
,55,219,80,118,13,1,0,7,,,
,TOTAL,24986,10679,11166,2091,95,23,932,,,
"Rep in Congress, 1st Dist",Precinct,Trnout,Joel Haugen (IND),Chris Henry (PGP),Scott Semrau (CON),David Wu (DEM),H Joe Tabor (LIB),WI,OV,UV,
,1,198,22,0,8,145,5,0,0,18,
,2,317,60,6,13,193,16,3,0,26,
,3,234,47,4,10,155,6,0,0,12,
,4,363,55,5,46,228,6,1,0,22,
,5,460,83,12,24,282,13,1,0,45,
,6,420,63,13,36,256,15,1,0,36,
,7,563,62,8,31,393,12,1,0,56,
,8,628,100,10,51,376,21,4,0,66,
,9,213,24,2,13,141,4,5,0,24,
,10,270,47,3,16,177,6,1,0,20,
,11,295,31,5,13,195,9,7,0,35,
,12,415,64,9,26,272,11,0,0,33,
,13,484,84,10,27,312,13,5,1,32,
,14,420,68,5,38,263,10,2,0,34,
,15,291,38,5,14,200,13,3,0,18,
,16,606,118,5,37,356,17,8,0,65,
,17,386,65,5,29,242,5,0,0,40,
,18,162,35,1,5,100,1,1,0,19,
,19,799,176,10,38,479,22,12,0,62,
,20,620,136,11,46,355,12,3,0,57,
,21,375,40,11,14,265,13,4,0,28,
,22,380,47,13,17,258,13,2,0,30,
,23,666,100,21,34,444,15,0,0,52,
,24,421,53,14,17,297,7,5,0,28,
,25,361,50,8,18,256,9,1,1,18,
,26,1845,335,25,125,1125,51,14,2,168,
,27,420,55,9,22,281,11,1,0,41,
,28,432,71,9,31,271,4,2,1,43,
,29,496,82,3,17,327,6,3,0,58,
,30,184,39,2,4,120,3,1,0,15,
,31,609,157,5,34,343,15,2,1,52,
,32,675,111,9,34,424,15,4,0,78,
,33,1097,234,7,42,675,27,15,0,97,
,34,874,200,10,37,513,15,6,3,90,
,35,613,125,17,31,349,18,4,0,69,
,36,411,94,6,25,238,8,2,1,37,
,37,415,77,13,29,244,13,1,0,38,
,38,444,80,6,30,262,12,8,2,44,
,39,45,10,1,3,26,0,0,0,5,
,40,861,167,26,51,488,36,9,2,82,
,41,353,75,5,27,195,14,1,2,34,
,42,244,56,4,15,129,6,2,0,32,
,43,391,68,5,14,254,15,0,1,34,
,44,195,46,2,14,95,10,0,0,28,
,45,494,103,16,34,272,16,2,0,51,
,46,566,102,8,40,322,23,5,0,66,
,47,540,100,10,51,321,18,4,1,35,
,48,319,60,7,16,189,19,2,0,26,
,49,452,58,5,38,288,19,10,2,32,
,50,32,6,0,5,21,0,0,0,0,
,51,176,22,6,8,109,7,1,0,23,
,52,49,11,0,8,23,2,0,0,5,
,53,1188,208,16,46,762,27,7,0,122,
