Senator (DEM),Precinct,Pavel Goberman,Loren Hooker,Ron Wyden,Write-ins,Over Votes,Under Votes,,,,,,
,1,3,9,29,0,0,0,,,,,,
,2,2,9,65,0,0,1,,,,,,
,3,2,7,49,0,0,1,,,,,,
,4,9,15,49,2,0,4,,,,,,
,5,3,17,93,3,0,2,,,,,,
,6,9,11,86,1,0,0,,,,,,
,7,8,11,129,0,0,3,,,,,,
,8,6,17,120,1,0,2,,,,,,
,9,6,12,42,0,0,0,,,,,,
,10,2,11,67,2,0,2,,,,,,
,11,5,4,85,2,0,2,,,,,,
,12,4,4,98,4,0,4,,,,,,
,13,5,10,122,0,0,4,,,,,,
,14,3,8,81,0,0,4,,,,,,
,15,4,7,73,0,0,5,,,,,,
,16,8,7,133,1,0,7,,,,,,
,17,5,6,73,0,0,7,,,,,,
,18,5,8,34,0,0,1,,,,,,
,19,13,22,174,0,0,7,,,,,,
,20,6,24,146,2,1,3,,,,,,
,21,0,4,91,0,0,2,,,,,,
,22,1,8,102,0,0,3,,,,,,
,23,8,11,143,1,0,1,,,,,,
,24,3,10,88,5,0,2,,,,,,
,25,9,9,75,0,0,2,,,,,,
,26,22,44,326,3,0,19,,,,,,
,27,2,13,94,2,0,5,,,,,,
,28,4,8,102,1,0,8,,,,,,
,29,2,12,121,1,0,4,,,,,,
,30,6,3,38,2,0,2,,,,,,
,31,5,15,132,1,0,1,,,,,,
,32,2,6,115,2,0,7,,,,,,
,33,10,20,219,4,0,11,,,,,,
,34,9,13,162,1,0,7,,,,,,
,35,3,18,125,1,1,8,,,,,,
,36,8,5,101,0,0,2,,,,,,
,37,5,5,83,0,0,2,,,,,,
,38,5,6,113,1,0,4,,,,,,
,39,0,0,6,0,0,0,,,,,,
,40,20,32,162,2,0,8,,,,,,
,41,2,5,52,1,0,2,,,,,,
,42,2,2,37,1,0,2,,,,,,
,43,4,11,69,0,0,7,,,,,,
,44,3,4,22,2,0,1,,,,,,
,45,3,13,87,1,0,3,,,,,,
,46,6,15,91,1,0,4,,,,,,
,47,2,12,121,0,0,7,,,,,,
,48,5,9,57,0,0,2,,,,,,
,49,6,10,89,1,0,3,,,,,,
,50,0,0,12,0,0,0,,,,,,
,51,0,4,34,0,0,0,,,,,,
,52,0,0,6,0,0,0,,,,,,
,53,8,24,305,2,1,15,,,,,,
,55,5,12,48,0,0,3,,,,,,
,TOTAL,278,582,5176,54,3,206,,,,,,
"House, 1st Dist (DEM)",Precinct,David Robinson,David Wu,Write-ins,Over Votes,Under Votes,,,,,,,
,1,15,23,0,0,3,,,,,,,
,2,37,37,0,0,3,,,,,,,
,3,25,34,0,0,0,,,,,,,
