President,Precinct,Ralph Nader (PCE),Cynthia McKinney (PGP),John McCain (REP),Bob Barr (LIB),Chuck Baldwin (CON),Barack Obama (DEM),Write-ins,Over Votes,Under Votes,
,TOTAL,5163,1477,313,1344,31,3,2245,,,
"State Senator, 30th Dist",Precinct,Ted Ferrioli (REP),WI,OV,UV,,,,,,
,1,915,11,0,312,,,,,,
,2,494,9,0,200,,,,,,
,3,461,11,0,211,,,,,,
,4,673,5,0,211,,,,,,
,5,273,3,0,116,,,,,,
,6,601,5,0,209,,,,,,
,7,534,3,0,142,,,,,,
,8,537,7,0,245,,,,,,
,9,588,12,0,156,,,,,,
,10,51,0,0,40,,,,,,
,11,402,3,0,120,,,,,,
,12,518,7,0,158,,,,,,
,13,382,3,0,142,,,,,,
,14,545,1,0,164,,,,,,
,15,180,0,0,67,,,,,,
,16,34,0,0,28,,,,,,
,17,30,0,0,2,,,,,,
,18,130,1,0,37,,,,,,
,19,49,0,0,13,,,,,,
,20,79,1,0,22,,,,,,
,21,118,0,0,15,,,,,,
,22,64,0,0,17,,,,,,
,23,26,0,0,3,,,,,,
,24,131,0,0,49,,,,,,
,TOTAL,7815,82,0,2679,,,,,,
"State Rep, 60th Dist",Precinct,Cliff Bentz (REP),WI,OV,UV,,,,,,
,1,1028,6,0,204,,,,,,
,2,549,11,0,143,,,,,,
,3,520,11,0,152,,,,,,
,4,713,13,0,163,,,,,,
,5,293,4,0,95,,,,,,
,6,633,10,0,172,,,,,,
,7,561,7,0,111,,,,,,
,8,570,6,0,213,,,,,,
,9,607,13,0,136,,,,,,
,10,57,0,0,34,,,,,,
,11,414,3,0,108,,,,,,
,12,527,15,0,141,,,,,,
,13,403,7,0,117,,,,,,
,14,572,6,0,132,,,,,,
,15,179,4,0,64,,,,,,
,16,39,0,0,23,,,,,,
,17,27,0,0,5,,,,,,
,18,135,2,0,31,,,,,,
,19,35,6,0,21,,,,,,
,20,76,1,0,25,,,,,,
,21,121,1,0,11,,,,,,
,22,68,0,0,13,,,,,,
,23,23,1,0,5,,,,,,
,24,137,1,0,42,,,,,,
,TOTAL,8287,128,0,2161,,,,,,
