"ContestOrder","Contest","Contest ID","Choice","BallotsWith Contest","Votes","Overvoted WithVote for this Choice","Undervoted WithoutVote for this Choice","Ballots WithVotes for Others"
"100.00","US Senator (DEM) (Vote for 1)","77","Ron Wyden","141,291","126,114","11","3,567","11,599"
"100.00","US Senator (DEM) (Vote for 1)","77","William E Barlow III","141,291","8,063","9","3,567","129,652"
"100.00","US Senator (DEM) (Vote for 1)","77","Brent Thompson","141,291","3,121","6","3,567","134,597"
"100.00","US Senator (DEM) (Vote for 1)","77","Write-in","141,291","413","1","3,567","137,310"
"101.00","US Senator (REP) (Vote for 1)","78","Jo Rae Perkins","27,133","7,563","2","3,223","16,345"
"101.00","US Senator (REP) (Vote for 1)","78","Darin Harbick","27,133","7,121","6","3,223","16,783"
"101.00","US Senator (REP) (Vote for 1)","78","Sam Palmer","27,133","2,715","3","3,223","21,192"
"101.00","US Senator (REP) (Vote for 1)","78","Christopher C Christensen","27,133","2,620","0","3,223","21,290"
"101.00","US Senator (REP) (Vote for 1)","78","Jason Beebe","27,133","2,382","4","3,223","21,524"
"101.00","US Senator (REP) (Vote for 1)","78","Ibra A Taher","27,133","712","1","3,223","23,197"
"101.00","US Senator (REP) (Vote for 1)","78","Robert M Fleming","27,133","467","0","3,223","23,443"
"101.00","US Senator (REP) (Vote for 1)","78","Write-in","27,133","320","4","3,223","23,586"
"150.00","US Representative, 1st District (DEM) (Vote for 1)","71","Suzanne Bonamici","35,061","30,437","0","1,622","3,002"
"150.00","US Representative, 1st District (DEM) (Vote for 1)","71","Scott Phillips","35,061","2,324","0","1,622","31,115"
"150.00","US Representative, 1st District (DEM) (Vote for 1)","71","Christian Robertson","35,061","637","0","1,622","32,802"
"150.00","US Representative, 1st District (DEM) (Vote for 1)","71","Write-in","35,061","41","0","1,622","33,398"
"151.00","US Representative, 1st District (REP) (Vote for 1)","72","Christopher A Mann","4,127","1,562","0","1,815","750"
"151.00","US Representative, 1st District (REP) (Vote for 1)","72","Armidia (Army) Murray","4,127","650","0","1,815","1,662"
"151.00","US Representative, 1st District (REP) (Vote for 1)","72","Write-in","4,127","100","0","1,815","2,212"
"160.00","US Representative, 3rd District (DEM) (Vote for 1)","73","Earl Blumenauer","95,328","86,712","12","3,727","4,877"
"160.00","US Representative, 3rd District (DEM) (Vote for 1)","73","Jonathan E Polhemus","95,328","4,537","11","3,727","87,053"
"160.00","US Representative, 3rd District (DEM) (Vote for 1)","73","Write-in","95,328","340","1","3,727","91,260"
"161.00","US Representative, 3rd District (REP) (Vote for 1)","74","Joanna Harbour","21,155","11,749","1","9,096","309"
"161.00","US Representative, 3rd District (REP) (Vote for 1)","74","Write-in","21,155","309","1","9,096","11,749"
"170.00","US Representative, 5th District (DEM) (Vote for 1)","75","Jamie McLeod-Skinner","10,902","6,323","2","283","4,294"
"170.00","US Representative, 5th District (DEM) (Vote for 1)","75","Kurt Schrader","10,902","4,269","2","283","6,348"
"170.00","US Representative, 5th District (DEM) (Vote for 1)","75","Write-in","10,902","25","0","283","10,594"
"171.00","US Representative, 5th District (REP) (Vote for 1)","76","Lori Chavez-DeRemer","1,851","669","0","167","1,015"
"171.00","US Representative, 5th District (REP) (Vote for 1)","76","Jimmy Crumpacker","1,851","589","0","167","1,095"
"171.00","US Representative, 5th District (REP) (Vote for 1)","76","John Di Paola","1,851","288","0","167","1,396"
"171.00","US Representative, 5th District (REP) (Vote for 1)","76","Laurel L Roses","1,851","93","0","167","1,591"
"171.00","US Representative, 5th District (REP) (Vote for 1)","76","Madison Oatman","1,851","30","0","167","1,654"
"171.00","US Representative, 5th District (REP) (Vote for 1)","76","Write-in","1,851","15","0","167","1,669"
"200.00","Governor (DEM) (Vote for 1)","5","Tina Kotek","141,247","90,179","18","2,503","48,547"
"200.00","Governor (DEM) (Vote for 1)","5","Tobias Read","141,247","37,186","21","2,503","101,537"
"200.00","Governor (DEM) (Vote for 1)","5","Patrick E Starnes","141,247","1,948","6","2,503","136,790"
"200.00","Governor (DEM) (Vote for 1)","5","Write-in","141,247","1,903","5","2,503","136,836"
"200.00","Governor (DEM) (Vote for 1)","5","George L Carrillo","141,247","1,889","5","2,503","136,850"
"200.00","Governor (DEM) (Vote for 1)","5","Michael Trimble","141,247","1,402","3","2,503","137,339"
"200.00","Governor (DEM) (Vote for 1)","5","Julian Bell","141,247","932","5","2,503","137,807"
"200.00","Governor (DEM) (Vote for 1)","5","John Sweeney","141,247","766","5","2,503","137,973"
"200.00","Governor (DEM) (Vote for 1)","5","Wilson R Bright","141,247","659","4","2,503","138,081"
"200.00","Governor (DEM) (Vote for 1)","5","Keisha Lanell Merchant","141,247","420","2","2,503","138,322"
"200.00","Governor (DEM) (Vote for 1)","5","Dave W Stauffer","141,247","384","2","2,503","138,358"
"200.00","Governor (DEM) (Vote for 1)","5","Ifeanyichukwu C Diru","141,247","344","3","2,503","138,397"
"200.00","Governor (DEM) (Vote for 1)","5","Genevieve Wilson H","141,247","212","2","2,503","138,530"
"200.00","Governor (DEM) (Vote for 1)","5","David Beem","141,247","185","3","2,503","138,556"
"200.00","Governor (DEM) (Vote for 1)","5","Michael Cross","141,247","180","3","2,503","138,561"
"200.00","Governor (DEM) (Vote for 1)","5","Peter W Hall","141,247","125","5","2,503","138,614"
"201.00","Governor (REP) (Vote for 1)","6","Christine Drazan","27,130","5,554","4","674","20,898"
"201.00","Governor (REP) (Vote for 1)","6","Bob Tiernan","27,130","4,735","4","674","21,717"
"201.00","Governor (REP) (Vote for 1)","6","Stan Pulliam","27,130","4,336","2","674","22,118"
"201.00","Governor (REP) (Vote for 1)","6","Bridget Barton","27,130","3,198","2","674","23,256"
"201.00","Governor (REP) (Vote for 1)","6","Bud Pierce","27,130","2,062","2","674","24,392"
"201.00","Governor (REP) (Vote for 1)","6","Marc Thielman","27,130","1,648","2","674","24,806"
"201.00","Governor (REP) (Vote for 1)","6","Bill Sizemore","27,130","1,082","2","674","25,372"
"201.00","Governor (REP) (Vote for 1)","6","Jessica Gomez","27,130","970","2","674","25,484"
"201.00","Governor (REP) (Vote for 1)","6","Kerry McQuisten","27,130","739","1","674","25,716"
"201.00","Governor (REP) (Vote for 1)","6","Write-in","27,130","578","4","674","25,874"
"201.00","Governor (REP) (Vote for 1)","6","Nick Hess","27,130","408","1","674","26,047"
"201.00","Governor (REP) (Vote for 1)","6","Tim McCloud","27,130","354","0","674","26,102"
"201.00","Governor (REP) (Vote for 1)","6","Brandon C Merritt","27,130","185","2","674","26,269"
"201.00","Governor (REP) (Vote for 1)","6","Reed Christensen","27,130","159","0","674","26,297"
"201.00","Governor (REP) (Vote for 1)","6","Amber R Richardson","27,130","158","2","674","26,296"
"201.00","Governor (REP) (Vote for 1)","6","Court Boice","27,130","147","1","674","26,308"
"201.00","Governor (REP) (Vote for 1)","6","Raymond Baldwin","27,130","46","1","674","26,409"
"201.00","Governor (REP) (Vote for 1)","6","David A Burch","27,130","46","3","674","26,407"
"201.00","Governor (REP) (Vote for 1)","6","John G Presco","27,130","21","1","674","26,434"
"201.00","Governor (REP) (Vote for 1)","6","Stefan G Strek (Stregoi)","27,130","15","2","674","26,439"
"250.00","State Senator, 16th District (DEM) (Vote for 1)","61","Melissa Busch","536","347","0","188","1"
"250.00","State Senator, 16th District (DEM) (Vote for 1)","61","Write-in","536","1","0","188","347"
"251.00","State Senator, 16th District (REP) (Vote for 1)","62","Suzanne Weber","274","144","0","126","4"
"251.00","State Senator, 16th District (REP) (Vote for 1)","62","Write-in","274","4","0","126","144"
"260.00","State Senator, 17th District (DEM) (Vote for 1)","63","Elizabeth Steiner Hayward","12,122","8,829","0","3,244","49"
"260.00","State Senator, 17th District (DEM) (Vote for 1)","63","Write-in","12,122","49","0","3,244","8,829"
"261.00","State Senator, 17th District (REP) (Vote for 1)","64","John Verbeek","1,389","772","0","603","14"
"261.00","State Senator, 17th District (REP) (Vote for 1)","64","Write-in","1,389","14","0","603","772"
"270.00","State Senator, 19th District (DEM) (Vote for 1)","65","Rob Wagner","7,624","5,403","0","2,175","46"
"270.00","State Senator, 19th District (DEM) (Vote for 1)","65","Write-in","7,624","46","0","2,175","5,403"
"271.00","State Senator, 19th District (REP) (Vote for 1)","66","Ben Edtl","1,431","736","0","329","366"
"271.00","State Senator, 19th District (REP) (Vote for 1)","66","Wendy O'Riley","1,431","355","0","329","747"
"271.00","State Senator, 19th District (REP) (Vote for 1)","66","Write-in","1,431","11","0","329","1,091"
"280.00","State Senator, 24th District (DEM) (Vote for 1)","67","Kayse Jama","11,360","7,894","1","3,403","62"
"280.00","State Senator, 24th District (DEM) (Vote for 1)","67","Write-in","11,360","62","1","3,403","7,894"
"281.00","State Senator, 24th District (REP) (Vote for 1)","68","Stan Catherman","4,873","2,568","0","2,228","77"
"281.00","State Senator, 24th District (REP) (Vote for 1)","68","Write-in","4,873","77","0","2,228","2,568"
"290.00","State Senator, 26th District (DEM) (Vote for 1)","69","Raz Mason","1,162","780","0","363","19"
"290.00","State Senator, 26th District (DEM) (Vote for 1)","69","Write-in","1,162","19","0","363","780"
"291.00","State Senator, 26th District (REP) (Vote for 1)","70","Daniel G Bonham","1,384","830","0","146","408"
"291.00","State Senator, 26th District (REP) (Vote for 1)","70","Steve Bates","1,384","294","0","146","944"
"291.00","State Senator, 26th District (REP) (Vote for 1)","70","Michael J Nugent","1,384","112","0","146","1,126"
"291.00","State Senator, 26th District (REP) (Vote for 1)","70","Write-in","1,384","2","0","146","1,236"
"300.00","State Representative, 28th District (DEM) (Vote for 1)","29","Dacia Grayber","12,649","8,448","0","4,164","37"
"300.00","State Representative, 28th District (DEM) (Vote for 1)","29","Write-in","12,649","37","0","4,164","8,448"
"301.00","State Representative, 28th District (REP) (Vote for 1)","30","Patrick Castles","1,861","755","0","523","583"
"301.00","State Representative, 28th District (REP) (Vote for 1)","30","Charles Mengis","1,861","563","0","523","775"
"301.00","State Representative, 28th District (REP) (Vote for 1)","30","Write-in","1,861","20","0","523","1,318"
"310.00","State Representative, 31st District (DEM) (Vote for 1)","31","Anthony Sorace","536","315","0","220","1"
"310.00","State Representative, 31st District (DEM) (Vote for 1)","31","Write-in","536","1","0","220","315"
"311.00","State Representative, 31st District (REP) (Vote for 1)","32","Brian G Stout","274","137","0","55","82"
"311.00","State Representative, 31st District (REP) (Vote for 1)","32","Drew A Layda","274","80","0","55","139"
"311.00","State Representative, 31st District (REP) (Vote for 1)","32","Write-in","274","2","0","55","217"
"320.00","State Representative, 33rd District (DEM) (Vote for 1)","33","Maxine E Dexter","11,867","8,573","0","3,246","48"
"320.00","State Representative, 33rd District (DEM) (Vote for 1)","33","Write-in","11,867","48","0","3,246","8,573"
"321.00","State Representative, 33rd District (REP) (Vote for 1)","34","Stan Baumhofer","1,340","747","0","585","8"
"321.00","State Representative, 33rd District (REP) (Vote for 1)","34","Write-in","1,340","8","0","585","747"
"330.00","State Representative, 34th District (DEM) (Vote for 1)","35","Lisa Reynolds","255","203","0","28","24"
"330.00","State Representative, 34th District (DEM) (Vote for 1)","35","Jennifer Kinzey","255","24","0","28","203"
"330.00","State Representative, 34th District (DEM) (Vote for 1)","35","Write-in","255","0","0","28","227"
"331.00","State Representative, 34th District (REP) (Vote for 1)","36","John Woods","49","31","0","16","2"
"331.00","State Representative, 34th District (REP) (Vote for 1)","36","Write-in","49","2","0","16","31"
"340.00","State Representative, 38th District (DEM) (Vote for 1)","37","Neelam Gupta","7,624","3,666","0","603","3,355"
"340.00","State Representative, 38th District (DEM) (Vote for 1)","37","Daniel Nguyen","7,624","3,340","0","603","3,681"
"340.00","State Representative, 38th District (DEM) (Vote for 1)","37","Write-in","7,624","15","0","603","7,006"
"341.00","State Representative, 38th District (REP) (Vote for 1)","38","Alistair Firmin","1,431","742","0","674","15"
"341.00","State Representative, 38th District (REP) (Vote for 1)","38","Write-in","1,431","15","0","674","742"
"350.00","State Representative, 41st District (DEM) (Vote for 1)","39","Mark F Gamba","9,068","5,835","2","798","2,433"
"350.00","State Representative, 41st District (DEM) (Vote for 1)","39","Kaliko Castille","9,068","2,319","2","798","5,949"
"350.00","State Representative, 41st District (DEM) (Vote for 1)","39","Christopher A Draus","9,068","95","0","798","8,175"
"350.00","State Representative, 41st District (DEM) (Vote for 1)","39","Write-in","9,068","19","0","798","8,251"
"351.00","State Representative, 41st District (REP) (Vote for 1)","40","Bob (Elvis) Clark","848","357","0","154","337"
"351.00","State Representative, 41st District (REP) (Vote for 1)","40","Rob Reynolds","848","220","0","154","474"
"351.00","State Representative, 41st District (REP) (Vote for 1)","40","Rene Gomez","848","111","0","154","583"
"351.00","State Representative, 41st District (REP) (Vote for 1)","40","Write-in","848","6","0","154","688"
"360.00","State Representative, 42nd District (DEM) (Vote for 1)","41","Rob Nosse","17,694","13,139","0","4,428","127"
"360.00","State Representative, 42nd District (DEM) (Vote for 1)","41","Write-in","17,694","127","0","4,428","13,139"
"361.00","State Representative, 42nd District (REP) (Vote for 1)","42","Scott Trahan","862","441","0","405","16"
"361.00","State Representative, 42nd District (REP) (Vote for 1)","42","Write-in","862","16","0","405","441"
"370.00","State Representative, 43rd District (DEM) (Vote for 1)","43","Tawna Sanchez","17,669","13,247","0","4,334","88"
"370.00","State Representative, 43rd District (DEM) (Vote for 1)","43","Write-in","17,669","88","0","4,334","13,247"
"371.00","State Representative, 43rd District (REP) (Vote for 1)","44","Tim LeMaster","884","449","0","424","11"
