ContestOrder,Contest,Contest ID,Choice,Precinct,BallotsWith Contest,Votes,Overvoted WithVote for this Choice,Undervoted WithoutVote for this Choice,Ballots WithVotes for Others
100,US Senator (Vote for 1),64,Jo Rae Perkins,301,"1,613",914,0,21,678
100,US Senator (Vote for 1),64,Jo Rae Perkins,302,"2,288",854,0,33,"1,401"
100,US Senator (Vote for 1),64,Jo Rae Perkins,303,297,183,0,4,110
100,US Senator (Vote for 1),64,Jo Rae Perkins,304,957,393,0,14,550
100,US Senator (Vote for 1),64,Jo Rae Perkins,305,837,480,0,15,342
100,US Senator (Vote for 1),64,Jo Rae Perkins,306,499,112,0,5,382
100,US Senator (Vote for 1),64,Jo Rae Perkins,307,"3,966","1,548",0,77,"2,341"
100,US Senator (Vote for 1),64,Jo Rae Perkins,308,133,66,0,2,65
100,US Senator (Vote for 1),64,Jo Rae Perkins,309,"3,687","1,312",1,58,"2,316"
100,US Senator (Vote for 1),64,Jo Rae Perkins,310,542,277,0,7,258
100,US Senator (Vote for 1),64,Jo Rae Perkins,311,649,338,0,8,303
100,US Senator (Vote for 1),64,Jo Rae Perkins,312,"1,588",880,0,32,676
100,US Senator (Vote for 1),64,Jo Rae Perkins,313,4,0,0,0,4
100,US Senator (Vote for 1),64,Jo Rae Perkins,314,302,179,0,6,117
100,US Senator (Vote for 1),64,Jo Rae Perkins,315,457,228,0,7,222
100,US Senator (Vote for 1),64,Jo Rae Perkins,316,"1,635",888,0,42,705
100,US Senator (Vote for 1),64,Jo Rae Perkins,317,213,119,0,2,92
100,US Senator (Vote for 1),64,Jo Rae Perkins,318,"3,195","1,125",0,45,"2,025"
100,US Senator (Vote for 1),64,Jo Rae Perkins,319,"4,300","1,359",0,87,"2,854"
100,US Senator (Vote for 1),64,Jo Rae Perkins,320,"1,534",497,0,21,"1,016"
100,US Senator (Vote for 1),64,Jo Rae Perkins,321,281,171,0,9,101
100,US Senator (Vote for 1),64,Jo Rae Perkins,322,236,115,0,4,117
100,US Senator (Vote for 1),64,Jo Rae Perkins,323,19,2,0,0,17
100,US Senator (Vote for 1),64,Jo Rae Perkins,324,468,246,0,7,215
100,US Senator (Vote for 1),64,Jo Rae Perkins,325,102,18,0,1,83
100,US Senator (Vote for 1),64,Jo Rae Perkins,326,"1,740","1,074",0,36,630
100,US Senator (Vote for 1),64,Jo Rae Perkins,327,"3,821","1,279",0,46,"2,496"
100,US Senator (Vote for 1),64,Jo Rae Perkins,328,871,463,1,23,384
100,US Senator (Vote for 1),64,Jo Rae Perkins,329,"6,521","1,933",0,97,"4,491"
100,US Senator (Vote for 1),64,Jo Rae Perkins,330,"1,638",757,0,46,835
100,US Senator (Vote for 1),64,Jo Rae Perkins,331,"1,994",511,0,33,"1,450"
100,US Senator (Vote for 1),64,Jo Rae Perkins,332,"2,004",471,0,32,"1,501"
100,US Senator (Vote for 1),64,Jo Rae Perkins,333,"2,593",591,0,31,"1,971"
100,US Senator (Vote for 1),64,Jo Rae Perkins,334,129,73,0,2,54
100,US Senator (Vote for 1),64,Jo Rae Perkins,335,"3,820","1,532",0,71,"2,217"
100,US Senator (Vote for 1),64,Jo Rae Perkins,336,"2,526",937,0,43,"1,546"
100,US Senator (Vote for 1),64,Jo Rae Perkins,337,840,282,0,17,541
100,US Senator (Vote for 1),64,Jo Rae Perkins,338,"4,124","1,632",0,76,"2,416"
100,US Senator (Vote for 1),64,Jo Rae Perkins,339,"4,047","1,588",0,73,"2,386"
100,US Senator (Vote for 1),64,Jo Rae Perkins,340,"6,077","2,552",1,113,"3,411"
100,US Senator (Vote for 1),64,Jo Rae Perkins,341,305,172,0,4,129
100,US Senator (Vote for 1),64,Jo Rae Perkins,342,57,31,0,1,25
100,US Senator (Vote for 1),64,Jo Rae Perkins,343,"2,203",818,0,33,"1,352"
100,US Senator (Vote for 1),64,Jo Rae Perkins,344,"2,386",762,0,51,"1,573"
100,US Senator (Vote for 1),64,Jo Rae Perkins,345,25,9,0,0,16
100,US Senator (Vote for 1),64,Jo Rae Perkins,346,241,134,0,2,105
100,US Senator (Vote for 1),64,Jo Rae Perkins,347,58,28,0,1,29
100,US Senator (Vote for 1),64,Jo Rae Perkins,348,24,10,0,0,14
100,US Senator (Vote for 1),64,Jo Rae Perkins,349,526,139,0,10,377
100,US Senator (Vote for 1),64,Jo Rae Perkins,350,"5,581","1,316",0,101,"4,164"
100,US Senator (Vote for 1),64,Jo Rae Perkins,351,"2,559",725,1,58,"1,775"
100,US Senator (Vote for 1),64,Jo Rae Perkins,352,904,144,0,17,743
100,US Senator (Vote for 1),64,Jo Rae Perkins,353,"2,036",434,0,27,"1,575"
100,US Senator (Vote for 1),64,Jo Rae Perkins,354,"1,660",440,0,28,"1,192"
100,US Senator (Vote for 1),64,Jo Rae Perkins,355,"1,231",281,0,27,923
100,US Senator (Vote for 1),64,Jo Rae Perkins,356,"1,438",497,0,12,929
100,US Senator (Vote for 1),64,Jo Rae Perkins,357,658,214,0,9,435
100,US Senator (Vote for 1),64,Jo Rae Perkins,358,"2,157",611,0,28,"1,518"
100,US Senator (Vote for 1),64,Jo Rae Perkins,359,"1,905",455,0,51,"1,399"
100,US Senator (Vote for 1),64,Jo Rae Perkins,360,"2,299",567,0,40,"1,692"
100,US Senator (Vote for 1),64,Jo Rae Perkins,361,"1,674",319,0,39,"1,316"
100,US Senator (Vote for 1),64,Jo Rae Perkins,362,"5,692","1,437",0,84,"4,171"
100,US Senator (Vote for 1),64,Jo Rae Perkins,363,"2,610",680,0,39,"1,891"
100,US Senator (Vote for 1),64,Jo Rae Perkins,364,"3,947",993,2,86,"2,866"
100,US Senator (Vote for 1),64,Jo Rae Perkins,365,"4,273",951,0,90,"3,232"
100,US Senator (Vote for 1),64,Jo Rae Perkins,366,"1,409",278,0,37,"1,094"
100,US Senator (Vote for 1),64,Jo Rae Perkins,367,"3,661",951,1,60,"2,649"
100,US Senator (Vote for 1),64,Jo Rae Perkins,368,"3,200",882,0,64,"2,254"
100,US Senator (Vote for 1),64,Jo Rae Perkins,369,"1,472",500,0,34,938
100,US Senator (Vote for 1),64,Jo Rae Perkins,370,"1,860",559,0,38,"1,263"
100,US Senator (Vote for 1),64,Jo Rae Perkins,371,"1,847",503,0,27,"1,317"
