PRESIDENT,Precinct,Voters,Trnout,Pct,John F Kerry (DEM),David Cobb (PAC),Michael Anthony Perout (CON),Michael Badnarik (LIB),George W Bush (REP),Write-ins,Over Votes,Under Votes
,113,771,622,80.67,184,309,31,13,2,1,82,
,114,364,321,88.19,81,194,7,4,0,0,35,
,115,301,267,88.7,81,140,11,5,0,0,30,
,116,164,147,89.63,63,60,5,5,0,0,14,
,117,175,149,85.14,40,76,12,5,0,1,15,
,119,159,138,86.75,39,76,2,5,0,0,16,
,120,1158,946,81.69,249,519,33,33,0,0,112,
,121,521,419,80.42,131,227,17,9,0,0,35,
,123,713,576,80.79,158,328,18,11,0,0,61,
,124,845,737,87.22,211,446,22,13,3,0,42,
,125,681,552,81.06,173,284,25,13,3,0,54,
,126,1162,914,78.66,368,395,33,22,0,0,96,
,127,478,401,83.89,145,197,12,4,0,0,43,
,128,1531,1253,81.84,516,539,64,23,0,0,111,
,129,923,719,77.90,283,312,25,20,1,0,78,
,130,1490,1197,80.27,393,642,47,23,2,0,90,
,131,664,481,72.44,169,235,20,7,0,0,50,
,132,968,764,78.93,270,375,18,10,2,0,89,
,133,848,617,72.76,207,317,11,14,0,0,68,
,136,1320,1047,79.32,395,461,46,27,0,0,118,
,137,1159,849,73.25,339,362,32,20,2,0,94,
,138,1296,1018,78.55,409,470,33,21,1,0,84,
,139,1204,1079,89.62,485,447,19,15,2,0,111,
,140,288,225,78.13,95,82,10,6,0,0,32,
,141,964,848,87.97,343,403,10,11,1,0,80,
,142,810,717,88.52,294,315,21,4,0,0,83,
,143,1264,1030,81.49,452,396,35,17,3,0,127,
,TOTAL,32841,26578,80.93,9677,12804,914,568,30,5,2580,
ATTORNEY GENERAL,Precinct,Voters,Trnout,Pct,Richard D Hake (CON),Paul Connolly (REP),Hardy Myers (DEM),"Donald G Smith, Jr (LIB)",Write-ins,Over Votes,Under Votes,
,101,520,420,80.77,11,211,155,13,0,0,30,
,102,1301,992,76.25,10,465,407,43,0,0,67,
,103,1272,1086,85.38,5,629,329,27,0,0,96,
,104,1377,1145,83.15,15,587,398,43,0,0,102,
,105,1222,909,74.39,13,474,318,38,2,0,64,
,106,1077,836,77.62,13,415,315,38,1,0,54,
,107,519,438,84.39,5,221,151,20,0,0,41,
,108,290,238,82.07,0,154,54,7,0,0,23,
,109,279,233,83.51,5,149,54,4,1,0,20,
,110,903,783,86.71,8,422,269,11,0,0,73,
,111,1751,1371,78.30,14,549,650,54,0,0,104,
,112,109,94,86.24,0,47,40,0,1,0,6,
,113,771,622,80.67,7,308,206,28,1,0,72,
,114,364,321,88.19,1,205,72,10,0,0,33,
,115,301,267,88.7,1,152,72,13,0,0,29,
,116,164,147,89.63,2,67,58,4,0,0,16,
,117,175,149,85.14,8,85,33,8,0,0,15,
,119,159,138,86.75,0,84,36,3,0,0,15,
,120,1158,946,81.69,5,564,246,30,1,0,100,
,121,521,419,80.42,7,237,127,13,0,0,35,
,123,713,576,80.79,9,351,140,18,0,0,58,
,124,845,737,87.22,5,446,231,18,0,0,37,
,125,681,552,81.06,9,296,160,28,2,0,57,
,126,1162,914,78.66,10,407,376,41,0,0,80,
,127,478,401,83.89,2,194,157,10,0,0,38,
,128,1531,1253,81.84,16,561,538,33,0,0,105,
,129,923,719,77.90,6,334,286,20,1,0,72,
,130,1490,1197,80.27,14,657,394,45,1,0,86,
,131,664,481,72.44,8,244,165,20,0,0,44,
,132,968,764,78.93,7,378,273,18,3,0,85,
,133,848,617,72.76,5,314,214,17,0,0,67,
,136,1320,1047,79.32,11,470,425,44,1,0,96,
,137,1159,849,73.25,11,354,351,41,1,0,91,
,138,1296,1018,78.55,15,461,437,27,0,0,78,
,139,1204,1079,89.62,2,450,517,23,1,0,86,
,140,288,225,78.13,2,89,96,11,0,0,27,
,141,964,848,87.97,4,381,387,11,1,0,64,
,142,810,717,88.52,4,327,302,13,0,0,71,
,143,1264,1030,81.49,8,418,467,29,2,0,106,
,TOTAL,32841,26578,80.93,278,13157,9906,874,20,0,2343,
STATE SENATOR 29TH DISTRICT,Precinct,Voters,Trnout,Pct,David Nelson (REP),Write-ins,Over Votes,Under Votes,,,,
,101,520,420,80.77,297,7,0,116,,,,
,102,1301,992,76.25,712,17,0,263,,,,
,103,1272,1086,85.38,841,16,1,228,,,,
,104,1377,1145,83.15,839,15,0,291,,,,
,105,1222,909,74.39,656,13,0,240,,,,
,106,1077,836,77.62,607,11,0,218,,,,
,107,519,438,84.39,330,2,0,106,,,,
,108,290,238,82.07,200,1,0,37,,,,
,109,279,233,83.51,182,3,0,48,,,,
,110,903,783,86.71,607,8,0,168,,,,
,111,1751,1371,78.30,941,24,1,405,,,,
,112,109,94,86.24,72,3,0,19,,,,
,113,771,622,80.67,469,7,0,146,,,,
,114,364,321,88.19,258,3,0,60,,,,
,115,301,267,88.7,212,2,0,53,,,,
,116,164,147,89.63,105,4,0,38,,,,
,117,175,149,85.14,101,1,1,46,,,,
,119,159,138,86.75,100,1,0,37,,,,
,120,1158,946,81.69,664,10,0,272,,,,
,121,521,419,80.42,311,2,0,106,,,,
,123,713,576,80.79,406,6,0,164,,,,
,124,845,737,87.22,594,7,0,136,,,,
,125,681,552,81.06,407,14,0,131,,,,
,126,1162,914,78.66,634,12,0,268,,,,
,127,478,401,83.89,294,1,0,106,,,,
,128,1531,1253,81.84,910,14,0,329,,,,
,129,923,719,77.90,495,15,0,209,,,,
,130,1490,1197,80.27,926,8,0,263,,,,
,131,664,481,72.44,338,6,0,137,,,,
,132,968,764,78.93,520,13,0,231,,,,
,133,848,617,72.76,426,5,0,186,,,,
,136,1320,1047,79.32,752,26,0,269,,,,
,137,1159,849,73.25,596,17,0,236,,,,
,138,1296,1018,78.55,777,21,0,220,,,,
,139,1204,1079,89.62,785,23,0,271,,,,
,140,288,225,78.13,169,5,0,51,,,,
,141,964,848,87.97,646,14,0,188,,,,
,142,810,717,88.52,532,8,0,177,,,,
,143,1264,1030,81.49,732,16,0,282,,,,
,TOTAL,32841,26578,80.93,19443,381,3,6751,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
