President (DEM),Precinct,Barack Obama,Write-ins,Trnout,Over Votes,Under Votes,,,
,1,11,10,6,68,5,100,0,5
,2,6,3,3,57,1,70,0,9
,3,2,0,1,16,0,19,0,2
,4,29,28,25,215,2,299,0,13
,5,37,43,26,317,4,427,0,24
,6,5,18,5,115,1,144,0,11
,7,6,4,9,63,0,82,0,3
,8,9,5,8,55,1,78,0,3
,9,7,1,7,40,2,57,0,2
,10,7,5,9,62,2,85,0,1
,11,37,42,32,336,5,452,0,22
,12,3,3,1,21,0,28,0,1
,13,18,17,11,117,2,165,0,4
,14,10,6,2,43,1,62,0,1
,15,19,27,12,158,6,222,0,10
,16,7,15,6,128,1,157,0,13
,17,34,50,18,402,2,506,0,14
,TOTAL,247,277,181,2213,35,2953,0,138
House Dist 2 (REP),Precinct,Greg Walden,Write-ins,Trnout,Over Votes,Under Votes,,,
,1,96,0,96,0,9,,,
,2,67,3,70,0,9,,,
,3,17,0,17,0,4,,,
,4,260,1,261,0,51,,,
,5,380,2,382,0,69,,,
,6,138,0,138,0,17,,,
,7,71,0,71,0,14,,,
,8,66,1,67,0,14,,,
,9,51,0,51,0,8,,,
,10,74,2,76,0,10,,,
,11,419,4,423,0,51,,,
,12,21,0,21,0,8,,,
,13,147,0,147,0,22,,,
,14,56,1,57,0,6,,,
,15,192,4,196,0,36,,,
,16,146,1,147,0,23,,,
,17,452,3,455,0,65,,,
,TOTAL,2653,22,2675,0,416,,,
Secretary of State (REP),Precinct,Knute Buehler,Write-ins,Trnout,Over Votes,Under Votes,,,
,1,83,0,83,0,23,,,
,2,57,3,60,0,22,,,
,3,15,0,15,0,6,,,
,4,211,3,214,0,103,,,
,5,328,2,330,0,125,,,
,6,116,2,118,0,39,,,
,7,44,0,44,0,42,,,
,8,64,1,65,0,19,,,
,9,39,0,39,0,20,,,
,10,65,1,66,0,20,,,
,11,351,5,356,0,124,,,
,12,15,1,16,0,14,,,
,13,124,2,126,0,43,,,
,14,50,0,50,0,15,,,
,15,157,1,158,0,74,,,
,16,105,1,106,0,65,,,
,17,383,1,384,0,143,,,
,TOTAL,2207,23,2230,0,897,,,
State Treasurer (REP),Precinct,Write-ins,Trnout,Over Votes,Under Votes,,,,
,1,10,10,0,96,,,,
,2,6,6,0,76,,,,
,3,0,0,0,21,,,,
,4,21,21,0,296,,,,
,5,23,23,0,432,,,,
,6,2,2,0,155,,,,
,7,2,2,0,84,,,,
,8,1,1,0,83,,,,
,9,4,4,0,55,,,,
,10,5,5,0,81,,,,
,11,28,28,0,452,,,,
,12,4,4,0,26,,,,
,13,9,9,0,160,,,,
,14,7,7,0,58,,,,
,15,9,9,0,223,,,,
,16,15,15,0,156,,,,
,17,35,35,0,492,,,,
,TOTAL,181,181,0,2946,,,,
Attorney General (REP),Precinct,Write-ins,Trnout,Over Votes,Under Votes,,,,
,1,11,11,0,95,,,,
,2,5,5,0,77,,,,
,3,1,1,0,20,,,,
,4,24,24,0,293,,,,
,5,20,20,0,435,,,,
,6,6,6,0,151,,,,
,7,2,2,0,84,,,,
,8,1,1,0,83,,,,
,9,4,4,0,55,,,,
,10,6,6,0,80,,,,
,11,29,29,0,451,,,,
,12,4,4,0,26,,,,
,13,10,10,0,159,,,,
,14,7,7,0,58,,,,
,15,8,8,0,224,,,,
,16,15,15,0,156,,,,
,17,41,41,0,486,,,,
,TOTAL,194,194,0,2933,,,,
State Senator Dist 28 (REP),Precinct,Karl Scronce,Douglas K Whitest,Write-ins,Trnout,Over Votes,Under Votes,,
,1,17,79,0,96,0,9,,
,2,18,48,0,66,0,13,,
,3,3,16,0,19,0,2,,
,4,47,206,1,254,0,58,,
,5,85,305,1,391,0,60,,
,6,30,112,0,142,0,13,,
,7,13,60,0,73,0,12,,
,8,15,57,0,72,0,9,,
,9,12,40,0,52,0,7,,
,10,17,51,1,69,0,17,,
,11,109,307,0,416,0,58,,
,12,2,22,0,24,0,5,,
,13,26,123,0,149,0,20,,
,14,17,40,0,57,0,6,,
,15,43,150,1,194,1,37,,
,16,34,114,0,148,0,22,,
,17,110,334,0,444,0,76,,
,TOTAL,598,2064,4,2666,1,424,,
State Rep Dist 55 (REP),Precinct,Mike McLane,Write-ins,Trnout,Over Votes,Under Votes,,,
,1,88,0,88,0,17,,,
,2,61,5,66,0,13,,,
,3,17,0,17,0,4,,,
,4,227,0,227,0,85,,,
,5,345,4,349,0,102,,,
,6,125,2,127,0,28,,,
,7,55,0,55,0,30,,,
,8,63,0,63,0,18,,,
,9,44,0,44,0,15,,,
,10,62,1,63,0,23,,,
,11,381,6,387,0,87,,,
,12,16,1,17,0,12,,,
,13,132,0,132,0,37,,,
,14,53,0,53,0,10,,,
,15,165,1,166,0,66,,,
,16,118,0,118,0,52,,,
,17,380,2,382,0,138,,,
,TOTAL,2332,22,2354,0,737,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
