SENATOR (DEM),Precinct,Voters,Trnout,Pct,Under Votes,Over Votes,Craig Hanson,Greg Haven,Bill Bradbury,,,,,,,
,101,515,152,29.5,8,0,8,3,42,,,,,,,
,102,1260,323,25.6,26,0,20,11,78,,,,,,,
,103,1187,549,46.3,38,0,35,6,90,,,,,,,
,104,1337,559,41.8,56,0,27,5,105,,,,,,,
,105,1152,373,32.4,41,1,33,3,67,,,,,,,
,106,1032,314,30.4,12,0,39,8,78,,,,,,,
,107,479,276,57.6,20,1,9,3,58,,,,,,,
,108,257,125,48.6,10,0,3,0,12,,,,,,,
,109,236,94,39.8,5,0,2,1,12,,,,,,,
,110,851,402,47.2,21,0,18,7,85,,,,,,,
,111,1614,558,34.6,39,0,36,10,142,,,,,,,
,112,108,52,48.1,4,0,1,1,7,,,,,,,
,113,761,268,35.2,16,0,13,4,53,,,,,,,
,114,352,147,41.8,7,0,2,2,16,,,,,,,
,115,279,114,40.9,9,0,4,3,15,,,,,,,
,116,159,53,33.3,5,0,1,2,17,,,,,,,
,117,143,44,30.8,3,0,3,0,12,,,,,,,
,119,160,53,33.1,7,0,1,2,12,,,,,,,
,120,1155,327,28.3,18,0,8,4,70,,,,,,,
,121,527,134,25.4,12,0,4,4,24,,,,,,,
,123,707,197,27.9,14,0,8,3,28,,,,,,,
,124,756,300,39.7,13,0,15,1,58,,,,,,,
,125,607,169,27.8,13,0,10,5,58,,,,,,,
,126,988,441,44.6,52,0,18,5,92,,,,,,,
,127,478,282,59,20,0,9,5,61,,,,,,,
,128,1363,677,49.7,65,0,47,15,179,,,,,,,
,129,741,288,38.9,30,1,20,6,73,,,,,,,
,130,1235,618,50,46,1,22,6,117,,,,,,,
,131,599,167,27.9,6,0,16,2,42,,,,,,,
,132,959,342,35.7,27,0,14,4,77,,,,,,,
,133,830,272,32.8,22,0,16,3,64,,,,,,,
,136,1157,481,41.6,41,0,25,12,123,,,,,,,
,137,1014,391,38.6,32,1,23,6,92,,,,,,,
,138,1151,583,50.7,39,0,24,13,143,,,,,,,
,139,1141,711,62.3,57,0,20,9,168,,,,,,,
,140,267,98,36.7,14,0,9,2,22,,,,,,,
,141,795,461,58,28,0,19,8,124,,,,,,,
,142,759,420,55.3,35,0,14,11,109,,,,,,,
,143,1192,546,45.8,39,0,26,6,181,,,,,,,
,TOTAL,30303,12361,40.8,950,5,622,201,2806,,,,,,,
HOUSE 2ND DISTRICT (DEM),Precinct,Voters,Trnout,Pct,Under Votes,Over Votes,Peter Buckley,John C McColgan,,,,,,,,
,101,515,152,29.5,14,0,33,14,,,,,,,,
,102,1260,323,25.6,44,0,64,27,,,,,,,,
,103,1187,549,46.3,59,0,67,43,,,,,,,,
,104,1337,559,41.8,78,2,52,61,,,,,,,,
,105,1152,373,32.4,53,1,56,35,,,,,,,,
,106,1032,314,30.4,28,0,56,53,,,,,,,,
,107,479,276,57.6,38,1,33,19,,,,,,,,
,108,257,125,48.6,11,0,10,4,,,,,,,,
,109,236,94,39.8,6,0,7,7,,,,,,,,
,110,851,402,47.2,43,0,57,31,,,,,,,,
,111,1614,558,34.6,62,0,104,61,,,,,,,,
,112,108,52,48.1,6,0,6,1,,,,,,,,
,113,761,268,35.2,25,0,41,20,,,,,,,,
,114,352,147,41.8,8,0,13,6,,,,,,,,
,115,279,114,40.9,15,0,11,5,,,,,,,,
,116,159,53,33.3,7,0,14,4,,,,,,,,
,117,143,44,30.8,5,0,6,7,,,,,,,,
,119,160,53,33.1,8,0,8,6,,,,,,,,
,120,1155,327,28.3,29,0,39,32,,,,,,,,
,121,527,134,25.4,15,0,18,11,,,,,,,,
,123,707,197,27.9,17,0,23,13,,,,,,,,
,124,756,300,39.7,27,0,41,19,,,,,,,,
,125,607,169,27.8,25,0,38,23,,,,,,,,
,126,988,441,44.6,70,0,56,41,,,,,,,,
,127,478,282,59,39,0,35,21,,,,,,,,
,128,1363,677,49.7,105,0,119,82,,,,,,,,
,129,741,288,38.9,45,0,47,38,,,,,,,,
,130,1235,618,50,78,0,66,48,,,,,,,,
,131,599,167,27.9,11,0,35,20,,,,,,,,
,132,959,342,35.7,49,0,52,21,,,,,,,,
,133,830,272,32.8,37,0,44,24,,,,,,,,
,136,1157,481,41.6,69,0,82,50,,,,,,,,
,137,1014,391,38.6,54,2,57,41,,,,,,,,
,138,1151,583,50.7,90,0,88,41,,,,,,,,
,139,1141,711,62.3,117,0,85,52,,,,,,,,
,140,267,98,36.7,19,0,21,7,,,,,,,,
,141,795,461,58,76,0,59,44,,,,,,,,
,142,759,420,55.3,72,0,56,41,,,,,,,,
,143,1192,546,45.8,104,0,88,60,,,,,,,,
,TOTAL,30303,12361,40.8,1658,6,1787,1133,,,,,,,,
GOVERNOR (DEM),Precinct,Voters,Trnout,Pct,Under Votes,Over Votes,Jim Hill,Caleb Burns,Ted Kulongoski,William Peter Allen,Bev Stein,,,,,
,101,515,152,29.5,8,0,10,2,27,2,12,,,,,
,102,1260,323,25.6,24,1,31,2,45,5,27,,,,,
,103,1187,549,46.3,32,0,36,5,63,6,27,,,,,
,104,1337,559,41.8,49,0,44,5,52,9,34,,,,,
,105,1152,373,32.4,30,1,32,3,51,4,24,,,,,
,106,1032,314,30.4,11,1,35,3,58,4,25,,,,,
,107,479,276,57.6,14,0,35,0,28,5,9,,,,,
,108,257,125,48.6,7,0,10,0,5,1,2,,,,,
,109,236,94,39.8,1,0,5,0,10,2,2,,,,,
,110,851,402,47.2,12,3,31,0,62,2,21,,,,,
,111,1614,558,34.6,7,2,76,9,96,7,30,,,,,
,112,108,52,48.1,2,0,5,1,4,1,0,,,,,
,113,761,268,35.2,11,0,23,1,39,3,9,,,,,
,114,352,147,41.8,4,0,8,0,13,1,1,,,,,
,115,279,114,40.9,4,0,8,1,13,2,3,,,,,
,116,159,53,33.3,0,0,11,0,9,3,2,,,,,
,117,143,44,30.8,1,1,2,0,8,1,5,,,,,
,119,160,53,33.1,2,0,8,1,8,0,3,,,,,
,120,1155,327,28.3,8,1,13,2,54,3,19,,,,,
,121,527,134,25.4,5,1,17,0,15,0,6,,,,,
,123,707,197,27.9,3,0,14,2,21,1,12,,,,,
,124,756,300,39.7,13,1,23,1,34,5,10,,,,,
,125,607,169,27.8,9,2,25,2,31,2,15,,,,,
,126,988,441,44.6,45,0,29,5,62,4,22,,,,,
,127,478,282,59,11,0,26,1,37,5,15,,,,,
,128,1363,677,49.7,37,4,77,6,104,9,69,,,,,
,129,741,288,38.9,25,0,27,7,54,2,15,,,,,
,130,1235,618,50,36,3,48,10,62,9,24,,,,,
,131,599,167,27.9,5,0,11,2,31,3,14,,,,,
,132,959,342,35.7,22,0,40,1,33,3,23,,,,,
,133,830,272,32.8,16,1,35,0,31,7,15,,,,,
,136,1157,481,41.6,17,0,53,2,101,7,21,,,,,
,137,1014,391,38.6,13,0,45,3,63,4,26,,,,,
,138,1151,583,50.7,15,1,91,2,77,5,28,,,,,
,139,1141,711,62.3,19,4,98,1,105,6,21,,,,,
,140,267,98,36.7,10,0,11,0,13,1,12,,,,,
,141,795,461,58,11,1,66,2,79,4,16,,,,,
,142,759,420,55.3,20,1,44,6,72,3,23,,,,,
,143,1192,546,45.8,12,1,79,4,120,7,29,,,,,
,TOTAL,30303,12361,40.8,571,30,1282,92,1790,148,671,,,,,
STATE HOUSE 57TH DISTRICT (DEM),Precinct,Voters,Trnout,Pct,Under Votes,Over Votes,Elizabeth Scheeler,,,,,,,,,
,101,44,14,31.8,5,0,9,,,,,,,,,
,103,11,5,45.5,5,0,0,,,,,,,,,
,106,8,8,100,1,0,7,,,,,,,,,
,107,27,15,55.6,9,0,6,,,,,,,,,
,110,52,29,55.8,11,0,18,,,,,,,,,
,112,1,0,0,0,0,0,,,,,,,,,
,114,35,10,28.6,6,0,4,,,,,,,,,
,115,34,13,38.2,5,0,8,,,,,,,,,
,116,7,2,28.6,2,0,0,,,,,,,,,
,117,40,18,45,7,0,11,,,,,,,,,
,119,55,22,40,10,0,12,,,,,,,,,
,120,302,100,33.1,29,0,71,,,,,,,,,
,121,146,44,30.1,16,0,28,,,,,,,,,
,123,197,53,26.9,23,0,30,,,,,,,,,
,124,6,5,83.3,3,0,2,,,,,,,,,
,125,78,33,42.3,15,0,18,,,,,,,,,
,131,221,66,29.9,17,0,49,,,,,,,,,
,132,304,122,40.1,57,0,65,,,,,,,,,
,133,292,105,36,37,0,68,,,,,,,,,
,TOTAL,1860,664,35.7,258,0,406,,,,,,,,,
SENATOR (REP),Precinct,Voters,Trnout,Pct,Under Votes,Over Votes,Gordon H Smith,,,,,,,,,
,101,515,152,29.5,6,0,56,,,,,,,,,
,102,1260,323,25.6,23,0,114,,,,,,,,,
,103,1187,549,46.3,33,0,260,,,,,,,,,
,104,1337,559,41.8,34,0,221,,,,,,,,,
,105,1152,373,32.4,21,0,128,,,,,,,,,
,106,1032,314,30.4,17,0,127,,,,,,,,,
,107,479,276,57.6,14,0,117,,,,,,,,,
,108,257,125,48.6,7,0,80,,,,,,,,,
,109,236,94,39.8,13,0,48,,,,,,,,,
,110,851,402,47.2,37,0,194,,,,,,,,,
,111,1614,558,34.6,25,0,229,,,,,,,,,
,112,108,52,48.1,2,0,32,,,,,,,,,
,113,761,268,35.2,16,0,138,,,,,,,,,
,114,352,147,41.8,4,0,103,,,,,,,,,
,115,279,114,40.9,14,0,56,,,,,,,,,
,116,159,53,33.3,0,0,17,,,,,,,,,
,117,143,44,30.8,2,0,19,,,,,,,,,
,119,160,53,33.1,4,0,24,,,,,,,,,
,120,1155,327,28.3,12,0,166,,,,,,,,,
,121,527,134,25.4,2,0,74,,,,,,,,,
,123,707,197,27.9,21,0,98,,,,,,,,,
,124,756,300,39.7,18,0,152,,,,,,,,,
,125,607,169,27.8,10,0,51,,,,,,,,,
,126,988,441,44.6,19,0,172,,,,,,,,,
,127,478,282,59,9,0,132,,,,,,,,,
,128,1363,677,49.7,39,0,221,,,,,,,,,
,129,741,288,38.9,19,0,86,,,,,,,,,
,130,1235,618,50,33,0,280,,,,,,,,,
,131,599,167,27.9,10,0,72,,,,,,,,,
,132,959,342,35.7,13,0,153,,,,,,,,,
,133,830,272,32.8,15,0,113,,,,,,,,,
,136,1157,481,41.6,30,0,173,,,,,,,,,
,137,1014,391,38.6,20,0,145,,,,,,,,,
,138,1151,583,50.7,23,0,259,,,,,,,,,
,139,1141,711,62.3,35,0,327,,,,,,,,,
,140,267,98,36.7,8,0,31,,,,,,,,,
,141,795,461,58,15,0,216,,,,,,,,,
,142,759,420,55.3,29,0,174,,,,,,,,,
,143,1192,546,45.8,27,0,189,,,,,,,,,
,TOTAL,30303,12361,40.8,679,0,5247,,,,,,,,,
HOUSE 2ND DISTRICT (REP),Precinct,Voters,Trnout,Pct,Under Votes,Over Votes,Greg Walden,,,,,,,,,
,101,515,152,29.5,8,0,54,,,,,,,,,
,102,1260,323,25.6,19,0,118,,,,,,,,,
,103,1187,549,46.3,39,0,254,,,,,,,,,
,104,1337,559,41.8,38,0,217,,,,,,,,,
,105,1152,373,32.4,30,0,119,,,,,,,,,
,106,1032,314,30.4,23,0,121,,,,,,,,,
,107,479,276,57.6,26,0,105,,,,,,,,,
