President (DEM),Precinct,Hillary Clinton,Barack Obama,WI,OV,UV,,,,
,102,88,121,0,0,4,,,,
,106,158,212,3,0,13,,,,
,110,93,80,0,0,5,,,,
,118,410,608,6,0,12,,,,
,122,66,64,3,0,3,,,,
,134,585,735,7,3,15,,,,
,144,644,818,11,2,18,,,,
,146,396,595,10,0,10,,,,
,152,429,550,12,1,22,,,,
,154,429,423,11,1,17,,,,
,162,615,620,15,1,20,,,,
,166,114,86,3,0,3,,,,
,178,459,708,9,1,11,,,,
,182,381,463,12,1,12,,,,
,TOTAL,4867,6083,102,10,165,,,,
US Senator (DEM),Precinct,Pavel Goberman,Jeff Merkley,Roger S. Obrist,David Loera,Candy Neville,Steve Novick,WI,OV,UV
,102,3,88,5,4,11,72,0,1,29
,106,5,158,7,0,38,106,0,0,72
,110,8,72,2,4,21,47,0,0,24
,118,18,437,14,9,60,340,7,3,148
,122,4,59,2,6,11,36,0,1,17
,134,18,611,23,9,79,397,1,2,205
,144,20,669,28,10,75,448,7,4,232
,146,25,445,11,10,50,308,2,0,160
,152,26,398,26,7,57,329,7,1,163
,154,16,400,18,10,68,244,4,3,118
,162,20,517,19,16,92,385,8,3,211
,166,2,81,8,3,25,62,2,1,22
,178,23,456,39,19,65,424,2,3,157
,182,24,335,18,27,59,265,1,3,137
,TOTAL,212,4726,220,134,711,3463,41,25,1695
"US Rep, 5th District (DEM)",Precinct,Kurt Schrader,Andrew Foster,Steve Marks,Nancy Moran,Richard Nathe,WI,OV,UV,
,102,81,12,38,34,4,1,1,42,
,106,130,19,55,65,6,1,0,110,
,110,45,14,22,59,4,0,1,33,
,118,428,49,197,121,7,4,3,227,
,122,53,4,23,25,3,0,0,28,
,134,523,68,191,198,19,1,3,342,
,144,554,69,245,231,23,10,2,359,
,146,437,50,155,137,15,3,1,213,
,152,388,59,170,153,8,6,1,229,
,154,301,53,140,176,12,2,3,194,
,162,427,69,199,238,30,7,1,300,
,166,53,12,38,59,6,3,1,34,
,178,433,75,220,175,17,7,2,259,
,182,285,52,148,184,12,3,1,184,
,TOTAL,4138,605,1841,1855,166,48,20,2554,
Secretary of State (DEM),Precinct,Kate Brown,Rick Metsger,Vicki L. Walker,Paul Damian Wells,WI,OV,UV,,
,102,106,41,31,4,0,0,31,,
,106,157,97,55,7,1,0,69,,
,110,78,44,23,6,1,0,26,,
,118,506,242,112,14,2,2,158,,
,122,60,30,24,4,0,0,18,,
,134,587,356,148,27,0,2,225,,
,144,748,298,170,31,8,2,236,,
,146,496,202,130,17,1,0,165,,
,152,463,241,122,39,3,0,146,,
,154,381,261,95,16,3,3,122,,
,162,570,305,137,38,3,0,218,,
,166,88,56,29,8,2,0,23,,
,178,561,250,161,29,4,0,183,,
,182,368,205,121,24,1,1,149,,
,TOTAL,5169,2628,1358,264,29,10,1769,,
State Treasurer (DEM),Precinct,Ben Westlund,WI,OV,UV,,,,,
,102,129,3,0,81,,,,,
,106,243,1,0,142,,,,,
,110,120,1,0,57,,,,,
,118,663,4,0,369,,,,,
,122,92,3,0,41,,,,,
,134,863,4,2,476,,,,,
,144,970,10,1,512,,,,,
,146,669,9,0,333,,,,,
,152,622,5,0,387,,,,,
,154,587,6,0,288,,,,,
,162,814,4,0,453,,,,,
,166,140,3,0,63,,,,,
,178,840,8,0,340,,,,,
,182,581,6,0,282,,,,,
,TOTAL,7333,67,3,3824,,,,,
Attorney General (DEM),Precinct,John R. Kroger,Greg Macpherson,WI,OV,UV,,,,
,102,91,77,1,0,44,,,,
,106,161,125,4,0,96,,,,
,110,79,64,1,1,33,,,,
,118,489,329,2,3,213,,,,
,122,55,50,0,0,31,,,,
,134,653,401,4,2,285,,,,
,144,682,482,5,1,323,,,,
,146,479,322,2,2,206,,,,
,152,491,324,3,0,196,,,,
,154,428,270,6,5,172,,,,
,162,560,429,2,1,279,,,,
,166,99,73,3,0,31,,,,
,178,570,365,4,0,249,,,,
,182,410,281,1,1,176,,,,
,TOTAL,5247,3592,38,16,2334,,,,
"State Senator, 5th District (DEM)",Precinct,Joanne Verger,WI,OV,UV,,,,,
,110,116,1,0,61,,,,,
,TOTAL,116,1,0,61,,,,,
"State Senator, 12th District (DEM)",Precinct,Kevin C. Northness,WI,OV,UV,,,,,
,102,105,2,0,106,,,,,
,106,209,4,0,173,,,,,
,118,520,6,0,510,,,,,
,152,471,9,0,534,,,,,
,154,498,6,0,377,,,,,
,162,665,6,0,600,,,,,
,166,115,4,0,87,,,,,
,TOTAL,2583,37,0,2387,,,,,
"State Representative, 10th District (DEM)",Precinct,Jean Cowan,WI,OV,UV,,,,,
,110,116,1,0,61,,,,,
,TOTAL,116,1,0,61,,,,,
"State Representative, 20th District (DEM)",,Richard Riggs,WI,OV,UV,,,,,
,122,87,0,0,49,,,,,
,134,793,3,0,549,,,,,
,144,877,15,0,601,,,,,
,146,586,5,0,420,,,,,
,178,805,6,0,377,,,,,
,182,547,6,0,316,,,,,
,,3695,35,0,2312,,,,,
"State Representative, 23rd District (DEM)",,Jason Brown,Wesley West,WI,OV,UV,,,,
,106,202,62,2,0,120,,,,
,118,566,133,4,2,331,,,,
,152,559,162,8,1,284,,,,
,154,469,166,3,3,240,,,,
,162,677,180,7,2,405,,,,
,166,116,41,0,0,49,,,,
,TOTAL,2589,744,24,8,1429,,,,
"State Representative, 24th District (DEM)",,Bernt (Al) Hansen,WI,OV,UV,,,,,
,102,108,3,0,102,,,,,
,TOTAL,108,3,0,102,,,,,
President (REP),Precinct,John McCain,Ron Paul,WI,OV,UV,,,,
,102,168,26,4,0,20,,,,
,106,262,57,10,0,20,,,,
,110,67,22,6,0,8,,,,
,118,795,152,32,0,50,,,,
,122,121,20,4,0,4,,,,
,134,955,131,43,0,58,,,,
,144,911,121,40,0,72,,,,
,146,794,83,35,0,48,,,,
,152,845,222,58,1,80,,,,
,154,661,115,34,0,37,,,,
,162,858,184,53,0,68,,,,
,166,82,22,3,0,10,,,,
,178,540,103,33,1,41,,,,
,182,417,88,17,0,31,,,,
,TOTAL,7476,1346,372,2,547,,,,
US Senator (REP),Precinct,Gordon H. Smith,Gordon Leitch,WI,OV,UV,,,,
,102,177,26,0,0,15,,,,
,106,272,49,2,0,26,,,,
,110,72,25,0,0,6,,,,
,118,837,124,4,0,64,,,,
,122,120,22,1,0,6,,,,
,134,991,135,2,0,59,,,,
,144,946,106,2,1,89,,,,
,146,809,102,5,1,43,,,,
,152,910,180,3,2,111,,,,
,154,683,116,1,0,47,,,,
,162,911,160,4,1,87,,,,
,166,90,20,2,0,5,,,,
,178,580,87,3,0,48,,,,
,182,431,79,1,0,42,,,,
,TOTAL,7829,1231,30,5,648,,,,
"US Representative, Dist 5 (REP)",Precinct,Mike Erickson,Kevin Mannix,Richard (RJ) Wilson,WI,OV,UV,,,
,102,71,120,10,1,2,14,,,
,106,140,163,19,3,0,24,,,
,110,49,39,11,0,0,4,,,
,118,388,535,47,1,3,55,,,
,122,70,59,6,1,2,11,,,
,134,514,566,40,4,5,58,,,
,144,466,563,44,0,3,68,,,
,146,415,446,28,3,4,64,,,
,152,453,584,82,2,3,82,,,
,154,407,344,46,3,1,46,,,
,162,529,472,63,2,5,92,,,
,166,50,60,3,1,0,3,,,
,178,312,321,32,2,2,49,,,
,182,265,224,25,3,2,34,,,
,TOTAL,4129,4496,456,26,32,604,,,
Secretary of State (REP),Precinct,Rick Dancer,WI,OV,UV,,,,,
,102,142,0,0,76,,,,,
,106,220,2,0,127,,,,,
,110,72,0,0,31,,,,,
,118,692,10,0,327,,,,,
,122,105,1,0,43,,,,,
,134,808,9,0,370,,,,,
,144,770,9,0,365,,,,,
,146,665,10,0,285,,,,,
,152,801,4,0,401,,,,,
,154,589,5,1,252,,,,,
,162,800,14,0,349,,,,,
,166,81,2,0,34,,,,,
,178,522,4,0,192,,,,,
,182,395,3,0,155,,,,,
,TOTAL,6662,73,1,3007,,,,,
State Treasurer (REP),Precinct,Allen Alley,WI,OV,UV,,,,,
,102,128,0,0,90,,,,,
,106,207,3,0,139,,,,,
,110,72,1,0,30,,,,,
,118,645,7,0,377,,,,,
,122,103,1,0,45,,,,,
,134,800,3,0,384,,,,,
,144,742,5,0,397,,,,,
,146,652,7,2,299,,,,,
,152,744,3,0,459,,,,,
,154,574,4,0,269,,,,,
,162,763,10,0,390,,,,,
,166,68,2,0,47,,,,,
