President,Precinct,Ralph Nader (PCE),Cynthia McKinney (PGP),John McCain (REP),Bob Barr (LIB),Chuck Baldwin (CON),Barack Obama (DEM),Write-ins,Over Votes,Under Votes
,1,5,1,214,1,2,341,1,1,6
,3,11,0,147,2,2,269,1,0,3
,5,7,6,199,3,3,321,9,0,3
,8,9,0,309,4,5,393,9,1,4
,11,3,2,198,1,1,247,2,0,4
,14,8,0,247,4,4,314,11,0,7
,15,2,0,87,1,2,117,1,0,2
,16,13,1,234,3,0,330,18,1,6
,18,14,2,975,5,7,886,7,1,11
,19,10,3,397,8,5,294,8,0,6
,20,4,0,268,3,7,192,4,0,9
,21,3,3,226,0,3,112,4,0,3
,22,0,0,20,0,0,6,0,0,1
,23,9,2,516,6,4,324,9,1,8
,25,15,7,338,3,3,268,7,1,4
,26,4,0,124,0,0,73,0,0,4
,27,0,0,301,5,1,172,4,0,2
,28,3,1,322,2,0,160,8,0,5
,29,9,1,848,7,8,576,9,4,8
,30,2,0,125,0,2,54,1,1,0
,31,10,0,478,4,3,342,9,0,5
,32,7,3,314,3,1,213,4,0,7
,34,1,3,190,1,0,101,4,0,2
,35,11,3,644,3,19,403,10,1,10
,36,7,0,388,0,4,287,4,1,4
,37,15,1,390,4,3,325,3,3,12
,38,12,1,320,4,5,286,9,4,5
,39,3,2,254,1,3,245,6,2,1
,41,9,0,227,3,2,193,0,1,6
,43,15,1,294,5,8,228,9,1,2
,44,7,3,387,7,11,407,5,0,4
,45,7,2,457,3,5,256,5,0,6
,46,14,5,501,2,6,322,7,0,14
,47,1,0,118,0,0,126,2,0,4
,48,11,3,451,4,7,356,10,0,9
,49,1,0,21,0,5,25,0,0,0
,51,8,0,406,2,4,189,7,1,10
,52,5,1,143,1,2,136,3,0,1
,53,5,2,432,3,5,215,9,0,4
,54,5,1,221,3,2,126,2,0,1
,55,5,4,296,3,3,183,1,0,4
,56,8,1,415,1,3,215,3,2,5
,57,6,1,157,0,0,78,2,0,2
,59,5,0,244,1,5,179,6,0,4
,61,4,1,193,1,2,117,0,1,7
,62,11,2,341,3,1,270,6,2,8
,63,15,1,1010,2,6,643,10,1,20
,65,0,0,19,0,0,17,0,0,0
,66,2,1,145,0,1,84,6,2,1
,70,10,1,659,1,1,398,11,3,9
,73,11,0,444,3,0,327,8,0,6
,75,10,7,528,5,2,240,7,0,8
,77,1,0,200,3,6,160,8,0,2
,78,7,3,343,3,0,243,6,0,2
,79,14,2,492,3,2,407,12,0,6
