PRESIDENT,Precinct,Voters,Trnout,Pct,Under Votes,Over Votes,Harry Browne (LIB),Patrick J Buchanan (IND),George W Bush (REP),Ralph Nader (PAC),John Hagelin (REF),Howard Phillips (CON),Al Gore (DEM),,,,
,101,507,390,76.9,11,6,5,5,211,11,0,3,138,,,,
,102,1294,918,70.9,15,6,12,10,494,22,2,1,356,,,,
,103,1174,983,83.7,16,4,1,9,651,33,3,0,266,,,,
,104,1336,1081,80.9,23,11,5,12,656,45,4,1,324,,,,
,105,1151,827,71.9,23,8,2,9,477,20,3,3,282,,,,
,106,1021,742,72.7,8,9,2,8,436,18,2,1,258,,,,
,107,465,358,77,8,5,1,4,211,9,1,1,118,,,,
,108,253,214,84.6,5,2,0,0,173,3,1,0,30,,,,
,109,217,192,88.5,8,0,1,1,140,5,0,0,37,,,,
,110,843,731,86.7,12,6,1,4,522,22,5,1,158,,,,
,111,1497,1195,79.8,24,16,3,10,608,28,0,4,502,,,,
,112,109,91,83.5,2,0,0,1,64,3,0,0,21,,,,
,113,721,570,79.1,18,4,1,7,385,19,1,1,134,,,,
,114,352,291,82.7,9,4,0,2,229,7,0,0,40,,,,
,115,270,231,85.6,5,0,2,0,166,4,0,0,54,,,,
,116,142,120,84.5,0,1,1,1,58,4,0,0,55,,,,
,117,145,122,84.1,3,0,0,1,95,1,0,0,22,,,,
,119,171,117,68.4,1,0,0,0,86,1,0,0,29,,,,
,120,1163,916,78.8,19,6,2,9,671,18,1,0,190,,,,
,121,539,419,77.7,10,9,0,1,286,8,2,2,101,,,,
,123,708,543,76.7,7,6,2,4,392,11,2,0,119,,,,
,124,751,629,83.8,4,7,4,6,450,10,1,0,147,,,,
,125,618,482,78,7,11,7,10,296,11,4,4,132,,,,
,126,944,707,74.9,18,6,3,7,368,17,1,0,287,,,,
,127,477,412,86.4,6,5,0,4,229,14,1,3,150,,,,
,128,1380,1094,79.3,27,14,6,18,574,32,4,3,416,,,,
,129,743,553,74.4,8,11,1,8,275,13,1,2,234,,,,
,130,1216,959,78.9,14,6,1,5,582,27,2,3,319,,,,
,131,573,407,71,15,10,5,6,215,13,1,1,141,,,,
,132,966,731,75.7,16,11,3,4,433,20,5,0,239,,,,
,133,852,648,76.1,18,6,2,8,391,19,0,0,204,,,,
,136,1090,871,79.9,21,13,10,6,472,27,1,1,320,,,,
,137,991,772,77.9,16,6,10,5,381,37,6,0,311,,,,
,138,1118,934,83.9,18,4,3,5,521,34,4,1,344,,,,
,139,1118,998,89.3,15,9,2,5,574,32,2,3,356,,,,
,140,250,211,84.4,7,0,4,3,114,9,0,1,73,,,,
,141,803,700,87.2,10,7,1,3,407,14,0,0,258,,,,
,142,743,655,88.2,16,2,3,1,390,19,0,0,224,,,,
,143,1126,944,83.8,21,13,9,5,457,15,2,2,420,,,,
,TOTAL,29837,23758,79.6,484,244,115,207,14140,655,62,42,7809,,,,
HOUSE 2ND DISTRICT,Precinct,Voters,Trnout,Pct,Under Votes,Over Votes,Greg Walden (REP),Walter Ponsford (DEM),,,,,,,,,
,101,507,390,76.9,32,0,243,115,,,,,,,,,
,102,1294,918,70.9,79,1,554,284,,,,,,,,,
,103,1174,983,83.7,70,4,709,200,,,,,,,,,
,104,1336,1081,80.9,91,3,718,269,,,,,,,,,
,105,1151,827,71.9,109,0,494,224,,,,,,,,,
,106,1021,742,72.7,58,1,482,201,,,,,,,,,
,107,465,358,77,20,0,246,92,,,,,,,,,
,108,253,214,84.6,17,1,179,17,,,,,,,,,
,109,217,192,88.5,17,0,146,29,,,,,,,,,
,110,843,731,86.7,50,0,560,121,,,,,,,,,
,111,1497,1195,79.8,86,0,720,389,,,,,,,,,
,112,109,91,83.5,5,0,63,23,,,,,,,,,
,113,721,570,79.1,45,0,406,119,,,,,,,,,
