President (DEM),Precinct,Trnout,"Lyndon H. Larouche, Jr",Al Gore,Write-ins,Under Votes,Over Votes,
,21,124,15,84,9,16,0,
,22,80,16,49,8,7,0,
,23,273,28,180,24,41,0,
,24,236,26,162,21,26,1,
,25,164,34,88,13,28,1,
,26,24,1,18,3,2,0,
,27,261,45,169,21,25,1,
,28,225,46,129,20,30,0,
,29,230,22,161,18,29,0,
,30,194,15,144,15,20,0,
,31,295,40,186,37,31,1,
,32,148,16,104,13,14,1,
,33,208,18,148,15,26,1,
,34,238,19,173,16,29,1,
,35,247,19,182,14,30,2,
,36,161,25,95,10,31,0,
,37,116,17,70,14,14,1,
,38,109,9,67,10,21,2,
,39,181,19,134,13,15,0,
,40,209,37,119,21,32,0,
,41,5,1,3,1,0,0,
,42,268,36,183,19,29,1,
,43,244,27,164,29,24,0,
,44,207,26,138,21,22,0,
,45,148,24,95,11,17,1,
,46,93,14,53,10,16,0,
,47,163,19,105,20,16,3,
,48,104,10,72,9,12,1,
,49,30,2,25,2,1,0,
,50,87,5,65,8,9,0,
,51,139,14,88,11,25,1,
,52,60,6,40,4,10,0,
,53,8,0,6,2,0,0,
,54,80,13,41,12,14,0,
House 2nd District (DEM),Precinct,Trnout,Walter Ponsford,Write-ins,Under Votes,Over Votes,,
,22,80,62,2,16,0,,
,23,279,169,10,100,0,,
,24,243,153,6,84,0,,
,25,165,81,8,76,0,,
,26,24,10,2,12,0,,
,27,267,168,3,95,1,,
,28,234,128,6,100,0,,
,29,234,137,4,93,0,,
,30,203,107,7,89,0,,
,31,303,150,7,145,1,,
,33,209,132,5,72,0,,
,34,241,146,6,89,0,,
,35,250,148,2,100,0,,
,36,168,87,6,75,0,,
,37,120,68,8,43,1,,
,38,111,62,3,45,1,,
,39,181,115,5,61,0,,
,40,213,126,7,80,0,,
,41,5,3,0,2,0,,
,43,253,150,13,90,0,,
,44,211,120,10,81,0,,
,46,94,54,6,34,0,,
,47,167,99,7,60,1,,
,48,104,68,10,26,0,,
,49,30,22,0,7,1,,
,50,90,62,2,26,0,,
,51,140,84,2,54,0,,
,52,62,43,0,19,0,,
,54,87,49,4,34,0,,
House 4th District (DEM),Precinct,Trnout,Peter A. DeFazio,Write-ins,Under Votes,Over Votes,,
,21 Merlin,125,106,1,18,0,,
,32,158,132,2,24,0,,
,42,274,238,5,31,0,,
,45,152,130,1,20,1,,
,53,9,8,1,0,0,,
