SENATOR,Precinct,Voters,Trnout,Pct,BILL BRADBURY (DEM),DAN FITZGERALD (LIB),LON MABON (CON),GORDON H. SMITH (REP),Under Votes,Over Votes,Write-ins,
,5605,140,94,67.14%,30,1,1,61,1,0,0,
,5819,3299,1959,59.38%,715,44,49,1112,29,1,9,
,5820,4163,2521,60.56%,955,62,42,1415,37,3,7,
,5828,3506,1939,55.31%,737,44,50,1068,28,3,9,
,5842,4258,2989,70.2%,1088,48,30,1757,57,5,4,
,5846,4292,2926,68.17%,910,58,50,1853,51,2,2,
,5850,2126,1265,59.5%,494,31,32,679,21,4,4,
,5851,4047,2655,65.6%,889,55,53,1614,35,5,4,
,5853,3389,2214,65.33%,836,49,45,1239,39,1,5,
,5855,3719,2554,68.67%,904,23,32,1546,40,3,6,
,5861,2545,1611,63.3%,592,44,26,902,34,7,6,
,5868,2647,1632,61.65%,610,33,23,932,22,6,6,
,5870,3241,1965,60.63%,800,63,48,996,44,6,8,
,5871,2039,988,48.46%,459,33,32,444,11,6,3,
,TOTAL,363587,245238,67.45%,137582,5824,2904,94733,3179,477,539,
HOUSE 1ST DISTRICT,Precinct,Voters,Trnout,Pct,JIM GREENFIELD (REP),BETH A. KING (LIB),DAVID WU (DEM),Under Votes,Over Votes,Write-ins,,
,0158,102,85,83.33%,38,1,36,10,0,0,,
,1013,4514,3548,78.6%,513,61,2878,86,3,7,,
,1025,3960,2561,64.67%,233,98,2154,61,4,11,,
,1045,249,211,84.74%,57,10,139,4,0,1,,
,1053,2797,1419,50.73%,212,60,1102,40,0,5,,
,1103,3446,2146,62.28%,293,108,1677,60,0,8,,
,1156,3106,2510,80.81%,519,50,1850,85,0,6,,
,1170,3831,3098,80.87%,612,69,2297,115,2,3,,
,1205,3970,2947,74.23%,475,82,2274,107,1,8,,
,1224,3219,2635,81.86%,448,62,2041,78,2,4,,
,1226,2284,1840,80.56%,345,40,1389,61,1,4,,
,1230,4065,3146,77.39%,553,66,2395,114,5,13,,
,1240,1601,1264,78.95%,262,30,922,47,3,0,,
,1245,4351,3333,76.6%,613,84,2530,98,3,5,,
,1315,3636,2457,67.57%,405,105,1844,88,7,8,,
,1507,340,285,83.82%,85,4,186,9,1,0,,
,1515,1120,929,82.95%,278,17,603,29,0,2,,
,TOTAL,46591,34414,73.86%,5941,947,26317,1092,32,85,,
HOUSE 3RD DISTRICT,Precinct,Voters,Trnout,Pct,EARL BLUMENAUER (DEM),WALTER F. (WALT) BROWN (SOC),DAVID BROWNLOW (CON),KEVIN JONES (LIB),SARAH SEALE (REP),Under Votes,Over Votes,Write-ins
,0543,37,11,29.73%,8,0,0,1,2,0,0,0
,0547,53,38,71.7%,14,3,0,0,18,3,0,0
,0548,33,18,54.55%,11,1,0,1,5,0,0,0
,0601,0,0,0%,0,0,0,0,0,0,0,0
,1002,787,568,72.17%,399,14,5,17,119,13,0,1
,1321,2251,1765,78.41%,1081,15,8,17,574,64,1,5
,1500,571,447,78.28%,292,6,6,11,112,19,1,0
,1504,1559,1166,74.79%,690,12,11,25,376,52,0,0
,1505,662,530,80.06%,283,12,6,12,197,15,3,2
,2002,3707,2092,56.43%,1450,61,43,54,419,56,1,8
,2026,3727,2059,55.25%,1475,62,49,55,360,47,3,8
,2029,3741,2239,59.85%,1639,71,43,48,359,69,3,7
,2077,4568,2949,64.56%,2080,80,40,70,562,97,5,15
,2086,3702,2344,63.32%,1824,96,38,39,292,40,11,4
,2099,3345,1875,56.05%,1496,137,23,37,141,29,8,4
,2100,3994,2752,68.9%,1999,87,30,51,480,92,5,8
,2114,3534,2438,68.99%,1830,130,26,53,327,57,7,8
,2143,2503,1588,63.44%,1008,16,19,34,457,48,2,4
,3000,3414,2137,62.6%,1452,61,38,44,447,85,5,5
,3002,3859,2500,64.78%,1833,78,25,47,413,91,7,6
,3004,2894,1608,55.56%,1262,72,13,45,166,39,5,6
,3008,3888,2647,68.08%,2069,91,26,42,329,66,5,19
,3058,4316,2763,64.02%,2137,168,25,52,306,60,4,11
,3097,3962,2528,63.81%,2109,134,17,44,168,53,2,1
,3113,3645,2900,79.56%,2325,60,13,38,379,81,0,4
,3128,3761,3086,82.05%,2475,68,17,35,413,71,2,5
,3144,2955,2451,82.94%,1987,43,9,24,312,70,2,4
,3151,4416,2724,61.68%,2273,165,16,44,144,63,5,14
,3177,3933,2840,72.21%,2135,66,31,37,457,103,9,2
,3185,2464,1633,66.27%,917,24,18,35,568,57,9,5
,3193,4099,2966,72.36%,2335,81,14,52,397,79,4,4
,3240,4314,2997,69.47%,2054,104,35,76,621,97,3,7
,3248,2800,1923,68.68%,1434,83,17,47,285,50,4,3
,3253,2871,2038,70.99%,1611,88,12,34,241,49,2,1
,3259,3721,2829,76.03%,2315,110,14,44,277,61,6,2
,3274,3355,2311,68.88%,1791,222,13,56,165,55,2,7
,3290,3399,2778,81.73%,2220,66,9,44,360,68,3,8
,3297,2297,1283,55.86%,893,36,25,30,262,31,5,1
,3307,2685,1754,65.33%,1035,21,23,13,596,62,3,1
,3311,2991,1889,63.16%,1173,26,36,32,551,61,3,7
,3315,2256,1263,55.98%,724,28,23,40,404,40,3,1
,3322,2209,1545,69.94%,946,17,12,14,497,51,3,5
,3327,1970,1265,64.21%,777,19,12,23,373,52,3,6
,3329,3470,2459,70.86%,1429,22,31,41,839,90,1,6
,3330,3450,2375,68.84%,1446,22,34,34,731,104,2,2
,4022,3485,2313,66.37%,1738,230,22,69,172,60,9,13
,4027,3313,2406,72.62%,1907,226,26,55,130,51,5,6
,4041,4042,3064,75.8%,2478,167,19,45,271,75,3,6
,4049,4168,2929,70.27%,2307,164,22,64,280,80,6,6
,4065,4531,3172,70.01%,2515,187,26,63,306,62,7,6
,4106,2889,2152,74.49%,1732,153,15,39,158,44,5,6
,4111,3400,2631,77.38%,1963,86,21,47,438,66,6,4
,4125,3213,1950,60.69%,1112,47,47,50,615,70,6,3
,4131,2764,1967,71.16%,1458,72,28,32,307,61,3,6
,4155,3558,2512,70.6%,1826,67,28,43,465,75,2,6
,4167,4087,2854,69.83%,2199,127,24,67,334,85,4,14
,4178,2828,1734,61.32%,1183,59,21,35,350,71,8,7
,4185,2636,1548,58.73%,995,69,37,45,334,58,0,10
,4202,3189,1960,61.46%,1247,52,48,65,472,65,4,7
,4216,1281,699,54.57%,381,17,23,17,234,20,2,5
,4242,3381,2471,73.08%,1840,78,31,51,378,83,5,5
,4250,2711,1962,72.37%,1415,60,30,47,338,62,4,6
,4254,1889,1310,69.35%,928,42,18,36,241,40,1,4
,4282,3634,2826,77.77%,2105,81,17,46,495,76,0,6
,4295,3541,2660,75.12%,2071,103,28,46,345,62,1,4
,4299,4097,2297,56.07%,1471,57,53,83,553,68,5,7
,4309,2397,1465,61.12%,814,21,18,29,539,41,2,1
,4320,2077,1395,67.16%,824,25,17,31,440,56,2,0
,4333,3161,1960,62.01%,1189,45,31,51,570,70,3,1
,4338,3285,1993,60.67%,1178,18,43,57,615,78,1,3
,4339,3514,1966,55.95%,1210,34,32,51,550,70,6,13
,4340,2160,1177,54.49%,710,24,39,23,330,46,2,3
,4344,2444,1471,60.19%,883,31,27,40,428,52,2,8
,4345,3668,2173,59.24%,1259,27,51,30,733,64,4,5
,4350,3753,2183,58.17%,1302,26,31,54,685,72,6,7
,4352,2228,1187,53.28%,710,22,36,26,353,34,3,3
,4359,1643,1052,64.03%,578,16,16,16,397,27,1,1
,4360,2329,1306,56.08%,772,25,29,31,404,40,2,3
,4361,3267,1886,57.73%,1134,29,44,40,566,67,1,5
,4362,2491,1425,57.21%,889,42,43,33,345,65,2,6
,4363,3720,2597,69.81%,1891,93,31,72,427,70,9,4
,5029,541,396,73.2%,236,5,0,5,123,26,1,0
,5100,3339,1977,59.21%,1112,28,25,49,693,66,1,3
,5200,3922,2436,62.11%,1172,27,66,50,1030,77,7,7
,5201,3250,2190,67.38%,1130,29,31,31,883,75,1,10
,5301,1336,736,55.09%,390,8,16,16,278,24,1,3
,5401,402,279,69.4%,172,0,2,3,87,14,0,1
,5425,2510,1745,69.52%,880,29,34,39,707,51,0,5
,5602,353,249,70.54%,111,3,2,5,119,8,1,0
,5604,2101,1478,70.35%,685,23,23,30,645,68,4,0
,5605,140,94,67.14%,54,0,3,0,35,2,0,0
,5819,3299,1959,59.38%,1103,38,42,32,673,66,1,4
,5820,4163,2521,60.56%,1445,44,27,47,857,87,4,10
,5828,3506,1939,55.31%,1037,38,30,49,703,73,2,7
,5842,4258,2989,70.2%,1663,19,32,43,1112,111,7,2
,5846,4292,2926,68.17%,1433,38,36,40,1264,104,6,5
,5850,2126,1265,59.5%,703,19,22,13,452,52,1,3
,5851,4047,2655,65.6%,1340,29,54,41,1092,91,3,5
,5853,3389,2214,65.33%,1244,28,36,27,770,100,1,8
,5855,3719,2554,68.67%,1418,24,36,18,959,95,1,3
,5861,2545,1611,63.3%,872,26,37,23,574,70,3,6
,5868,2647,1632,61.65%,906,32,24,29,584,53,0,4
,5870,3241,1965,60.63%,1161,34,21,47,600,88,5,9
,5871,2039,988,48.46%,593,28,21,27,285,28,3,3
,TOTAL,300107,197822,65.92%,133810,5949,2597,3885,44624,6105,337,515
HOUSE 5TH DISTRICT,Precinct,Voters,Trnout,Pct,BRIAN J. BOQUIST (REP),DARLENE HOOLEY (DEM),Under Votes,Over Votes,Write-ins,,,
,0156,66,54,81.82%,19,33,2,0,0,,,
,1183,2412,1814,75.21%,416,1305,87,1,5,,,
,1211,2120,1659,78.25%,364,1208,80,1,6,,,
,1213,3087,2354,76.26%,603,1627,112,0,12,,,
,1222,4049,3196,78.93%,941,2105,143,2,5,,,
,1238,2362,1730,73.24%,576,1067,80,2,5,,,
,1400,1737,1329,76.51%,492,785,48,0,4,,,
,1546,1056,866,82.01%,369,450,45,0,2,,,
,TOTAL,16889,13002,76.99%,3780,8580,597,6,39,,,
GOVERNOR,Precinct,Voters,Trnout,Pct,TOM COX (LIB),TED KULONGOSKI (DEM),KEVIN L. MANNIX (REP),Under Votes,Over Votes,Write-ins,,
,0156,66,54,81.82%,1,37,16,0,0,0,,
,0158,102,85,83.33%,1,33,48,3,0,0,,
,0543,37,11,29.73%,0,8,3,0,0,0,,
,0547,53,38,71.7%,0,14,23,0,0,1,,
,0548,33,18,54.55%,3,8,7,0,0,0,,
,0601,0,0,0%,0,0,0,0,0,0,,
,1002,787,568,72.17%,34,370,158,5,1,0,,
,1013,4514,3548,78.6%,89,2780,641,25,2,11,,
,1025,3960,2561,64.67%,124,2067,323,37,2,8,,
,1045,249,211,84.74%,2,139,67,3,0,0,,
,1053,2797,1419,50.73%,85,1053,257,16,0,8,,
,1103,3446,2146,62.28%,117,1587,400,29,0,13,,
,1156,3106,2510,80.81%,61,1797,610,35,1,6,,
,1170,3831,3098,80.87%,75,2173,811,32,2,5,,
,1183,2412,1814,75.21%,67,1287,430,27,0,3,,
,1205,3970,2947,74.23%,105,2151,649,32,1,9,,
,1211,2120,1659,78.25%,50,1204,385,17,0,3,,
,1213,3087,2354,76.26%,60,1660,582,43,1,8,,
,1222,4049,3196,78.93%,109,2148,896,33,3,7,,
,1224,3219,2635,81.86%,66,1899,635,27,1,7,,
,1226,2284,1840,80.56%,34,1333,454,16,0,3,,
,1230,4065,3146,77.39%,83,2210,791,41,5,16,,
,1238,2362,1730,73.24%,74,1048,575,22,5,6,,
,1240,1601,1264,78.95%,26,870,354,14,0,0,,
,1245,4351,3333,76.6%,100,2354,840,30,3,6,,
,1315,3636,2457,67.57%,111,1752,548,37,1,8,,
,1321,2251,1765,78.41%,36,1036,667,21,3,2,,
,1400,1737,1329,76.51%,36,768,496,24,3,2,,
,1500,571,447,78.28%,23,273,147,3,1,0,,
,1504,1559,1166,74.79%,54,633,456,17,1,5,,
,1505,662,530,80.06%,21,258,243,8,0,0,,
,1507,340,285,83.82%,7,169,103,6,0,0,,
,1515,1120,929,82.95%,24,538,350,11,2,4,,
,1546,1056,866,82.01%,22,461,369,12,1,1,,
,2002,3707,2092,56.43%,168,1310,559,26,4,25,,
,2026,3727,2059,55.25%,161,1352,503,27,3,13,,
,2029,3741,2239,59.85%,156,1534,504,27,3,15,,
,2077,4568,2949,64.56%,174,1918,783,53,2,19,,
,2086,3702,2344,63.32%,90,1789,420,38,5,2,,
,2099,3345,1875,56.05%,91,1529,218,26,2,9,,
,2100,3994,2752,68.9%,128,1875,707,28,2,12,,
,2114,3534,2438,68.99%,136,1835,429,28,2,8,,
,2143,2503,1588,63.44%,67,890,610,16,0,5,,
,3000,3414,2137,62.6%,126,1352,607,43,2,7,,
,3002,3859,2500,64.78%,104,1737,609,35,2,13,,
,3004,2894,1608,55.56%,99,1245,228,24,3,9,,
,3008,3888,2647,68.08%,100,2029,450,45,1,22,,
,3058,4316,2763,64.02%,129,2169,431,17,3,14,,
,3097,3962,2528,63.81%,113,2161,227,19,3,5,,
,3113,3645,2900,79.56%,81,2264,513,32,1,9,,
,3128,3761,3086,82.05%,78,2366,598,34,1,9,,
,3144,2955,2451,82.94%,59,1910,451,29,1,1,,
,3151,4416,2724,61.68%,101,2362,211,27,4,19,,
,3177,3933,2840,72.21%,106,2056,624,35,5,14,,
,3185,2464,1633,66.27%,77,818,702,22,9,5,,
,3193,4099,2966,72.36%,113,2237,560,40,2,14,,
,3240,4314,2997,69.47%,157,1968,806,44,5,17,,
,3248,2800,1923,68.68%,81,1433,380,22,2,5,,
,3253,2871,2038,70.99%,66,1601,335,23,5,8,,
,3259,3721,2829,76.03%,76,2332,389,24,1,7,,
,3274,3355,2311,68.88%,109,1926,232,29,2,13,,
,3290,3399,2778,81.73%,72,2161,509,26,2,8,,
,3297,2297,1283,55.86%,67,850,340,18,1,7,,
,3307,2685,1754,65.33%,60,897,764,28,0,5,,
,3311,2991,1889,63.16%,113,973,756,32,1,14,,
,3315,2256,1263,55.98%,81,639,510,27,2,4,,
,3322,2209,1545,69.94%,42,807,670,22,0,4,,
,3327,1970,1265,64.21%,60,692,482,26,0,5,,
,3329,3470,2459,70.86%,106,1193,1113,40,2,5,,
,3330,3450,2375,68.84%,81,1209,1037,40,4,4,,
,4022,3485,2313,66.37%,95,1947,234,22,3,12,,
,4027,3313,2406,72.62%,91,2088,189,30,3,5,,
,4041,4042,3064,75.8%,102,2538,386,26,3,9,,
,4049,4168,2929,70.27%,128,2370,388,28,0,15,,
,4065,4531,3172,70.01%,127,2532,445,44,4,20,,
,4106,2889,2152,74.49%,84,1806,234,18,2,8,,
,4111,3400,2631,77.38%,78,1901,611,34,3,4,,
,4125,3213,1950,60.69%,110,999,801,29,4,7,,
,4131,2764,1967,71.16%,82,1385,459,27,3,11,,
,4155,3558,2512,70.6%,105,1718,642,36,0,11,,
,4167,4087,2854,69.83%,114,2206,488,35,1,10,,
,4178,2828,1734,61.32%,100,1104,491,22,8,9,,
,4185,2636,1548,58.73%,105,951,443,35,2,12,,
,4202,3189,1960,61.46%,135,1139,638,31,4,13,,
,4216,1281,699,54.57%,67,320,289,18,0,5,,
,4242,3381,2471,73.08%,80,1819,529,33,4,6,,
,4250,2711,1962,72.37%,75,1350,513,17,1,6,,
,4254,1889,1310,69.35%,68,907,309,16,2,8,,
,4282,3634,2826,77.77%,76,2029,676,29,2,14,,
,4295,3541,2660,75.12%,85,2077,457,28,2,11,,
,4299,4097,2297,56.07%,187,1284,761,42,5,18,,
,4309,2397,1465,61.12%,60,708,667,23,5,2,,
,4320,2077,1395,67.16%,58,732,573,31,0,1,,
,4333,3161,1960,62.01%,113,1062,741,29,3,12,,
,4338,3285,1993,60.67%,127,948,863,46,1,8,,
,4339,3514,1966,55.95%,142,1025,750,31,2,16,,
,4340,2160,1177,54.49%,67,638,450,15,0,7,,
,4344,2444,1471,60.19%,88,777,568,24,3,11,,
,4345,3668,2173,59.24%,119,1096,916,31,2,9,,
,4350,3753,2183,58.17%,131,1100,900,40,3,9,,
,4352,2228,1187,53.28%,89,603,472,16,0,7,,
,4359,1643,1052,64.03%,37,523,481,6,1,4,,
,4360,2329,1306,56.08%,90,634,548,25,3,6,,
,4361,3267,1886,57.73%,109,962,766,42,1,6,,
,4362,2491,1425,57.21%,104,802,470,30,3,16,,
,4363,3720,2597,69.81%,132,1836,585,32,5,7,,
,5029,541,396,73.2%,13,223,153,6,0,1,,
,5100,3339,1977,59.21%,85,934,922,27,1,8,,
,5200,3922,2436,62.11%,127,1006,1268,27,3,5,,
,5201,3250,2190,67.38%,93,994,1057,35,2,9,,
,5301,1336,736,55.09%,36,349,329,16,2,4,,
,5401,402,279,69.4%,15,153,107,3,0,1,,
,5425,2510,1745,69.52%,82,783,846,25,1,8,,
,5602,353,249,70.54%,11,88,142,7,1,0,,
,5604,2101,1478,70.35%,65,603,774,33,1,2,,
,5605,140,94,67.14%,3,39,50,2,0,0,,
,5819,3299,1959,59.38%,108,916,895,32,0,8,,
,5820,4163,2521,60.56%,125,1182,1154,44,5,11,,
,5828,3506,1939,55.31%,117,903,871,33,2,13,,
,5842,4258,2989,70.2%,132,1399,1394,54,1,9,,
,5846,4292,2926,68.17%,111,1187,1562,57,3,6,,
,5850,2126,1265,59.5%,53,614,575,19,3,1,,
,5851,4047,2655,65.6%,103,1138,1361,41,4,8,,
,5853,3389,2214,65.33%,83,1080,1005,35,1,10,,
,5855,3719,2554,68.67%,69,1200,1240,35,2,8,,
,5861,2545,1611,63.3%,71,734,759,33,3,11,,
,5868,2647,1632,61.65%,76,753,778,21,1,3,,
,5870,3241,1965,60.63%,127,975,807,39,2,15,,
,5871,2039,988,48.46%,65,536,362,17,2,6,,
,TOTAL,363587,245238,67.45%,10658,159242,70745,3360,254,979,,
STATE SENATOR 16TH DISTRICT,Precinct,Voters,Trnout,Pct,JOAN DUKES (DEM),DON FELL (REP),HELEN MCDANIEL (LIB),Under Votes,Over Votes,Write-ins,,
,1505,662,530,80.06%,244,223,23,39,0,1,,
,TOTAL,662,530,80.06%,244,223,23,39,0,1,,
STATE SENATOR 17TH DISTRICT,Precinct,Voters,Trnout,Pct,CHARLIE RINGO (DEM),BILL WITT (REP),Under Votes,Over Votes,Write-ins,,,
,1002,787,568,72.17%,364,177,25,1,1,,,
,1013,4514,3548,78.6%,2607,791,139,0,11,,,
,1025,3960,2561,64.67%,1963,436,144,5,13,,,
,1045,249,211,84.74%,121,82,6,1,1,,,
,1053,2797,1419,50.73%,959,363,80,5,12,,,
,1321,2251,1765,78.41%,880,794,86,3,2,,,
,1500,571,447,78.28%,261,167,18,0,1,,,
,1504,1559,1166,74.79%,601,508,48,2,7,,,
,1507,340,285,83.82%,157,122,5,0,1,,,
,TOTAL,17028,11970,70.3%,7913,3440,551,17,49,,,
STATE SENATOR 19TH DISTRICT,Precinct,Voters,Trnout,Pct,DAVID M. AKIN (LIB),RICHARD DEVLIN (DEM),BOB TIERNAN (REP),Under Votes,Over Votes,Write-ins,,
,0156,66,54,81.82%,0,31,21,2,0,0,,
,1211,2120,1659,78.25%,37,1102,422,93,1,4,,
,1213,3087,2354,76.26%,67,1494,651,128,3,11,,
,1222,4049,3196,78.93%,95,1900,1020,167,4,10,,
,1400,1737,1329,76.51%,42,685,536,62,1,3,,
,1546,1056,866,82.01%,18,401,408,38,1,0,,
,TOTAL,12115,9458,78.07%,259,5613,3058,490,10,28,,
STATE SENATOR 24TH DISTRICT,Precinct,Voters,Trnout,Pct,"CLETUS MOORE, JR. (REP)",FRANK SHIELDS (DEM),Under Votes,Over Votes,Write-ins,,,
,3311,2991,1889,63.16%,658,1075,138,4,14,,,
,3322,2209,1545,69.94%,658,764,116,2,5,,,
,3327,1970,1265,64.21%,447,714,90,1,13,,,
,3329,3470,2459,70.86%,1044,1241,155,4,15,,,
,3330,3450,2375,68.84%,891,1310,161,3,10,,,
,4309,2397,1465,61.12%,650,695,110,3,7,,,
,4320,2077,1395,67.16%,499,780,111,1,4,,,
,4333,3161,1960,62.01%,668,1141,137,6,8,,,
,4338,3285,1993,60.67%,722,1083,174,2,12,,,
,4339,3514,1966,55.95%,688,1083,167,2,26,,,
,4340,2160,1177,54.49%,408,649,110,0,10,,,
,4344,2444,1471,60.19%,530,823,105,3,10,,,
,4345,3668,2173,59.24%,817,1187,152,2,15,,,
,4350,3753,2183,58.17%,783,1207,179,3,11,,,
,4352,2228,1187,53.28%,429,659,91,0,8,,,
,4359,1643,1052,64.03%,462,500,85,1,4,,,
,4360,2329,1306,56.08%,467,718,106,2,13,,,
,4361,3267,1886,57.73%,681,1031,162,0,12,,,
,5605,140,94,67.14%,43,49,2,0,0,,,
,TOTAL,50156,30841,61.49%,11545,16709,2351,39,197,,,
