SENATOR,Precinct,Voters,Trnout,Pct,BILL BRADBURY (DEM),DAN FITZGERALD (LIB),LON MABON (CON),GORDON H. SMITH (REP),Under Votes,Over Votes,Write-ins,
,0156,66,54,81.82%,32,0,0,22,0,0,0,
,0158,102,85,83.33%,27,0,0,58,0,0,0,
,0543,37,11,29.73%,7,0,0,4,0,0,0,
,0547,53,38,71.7%,9,1,2,26,0,0,0,
,0548,33,18,54.55%,9,2,0,7,0,0,0,
,0601,0,0,0%,0,0,0,0,0,0,0,
,1002,787,568,72.17%,332,20,3,208,5,0,0,
,1013,4514,3548,78.6%,2469,42,8,992,28,6,3,
,1025,3960,2561,64.67%,1903,95,24,501,30,4,4,
,1045,249,211,84.74%,112,4,0,94,1,0,0,
,1053,2797,1419,50.73%,922,52,14,411,15,0,5,
,1103,3446,2146,62.28%,1423,95,31,567,23,2,5,
,1156,3106,2510,80.81%,1443,33,1,1001,27,1,4,
,1170,3831,3098,80.87%,1779,40,7,1236,29,4,3,
,1183,2412,1814,75.21%,1157,33,11,588,22,3,0,
,1205,3970,2947,74.23%,1853,59,13,978,34,5,5,
,1211,2120,1659,78.25%,1016,24,7,586,25,0,1,
,1213,3087,2354,76.26%,1409,43,16,845,33,7,1,
,1222,4049,3196,78.93%,1761,51,24,1320,32,5,3,
,1224,3219,2635,81.86%,1628,34,7,934,26,5,1,
,1226,2284,1840,80.56%,1050,28,5,739,14,2,2,
,1230,4065,3146,77.39%,1820,59,16,1199,45,1,6,
,1238,2362,1730,73.24%,844,40,23,798,17,5,3,
,1240,1601,1264,78.95%,691,18,4,537,13,1,0,
,1245,4351,3333,76.6%,2011,55,13,1208,33,7,6,
,1315,3636,2457,67.57%,1536,79,26,782,28,3,3,
,1321,2251,1765,78.41%,769,20,5,943,26,1,1,
,1400,1737,1329,76.51%,605,20,5,676,19,4,0,
,1500,571,447,78.28%,230,7,4,196,6,4,0,
,1504,1559,1166,74.79%,554,18,15,559,19,1,0,
,1505,662,530,80.06%,211,12,6,295,4,1,1,
,1507,340,285,83.82%,139,2,0,142,2,0,0,
,1515,1120,929,82.95%,372,12,3,534,7,1,0,
,1546,1056,866,82.01%,345,6,1,506,7,1,0,
,2002,3707,2092,56.43%,1194,79,44,742,19,6,8,
,2026,3727,2059,55.25%,1202,76,40,707,22,7,5,
,2029,3741,2239,59.85%,1340,79,43,737,31,2,7,
,2077,4568,2949,64.56%,1693,106,31,1052,45,4,18,
,2086,3702,2344,63.32%,1589,58,32,619,36,7,3,
,2099,3345,1875,56.05%,1419,65,18,340,18,9,6,
,2100,3994,2752,68.9%,1620,89,25,968,39,5,6,
,2114,3534,2438,68.99%,1653,69,25,648,33,4,6,
,2143,2503,1588,63.44%,747,31,14,780,12,2,2,
,3000,3414,2137,62.6%,1156,68,32,831,41,2,7,
,3002,3859,2500,64.78%,1513,56,28,862,33,5,3,
,3004,2894,1608,55.56%,1141,57,16,363,19,6,6,
,3008,3888,2647,68.08%,1839,68,40,640,35,4,21,
,3058,4316,2763,64.02%,2032,76,30,589,26,5,5,
,3097,3962,2528,63.81%,1990,62,11,429,26,6,4,
,3113,3645,2900,79.56%,1973,39,7,843,34,3,1,
,3128,3761,3086,82.05%,2082,34,16,913,34,4,3,
,3144,2955,2451,82.94%,1623,32,12,748,28,6,2,
,3151,4416,2724,61.68%,2212,72,16,371,35,7,11,
,3177,3933,2840,72.21%,1769,50,26,947,39,6,3,
,3185,2464,1633,66.27%,681,47,16,857,19,10,3,
,3193,4099,2966,72.36%,1993,57,15,854,35,9,3,
,3240,4314,2997,69.47%,1742,89,41,1070,41,7,7,
,3248,2800,1923,68.68%,1244,59,21,559,31,4,5,
,3253,2871,2038,70.99%,1452,39,16,501,25,4,1,
,3259,3721,2829,76.03%,2115,44,14,626,22,4,4,
,3274,3355,2311,68.88%,1835,81,12,348,27,3,5,
,3290,3399,2778,81.73%,1824,36,9,885,19,2,3,
,3297,2297,1283,55.86%,742,33,28,456,17,2,5,
,3307,2685,1754,65.33%,682,18,24,994,27,6,3,
,3311,2991,1889,63.16%,807,36,42,957,34,5,8,
,3315,2256,1263,55.98%,553,53,31,609,13,2,2,
,3322,2209,1545,69.94%,626,19,20,856,19,3,2,
,3327,1970,1265,64.21%,557,24,21,631,26,2,4,
,3329,3470,2459,70.86%,951,47,33,1375,41,4,8,
,3330,3450,2375,68.84%,1003,31,28,1273,31,6,3,
,4022,3485,2313,66.37%,1831,78,18,337,29,9,11,
,4027,3313,2406,72.62%,1990,89,7,288,23,3,6,
,4041,4042,3064,75.8%,2385,65,15,569,22,2,6,
,4049,4168,2929,70.27%,2184,84,17,595,38,6,5,
,4065,4531,3172,70.01%,2351,98,30,653,35,1,4,
,4106,2889,2152,74.49%,1710,58,17,336,17,8,6,
,4111,3400,2631,77.38%,1709,45,16,828,25,6,2,
,4125,3213,1950,60.69%,840,61,43,961,30,9,6,
,4131,2764,1967,71.16%,1228,39,24,643,22,4,7,
,4155,3558,2512,70.6%,1528,37,29,868,42,4,4,
,4167,4087,2854,69.83%,2045,75,15,666,34,7,12,
,4178,2828,1734,61.32%,975,62,27,628,27,10,5,
,4185,2636,1548,58.73%,857,58,41,553,30,3,6,
,4202,3189,1960,61.46%,1001,91,34,790,31,5,8,
,4216,1281,699,54.57%,277,22,20,361,16,2,1,
,4242,3381,2471,73.08%,1593,51,19,767,36,1,4,
,4250,2711,1962,72.37%,1192,48,18,679,18,4,3,
,4254,1889,1310,69.35%,782,30,23,457,15,2,1,
,4282,3634,2826,77.77%,1620,44,12,1113,31,1,5,
,4295,3541,2660,75.12%,1859,58,13,702,19,5,4,
,4299,4097,2297,56.07%,1158,94,57,948,28,5,7,
,4309,2397,1465,61.12%,568,26,24,812,21,7,7,
,4320,2077,1395,67.16%,562,31,23,746,24,5,4,
,4333,3161,1960,62.01%,868,55,49,951,31,6,0,
,4338,3285,1993,60.67%,792,61,47,1044,44,3,2,
,4339,3514,1966,55.95%,911,66,44,898,28,5,14,
,4340,2160,1177,54.49%,544,36,33,536,22,1,5,
,4344,2444,1471,60.19%,632,51,18,730,30,2,8,
,4345,3668,2173,59.24%,876,55,48,1162,26,4,2,
,4350,3753,2183,58.17%,903,58,44,1132,34,7,5,
,4352,2228,1187,53.28%,519,38,33,577,14,2,4,
,4359,1643,1052,64.03%,435,21,19,568,7,2,0,
,4360,2329,1306,56.08%,576,40,38,620,21,5,6,
,4361,3267,1886,57.73%,818,54,42,931,34,2,5,
,4362,2491,1425,57.21%,670,45,43,623,33,1,10,
,4363,3720,2597,69.81%,1623,75,26,830,34,5,4,
,5029,541,396,73.2%,169,8,2,208,8,0,1,
,5100,3339,1977,59.21%,761,41,25,1125,21,2,2,
,5200,3922,2436,62.11%,822,73,46,1449,32,10,4,
,5201,3250,2190,67.38%,774,30,31,1304,37,3,11,
,5301,1336,736,55.09%,274,23,14,412,9,1,3,
,5401,402,279,69.4%,106,5,3,161,2,2,0,
,5425,2510,1745,69.52%,646,39,50,984,18,4,4,
,5602,353,249,70.54%,72,7,5,160,4,1,0,
,5604,2101,1478,70.35%,465,28,18,938,26,1,2,
