ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100038421,"US Representative, District 2","","","","US Congressional District 2",1,,9901,"Write-in",12/9/2018 7:21:34 AM,1,8,0.00223776223776224,304/381,
100038421,"US Representative, District 2","Democrat, Working Families","","","US Congressional District 2",1,,100060598,"Jamie McLeod-Skinner",12/9/2018 7:21:34 AM,1,571,0.15972027972028,304/381,
100038421,"US Representative, District 2","Independent","","","US Congressional District 2",1,,100060602,"Mark R Roberts",12/9/2018 7:21:34 AM,1,228,0.0637762237762238,304/381,
100038421,"US Representative, District 2","Republican","","","US Congressional District 2",1,,100061546,"Greg Walden",12/9/2018 7:21:34 AM,1,2768,0.774265734265734,304/381,
100038425,"Governor","","","","Statewide Partisan",4,,9901,"Write-in",12/9/2018 7:21:34 AM,1,5,0.00140567894292943,1002/1335,
100038425,"Governor","Constitution","","","Statewide Partisan",4,,100063718,"Aaron Auer",12/9/2018 7:21:34 AM,1,81,0.0227719988754568,1002/1335,
100038425,"Governor","Democrat, Working Families","","","Statewide Partisan",4,,300027544,"Kate Brown",12/9/2018 7:21:34 AM,1,476,0.133820635366882,1002/1335,
100038425,"Governor","Libertarian","","","Statewide Partisan",4,,100063719,"Nick Chen",12/9/2018 7:21:34 AM,1,52,0.0146190610064661,1002/1335,
100038425,"Governor","Independent","","","Statewide Partisan",4,,100061848,"Patrick Starnes",12/9/2018 7:21:34 AM,1,155,0.0435760472308125,1002/1335,
100038425,"Governor","Progressive","","","Statewide Partisan",4,,100064101,"Chris Henry",12/9/2018 7:21:34 AM,1,14,0.00393590104020242,1002/1335,
100038425,"Governor","Republican","","","Statewide Partisan",4,,100060616,"Knute Buehler",12/9/2018 7:21:34 AM,1,2774,0.77987067753725,1002/1335,
100038489,"State Representative, 56th District","","","","HD 56",5,,9901,"Write-in",12/9/2018 7:21:34 AM,1,4,0.00209753539590981,47/47,
100038489,"State Representative, 56th District","Democrat","","","HD 56",5,,100061700,"Taylor Tupper",12/9/2018 7:21:34 AM,1,337,0.176717357105401,47/47,
100038489,"State Representative, 56th District","Republican, Libertarian, Independent","","","HD 56",5,,300027745,"E Werner Reschke",12/9/2018 7:21:34 AM,1,1566,0.821185107498689,47/47,
100038321,"State Representative, 60th District","","","","HD 60",6,,9901,"Write-in",12/9/2018 7:21:34 AM,1,1,0.0043859649122807,55/55,
100038321,"State Representative, 60th District","Republican, Democrat, Independent","","","HD 60",6,,100060664,"Lynn P Findley",12/9/2018 7:21:34 AM,1,227,0.995614035087719,55/55,
100038493,"State Senator, 30th District","","","","SD 30",9,,9901,"Write-in",12/9/2018 7:21:34 AM,1,0,0,93/93,
100038493,"State Senator, 30th District","Democrat","","","SD 30",9,,100063726,"Solea Kabakov",12/9/2018 7:21:34 AM,1,41,0.119883040935673,93/93,
100038493,"State Senator, 30th District","Republican","","","SD 30",9,,100063725,"Cliff Bentz",12/9/2018 7:21:34 AM,1,301,0.880116959064328,93/93,
100038488,"State Representative, 55th District","","","","HD 55",9,,9901,"Write-in",12/9/2018 7:21:34 AM,1,2,0.00171673819742489,49/49,
100038488,"State Representative, 55th District","Democrat, Working Families","","","HD 55",9,,100061482,"Karen Rippberger",12/9/2018 7:21:34 AM,1,218,0.187124463519313,49/49,
100038488,"State Representative, 55th District","Republican, Independent","","","HD 55",9,,300025077,"Mike McLane",12/9/2018 7:21:34 AM,1,945,0.811158798283262,49/49,
300020020,"Sheriff","","","","LAKE",12,,9901,"Write-in",12/9/2018 7:21:34 AM,1,84,0.0306010928961749,19/19,
300020020,"Sheriff","","","","LAKE",12,,100040009,"Michael Taylor",12/9/2018 7:21:34 AM,1,2661,0.969398907103825,19/19,
300023924,"LAKE COUNTY COMMISSIONER NO. 2","","","","LAKE",13,,9901,"Write-in",12/9/2018 7:21:34 AM,1,29,0.00893958076448829,19/19,
300023924,"LAKE COUNTY COMMISSIONER NO. 2","","","","LAKE",13,,300034649,"James Williams",12/9/2018 7:21:34 AM,1,2025,0.62422934648582,19/19,
300023924,"LAKE COUNTY COMMISSIONER NO. 2","","","","LAKE",13,,300034650,"Bruce Webbon",12/9/2018 7:21:34 AM,1,1190,0.366831072749692,19/19,
300020021,"City of Paisley Council (Vote For 3)","","","","CITY OF PAISLEY",14,,9901,"Write-in",12/9/2018 7:21:34 AM,3,16,0.0528052805280528,1/1,
300020021,"City of Paisley Council (Vote For 3)","","","","CITY OF PAISLEY",14,,100063871,"Craig De Larm",12/9/2018 7:21:34 AM,3,103,0.33993399339934,1/1,
300020021,"City of Paisley Council (Vote For 3)","","","","CITY OF PAISLEY",14,,100063800,"Dale N Roberts",12/9/2018 7:21:34 AM,3,116,0.382838283828383,1/1,
300020021,"City of Paisley Council (Vote For 3)","","","","CITY OF PAISLEY",14,,100063849,"Krissy Funk",12/9/2018 7:21:34 AM,3,68,0.224422442244224,1/1,
300020022,"Town of Lakeview Council (Vote For 2)","","","","TOWN OF LAKEVIEW",15,,9901,"Write-in",12/9/2018 7:21:34 AM,2,14,0.00837821663674446,5/5,
300020022,"Town of Lakeview Council (Vote For 2)","","","","TOWN OF LAKEVIEW",15,,100063887,"Robert (Scott) Langum",12/9/2018 7:21:34 AM,2,380,0.227408737283064,5/5,
300020022,"Town of Lakeview Council (Vote For 2)","","","","TOWN OF LAKEVIEW",15,,100063883,"Mike Warren",12/9/2018 7:21:34 AM,2,250,0.149611011370437,5/5,
300020022,"Town of Lakeview Council (Vote For 2)","","","","TOWN OF LAKEVIEW",15,,100063886,"Mike Winters",12/9/2018 7:21:34 AM,2,291,0.174147217235189,5/5,
300020022,"Town of Lakeview Council (Vote For 2)","","","","TOWN OF LAKEVIEW",15,,100063789,"Niki Taylor",12/9/2018 7:21:34 AM,2,532,0.31837223219629,5/5,
300020022,"Town of Lakeview Council (Vote For 2)","","","","TOWN OF LAKEVIEW",15,,100063889,"Michael W Cuff",12/9/2018 7:21:34 AM,2,204,0.122082585278276,5/5,
300001005,"19-32 Lake County Second Amendment Preservation Ordinance","","","","LAKE",21,,1,"Yes",12/9/2018 7:21:34 AM,1,2466,0.713335261787677,19/19,
300001005,"19-32 Lake County Second Amendment Preservation Ordinance","","","","LAKE",21,,2,"No",12/9/2018 7:21:34 AM,1,991,0.286664738212323,19/19,
300001030,"19-33 TOWN OF LAKEVIEW  A THREE PERCENT TAX ON THE SALE OF MARIJUANA ITEMS BY A MARIJUANA RETAILER","","","","TOWN OF LAKEVIEW",22,,1,"Yes",12/9/2018 7:21:34 AM,1,858,0.852035749751738,5/5,
300001030,"19-33 TOWN OF LAKEVIEW  A THREE PERCENT TAX ON THE SALE OF MARIJUANA ITEMS BY A MARIJUANA RETAILER","","","","TOWN OF LAKEVIEW",22,,2,"No",12/9/2018 7:21:34 AM,1,149,0.147964250248262,5/5,
100038332,"Judge of the Supreme Court, Position 5","","","","Statewide Nonpartisan",28,,9901,"Write-in",12/9/2018 7:21:34 AM,1,47,0.0236656596173212,1002/1335,
100038332,"Judge of the Supreme Court, Position 5","","","","Statewide Nonpartisan",28,,100063754,"Adrienne Nelson",12/9/2018 7:21:34 AM,1,1939,0.976334340382679,1002/1335,
100038324,"Judge of the Court of Appeals, Position 2","","","","Statewide Nonpartisan",29,,9901,"Write-in",12/9/2018 7:21:34 AM,1,42,0.0222457627118644,1002/1335,
100038324,"Judge of the Court of Appeals, Position 2","","","","Statewide Nonpartisan",29,,100063677,"Bronson D James",12/9/2018 7:21:34 AM,1,1846,0.977754237288136,1002/1335,
100038325,"Judge of the Court of Appeals, Position 4","","","","Statewide Nonpartisan",30,,9901,"Write-in",12/9/2018 7:21:34 AM,1,43,0.0223492723492724,1002/1335,
100038325,"Judge of the Court of Appeals, Position 4","","","","Statewide Nonpartisan",30,,100063678,"Robyn Ridler Aoyagi",12/9/2018 7:21:34 AM,1,1881,0.977650727650728,1002/1335,
100038327,"Judge of the Court of Appeals, Position 7","","","","Statewide Nonpartisan",31,,9901,"Write-in",12/9/2018 7:21:34 AM,1,36,0.0188580408590885,1002/1335,
100038327,"Judge of the Court of Appeals, Position 7","","","","Statewide Nonpartisan",31,,100063679,"Steven R Powers",12/9/2018 7:21:34 AM,1,1873,0.981141959140912,1002/1335,
100038329,"Judge of the Oregon Tax Court","","","","Statewide Nonpartisan",32,,9901,"Write-in",12/9/2018 7:21:34 AM,1,38,0.0196585618210036,1002/1335,
100038329,"Judge of the Oregon Tax Court","","","","Statewide Nonpartisan",32,,100063755,"Robert Manicke",12/9/2018 7:21:34 AM,1,1895,0.980341438178996,1002/1335,
100001904,"Measure 102 Amends Constitution: Allows local bonds for financing affordable housing with nongovernmental entities. Requires voter approval, annual audits","","","","Statewide Nonpartisan",78,,1,"Yes",12/9/2018 7:21:34 AM,1,1324,0.38849765258216,1002/1335,
100001904,"Measure 102 Amends Constitution: Allows local bonds for financing affordable housing with nongovernmental entities. Requires voter approval, annual audits","","","","Statewide Nonpartisan",78,,2,"No",12/9/2018 7:21:34 AM,1,2084,0.61150234741784,1002/1335,
100001905,"Measure 103 Amends Constitution: Prohibits taxes/fees based on transactions for 'groceries' (defined) enacted or amended after September 2017","","","","Statewide Nonpartisan",79,,1,"Yes",12/9/2018 7:21:34 AM,1,2269,0.644968732234224,1002/1335,
100001905,"Measure 103 Amends Constitution: Prohibits taxes/fees based on transactions for 'groceries' (defined) enacted or amended after September 2017","","","","Statewide Nonpartisan",79,,2,"No",12/9/2018 7:21:34 AM,1,1249,0.355031267765776,1002/1335,
100001906,"Measure 104 Amends Constitution: Expands (beyond taxes) application of requirement that three-fifths legislative majority approve bills raising revenue","","","","Statewide Nonpartisan",80,,1,"Yes",12/9/2018 7:21:34 AM,1,1736,0.511490866234532,1002/1335,
100001906,"Measure 104 Amends Constitution: Expands (beyond taxes) application of requirement that three-fifths legislative majority approve bills raising revenue","","","","Statewide Nonpartisan",80,,2,"No",12/9/2018 7:21:34 AM,1,1658,0.488509133765468,1002/1335,
100001907,"Measure 105 Repeals law limiting use of state/local law enforcement resources to enforce federal immigration laws","","","","Statewide Nonpartisan",81,,1,"Yes",12/9/2018 7:21:34 AM,1,2171,0.635166764189585,1002/1335,
100001907,"Measure 105 Repeals law limiting use of state/local law enforcement resources to enforce federal immigration laws","","","","Statewide Nonpartisan",81,,2,"No",12/9/2018 7:21:34 AM,1,1247,0.364833235810415,1002/1335,
100001908,"Measure 106 Amends Constitution: Prohibits spending 'public funds' (defined) directly/indirectly for 'abortion' (defined); exceptions; reduces abortion access","","","","Statewide Nonpartisan",82,,1,"Yes",12/9/2018 7:21:34 AM,1,2271,0.650343642611684,1002/1335,
100001908,"Measure 106 Amends Constitution: Prohibits spending 'public funds' (defined) directly/indirectly for 'abortion' (defined); exceptions; reduces abortion access","","","","Statewide Nonpartisan",82,,2,"No",12/9/2018 7:21:34 AM,1,1221,0.349656357388316,1002/1335,
