ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100038421,"US Representative, District 2","","","","US Congressional District 2",1,,9901,"Write-in",12/9/2018 7:21:33 AM,1,25,0.00088115043000141,304/381,
100038421,"US Representative, District 2","Democrat, Working Families","","","US Congressional District 2",1,,100060598,"Jamie McLeod-Skinner",12/9/2018 7:21:33 AM,1,7126,0.251163118567602,304/381,
100038421,"US Representative, District 2","Independent","","","US Congressional District 2",1,,100060602,"Mark R Roberts",12/9/2018 7:21:33 AM,1,1556,0.0548428027632877,304/381,
100038421,"US Representative, District 2","Republican","","","US Congressional District 2",1,,100061546,"Greg Walden",12/9/2018 7:21:33 AM,1,19665,0.693112928239109,304/381,
100038425,"Governor","","","","Statewide Partisan",4,,9901,"Write-in",12/9/2018 7:21:33 AM,1,45,0.00159258210645527,1002/1335,
100038425,"Governor","Constitution","","","Statewide Partisan",4,,100063718,"Aaron Auer",12/9/2018 7:21:33 AM,1,564,0.019960362400906,1002/1335,
100038425,"Governor","Democrat, Working Families","","","Statewide Partisan",4,,300027544,"Kate Brown",12/9/2018 7:21:33 AM,1,6301,0.222996885617214,1002/1335,
100038425,"Governor","Libertarian","","","Statewide Partisan",4,,100063719,"Nick Chen",12/9/2018 7:21:33 AM,1,643,0.0227562287655719,1002/1335,
100038425,"Governor","Independent","","","Statewide Partisan",4,,100061848,"Patrick Starnes",12/9/2018 7:21:33 AM,1,1371,0.0485206681766704,1002/1335,
100038425,"Governor","Progressive","","","Statewide Partisan",4,,100064101,"Chris Henry",12/9/2018 7:21:33 AM,1,198,0.00700736126840317,1002/1335,
100038425,"Governor","Republican","","","Statewide Partisan",4,,100060616,"Knute Buehler",12/9/2018 7:21:33 AM,1,19134,0.677165911664779,1002/1335,
100038489,"State Representative, 56th District","","","","HD 56",5,,9901,"Write-in",12/9/2018 7:21:33 AM,1,64,0.00271151972206923,47/47,
100038489,"State Representative, 56th District","Democrat","","","HD 56",5,,100061700,"Taylor Tupper",12/9/2018 7:21:33 AM,1,6793,0.287802398000254,47/47,
100038489,"State Representative, 56th District","Republican, Libertarian, Independent","","","HD 56",5,,300027745,"E Werner Reschke",12/9/2018 7:21:33 AM,1,16746,0.709486082277677,47/47,
100038488,"State Representative, 55th District","","","","HD 55",9,,9901,"Write-in",12/9/2018 7:21:33 AM,1,6,0.00162030785849311,49/49,
100038488,"State Representative, 55th District","Democrat, Working Families","","","HD 55",9,,100061482,"Karen Rippberger",12/9/2018 7:21:33 AM,1,1061,0.286524439643532,49/49,
100038488,"State Representative, 55th District","Republican, Independent","","","HD 55",9,,300025077,"Mike McLane",12/9/2018 7:21:33 AM,1,2636,0.711855252497975,49/49,
100038577,"Assessor","","","","Klamath County",10,,9901,"Write-in",12/9/2018 7:21:33 AM,1,153,0.00929187416494595,43/43,
100038577,"Assessor","","","","Klamath County",10,,100063961,"Nathan Bigby",12/9/2018 7:21:33 AM,1,16313,0.990708125835054,43/43,
100038578,"Clerk","","","","Klamath County",11,,9901,"Write-in",12/9/2018 7:21:33 AM,1,124,0.00723876240513719,43/43,
100038578,"Clerk","","","","Klamath County",11,,100063962,"Rochelle Long",12/9/2018 7:21:33 AM,1,17006,0.992761237594863,43/43,
100038579,"Treasurer","","","","Klamath County",12,,9901,"Write-in",12/9/2018 7:21:33 AM,1,135,0.00808819124078845,43/43,
100038579,"Treasurer","","","","Klamath County",12,,100063963,"Vickie Noel",12/9/2018 7:21:33 AM,1,16556,0.991911808759212,43/43,
100038580,"Council, Position 2","","","","City of Chiloquin",13,,9901,"Write-in",12/9/2018 7:21:33 AM,1,8,0.073394495412844,1/1,
100038580,"Council, Position 2","","","","City of Chiloquin",13,,100064127,"Mel Arent",12/9/2018 7:21:33 AM,1,101,0.926605504587156,1/1,
100038581,"Council, Position 4","","","","City of Chiloquin",14,,9901,"Write-in",12/9/2018 7:21:33 AM,1,4,0.0317460317460317,1/1,
100038581,"Council, Position 4","","","","City of Chiloquin",14,,100045347,"Gunga Hescock",12/9/2018 7:21:33 AM,1,122,0.968253968253968,1/1,
100038582,"Council, Position 6","","","","City of Chiloquin",15,,9901,"Write-in",12/9/2018 7:21:33 AM,1,7,0.0614035087719298,1/1,
100038582,"Council, Position 6","","","","City of Chiloquin",15,,100064129,"Kevin L Ketner",12/9/2018 7:21:33 AM,1,107,0.93859649122807,1/1,
100038583,"City Council","","","","City of Klamath Falls, Ward 3",16,,9901,"Write-in",12/9/2018 7:21:33 AM,1,13,0.0177111716621253,2/2,
100038583,"City Council","","","","City of Klamath Falls, Ward 3",16,,100034829,"Matt Dodson",12/9/2018 7:21:33 AM,1,721,0.982288828337875,2/2,
100038584,"City Council","","","","City of Klamath Falls, Ward 4",17,,9901,"Write-in",12/9/2018 7:21:33 AM,1,22,0.0198376916140667,2/2,
100038584,"City Council","","","","City of Klamath Falls, Ward 4",17,,300018375,"Dan Tofell",12/9/2018 7:21:33 AM,1,1087,0.980162308385933,2/2,
100038585,"City Council","","","","City of Klamath Falls, Ward 5",18,,9901,"Write-in",12/9/2018 7:21:33 AM,1,10,0.00774593338497289,5/5,
100038585,"City Council","","","","City of Klamath Falls, Ward 5",18,,300018354,"Bill Adams",12/9/2018 7:21:33 AM,1,565,0.437645236250968,5/5,
100038585,"City Council","","","","City of Klamath Falls, Ward 5",18,,100064003,"Todd Andres",12/9/2018 7:21:33 AM,1,716,0.554608830364059,5/5,
100038586,"Councilor","","","","City of Malin",19,,9901,"Write-in",12/9/2018 7:21:33 AM,1,11,0.0259433962264151,1/1,
100038586,"Councilor","","","","City of Malin",19,,300018357,"John A Hughto",12/9/2018 7:21:33 AM,1,105,0.247641509433962,1/1,
100038586,"Councilor","","","","City of Malin",19,,300018356,"Agnes Turner-Wise",12/9/2018 7:21:33 AM,1,103,0.242924528301887,1/1,
100038586,"Councilor","","","","City of Malin",19,,300018355,"Phil Beasly",12/9/2018 7:21:33 AM,1,95,0.224056603773585,1/1,
100038586,"Councilor","","","","City of Malin",19,,100064004,"Heath L Haywood",12/9/2018 7:21:33 AM,1,110,0.259433962264151,1/1,
100038587,"Mayor","","","","City of Malin",20,,9901,"Write-in",12/9/2018 7:21:33 AM,1,2,0.0122699386503067,1/1,
100038587,"Mayor","","","","City of Malin",20,,100064005,"Walt Harrison",12/9/2018 7:21:33 AM,1,31,0.190184049079755,1/1,
100038587,"Mayor","","","","City of Malin",20,,300018358,"Gary R Zieg",12/9/2018 7:21:33 AM,1,130,0.797546012269939,1/1,
100038588,"Council, Position 2","","","","City of Merrill",21,,9901,"Write-in",12/9/2018 7:21:33 AM,1,4,0.0229885057471264,1/1,
100038588,"Council, Position 2","","","","City of Merrill",21,,100064006,"Joanne Johnson",12/9/2018 7:21:33 AM,1,140,0.804597701149425,1/1,
100038588,"Council, Position 2","","","","City of Merrill",21,,100064007,"Desire Wooten",12/9/2018 7:21:33 AM,1,30,0.172413793103448,1/1,
100038589,"Council, Position 4","","","","City of Merrill",22,,9901,"Write-in",12/9/2018 7:21:33 AM,1,3,0.0177514792899408,1/1,
100038589,"Council, Position 4","","","","City of Merrill",22,,100064009,"Regina Picke",12/9/2018 7:21:33 AM,1,55,0.325443786982249,1/1,
100038589,"Council, Position 4","","","","City of Merrill",22,,100064008,"Nate Hughes",12/9/2018 7:21:33 AM,1,111,0.656804733727811,1/1,
100038590,"Mayor","","","","City of Merrill",23,,9901,"Write-in",12/9/2018 7:21:33 AM,1,13,0.0783132530120482,1/1,
100038590,"Mayor","","","","City of Merrill",23,,100064010,"Bill Carlson",12/9/2018 7:21:33 AM,1,153,0.921686746987952,1/1,
100038591,"Council, Position 2","","","","Town of Bonanza",24,,9901,"Write-in",12/9/2018 7:21:33 AM,1,6,0.0555555555555556,1/1,
100038591,"Council, Position 2","","","","Town of Bonanza",24,,100055569,"Nancy Ibarra",12/9/2018 7:21:33 AM,1,102,0.944444444444444,1/1,
100038592,"Council, Position 3","","","","Town of Bonanza",25,,9901,"Write-in",12/9/2018 7:21:33 AM,1,7,0.0666666666666667,1/1,
100038592,"Council, Position 3","","","","Town of Bonanza",25,,100063965,"John Hanger",12/9/2018 7:21:33 AM,1,98,0.933333333333333,1/1,
100038593,"Council, Position 4","","","","Town of Bonanza",26,,9901,"Write-in",12/9/2018 7:21:33 AM,1,3,0.0294117647058824,1/1,
100038593,"Council, Position 4","","","","Town of Bonanza",26,,100055570,"Mary Schiefelbein",12/9/2018 7:21:33 AM,1,99,0.970588235294118,1/1,
100038594,"Council, Position 5","","","","Town of Bonanza",27,,9901,"Write-in",12/9/2018 7:21:33 AM,1,10,0.0952380952380952,1/1,
100038594,"Council, Position 5","","","","Town of Bonanza",27,,100045138,"Bill Hartley",12/9/2018 7:21:33 AM,1,95,0.904761904761905,1/1,
100038595,"Mayor","","","","Town of Bonanza",28,,9901,"Write-in",12/9/2018 7:21:33 AM,1,1,0.00636942675159236,1/1,
100038595,"Mayor","","","","Town of Bonanza",28,,100044685,"Betty Tyree",12/9/2018 7:21:33 AM,1,100,0.636942675159236,1/1,
100038595,"Mayor","","","","Town of Bonanza",28,,100064011,"Karen Petersen",12/9/2018 7:21:33 AM,1,56,0.356687898089172,1/1,
100038332,"Judge of the Supreme Court, Position 5","","","","Statewide Nonpartisan",28,,9901,"Write-in",12/9/2018 7:21:33 AM,1,230,0.0138779943281241,1002/1335,
100038332,"Judge of the Supreme Court, Position 5","","","","Statewide Nonpartisan",28,,100063754,"Adrienne Nelson",12/9/2018 7:21:33 AM,1,16343,0.986122005671876,1002/1335,
100038324,"Judge of the Court of Appeals, Position 2","","","","Statewide Nonpartisan",29,,9901,"Write-in",12/9/2018 7:21:33 AM,1,203,0.0126843289177706,1002/1335,
100038324,"Judge of the Court of Appeals, Position 2","","","","Statewide Nonpartisan",29,,100063677,"Bronson D James",12/9/2018 7:21:33 AM,1,15801,0.987315671082229,1002/1335,
100038596,"Director, At Large 2","","","","Klamath Soil & Water Conservation",29,,9901,"Write-in",12/9/2018 7:21:33 AM,1,769,1,43/43,
100038597,"Director, Zone 2","","","","Klamath Soil & Water Conservation",30,,9901,"Write-in",12/9/2018 7:21:33 AM,1,143,0.0086988259626498,43/43,
100038597,"Director, Zone 2","","","","Klamath Soil & Water Conservation",30,,100064270,"Kenneth Masten",12/9/2018 7:21:33 AM,1,16296,0.99130117403735,43/43,
100038325,"Judge of the Court of Appeals, Position 4","","","","Statewide Nonpartisan",30,,9901,"Write-in",12/9/2018 7:21:33 AM,1,187,0.011566056407719,1002/1335,
100038325,"Judge of the Court of Appeals, Position 4","","","","Statewide Nonpartisan",30,,100063678,"Robyn Ridler Aoyagi",12/9/2018 7:21:33 AM,1,15981,0.988433943592281,1002/1335,
100038327,"Judge of the Court of Appeals, Position 7","","","","Statewide Nonpartisan",31,,9901,"Write-in",12/9/2018 7:21:33 AM,1,174,0.0108061110421066,1002/1335,
100038327,"Judge of the Court of Appeals, Position 7","","","","Statewide Nonpartisan",31,,100063679,"Steven R Powers",12/9/2018 7:21:33 AM,1,15928,0.989193888957893,1002/1335,
100038598,"Director, Zone 3","","","","Klamath Soil & Water Conservation",31,,9901,"Write-in",12/9/2018 7:21:33 AM,1,127,0.00807425774047937,43/43,
100038598,"Director, Zone 3","","","","Klamath Soil & Water Conservation",31,,300018365,"Earl Miller",12/9/2018 7:21:33 AM,1,15602,0.991925742259521,43/43,
100038329,"Judge of the Oregon Tax Court","","","","Statewide Nonpartisan",32,,9901,"Write-in",12/9/2018 7:21:33 AM,1,186,0.0115736419637857,1002/1335,
100038329,"Judge of the Oregon Tax Court","","","","Statewide Nonpartisan",32,,100063755,"Robert Manicke",12/9/2018 7:21:33 AM,1,15885,0.988426358036214,1002/1335,
100038723,"Director, Zone 4","","","","Klamath Soil & Water Conservation",32,,9901,"Write-in",12/9/2018 7:21:33 AM,1,781,1,43/43,
100038599,"Director, Zone 5","","","","Klamath Soil & Water Conservation",33,,9901,"Write-in",12/9/2018 7:21:33 AM,1,674,1,43/43,
100001916,"18-110 Klamath County  Klamath County Second Amendment Preservation Ordinance","","","","Klamath County",39,,1,"Yes",12/9/2018 7:21:33 AM,1,17747,0.640223665223665,43/43,
100001916,"18-110 Klamath County  Klamath County Second Amendment Preservation Ordinance","","","","Klamath County",39,,2,"No",12/9/2018 7:21:33 AM,1,9973,0.359776334776335,43/43,
100001917,"18-111 Klamath County  Five year renewal of current local option tax for Museum.","","","","Klamath County",40,,1,"Yes",12/9/2018 7:21:33 AM,1,19781,0.707550881711199,43/43,
