ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100038421,"US Representative, District 2","","","","US Congressional District 2",1,,9901,"Write-in",12/9/2018 7:21:44 AM,1,9,0.000804073974805682,304/381,
100038421,"US Representative, District 2","Democrat, Working Families","","","US Congressional District 2",1,,100060598,"Jamie McLeod-Skinner",12/9/2018 7:21:44 AM,1,4846,0.432949164656482,304/381,
100038421,"US Representative, District 2","Independent","","","US Congressional District 2",1,,100060602,"Mark R Roberts",12/9/2018 7:21:44 AM,1,480,0.0428839453229697,304/381,
100038421,"US Representative, District 2","Republican","","","US Congressional District 2",1,,100061546,"Greg Walden",12/9/2018 7:21:44 AM,1,5858,0.523362816045743,304/381,
100038425,"Governor","","","","Statewide Partisan",4,,9901,"Write-in",12/9/2018 7:21:44 AM,1,20,0.00176102844060932,1002/1335,
100038425,"Governor","Constitution","","","Statewide Partisan",4,,100063718,"Aaron Auer",12/9/2018 7:21:44 AM,1,177,0.0155851016993924,1002/1335,
100038425,"Governor","Democrat, Working Families","","","Statewide Partisan",4,,300027544,"Kate Brown",12/9/2018 7:21:44 AM,1,4604,0.405388747028265,1002/1335,
100038425,"Governor","Libertarian","","","Statewide Partisan",4,,100063719,"Nick Chen",12/9/2018 7:21:44 AM,1,203,0.0178744386721846,1002/1335,
100038425,"Governor","Independent","","","Statewide Partisan",4,,100061848,"Patrick Starnes",12/9/2018 7:21:44 AM,1,427,0.0375979572070089,1002/1335,
100038425,"Governor","Progressive","","","Statewide Partisan",4,,100064101,"Chris Henry",12/9/2018 7:21:44 AM,1,85,0.00748437087258959,1002/1335,
100038425,"Governor","Republican","","","Statewide Partisan",4,,100060616,"Knute Buehler",12/9/2018 7:21:44 AM,1,5841,0.514308356079951,1002/1335,
100038490,"State Representative, 57th District","","","","HD 57",4,,9901,"Write-in",12/9/2018 7:21:44 AM,1,16,0.0184544405997693,9/40,
100038490,"State Representative, 57th District","Republican, Democrat, Independent","","","HD 57",4,,100061558,"Greg Smith",12/9/2018 7:21:44 AM,1,851,0.981545559400231,9/40,
100038493,"State Senator, 30th District","","","","SD 30",9,,9901,"Write-in",12/9/2018 7:21:44 AM,1,13,0.0013548723293382,93/93,
100038493,"State Senator, 30th District","Democrat","","","SD 30",9,,100063726,"Solea Kabakov",12/9/2018 7:21:44 AM,1,4237,0.441584158415842,93/93,
100038493,"State Senator, 30th District","Republican","","","SD 30",9,,100063725,"Cliff Bentz",12/9/2018 7:21:44 AM,1,5345,0.55706096925482,93/93,
100037958,"The Dalles Mayor","","","","City of The Dalles",11,,9901,"Write-in",12/9/2018 7:21:44 AM,1,241,0.0574219680724327,4/4,
100037958,"The Dalles Mayor","","","","City of The Dalles",11,,100064052,"Rich Mays",12/9/2018 7:21:44 AM,1,3956,0.942578031927567,4/4,
100037955,"The Dalles Councilor At Large","","","","City of The Dalles",12,,9901,"Write-in",12/9/2018 7:21:44 AM,1,45,0.00873447204968944,4/4,
100037955,"The Dalles Councilor At Large","","","","City of The Dalles",12,,100064058,"Rod Runyon",12/9/2018 7:21:44 AM,1,2356,0.457298136645963,4/4,
100037955,"The Dalles Councilor At Large","","","","City of The Dalles",12,,100064053,"John Fredrick",12/9/2018 7:21:44 AM,1,786,0.152562111801242,4/4,
100037955,"The Dalles Councilor At Large","","","","City of The Dalles",12,,100064056,"Brian Stevens",12/9/2018 7:21:44 AM,1,1965,0.381405279503106,4/4,
100037956,"The Dalles Councilor Position #1","","","","City of The Dalles",13,,9901,"Write-in",12/9/2018 7:21:44 AM,1,42,0.00841009211053264,4/4,
100037956,"The Dalles Councilor Position #1","","","","City of The Dalles",13,,100064061,"Chip Wood",12/9/2018 7:21:44 AM,1,2204,0.441329595514618,4/4,
100037956,"The Dalles Councilor Position #1","","","","City of The Dalles",13,,300017897,"Timothy J McGlothlin",12/9/2018 7:21:44 AM,1,2748,0.55026031237485,4/4,
100037957,"The Dalles Councilor Position #3","","","","City of The Dalles",14,,9901,"Write-in",12/9/2018 7:21:44 AM,1,30,0.00605938194304181,4/4,
100037957,"The Dalles Councilor Position #3","","","","City of The Dalles",14,,100064062,"Tiffany Prince",12/9/2018 7:21:44 AM,1,2325,0.46960210058574,4/4,
100037957,"The Dalles Councilor Position #3","","","","City of The Dalles",14,,300024934,"Russ L Brown",12/9/2018 7:21:44 AM,1,2596,0.524338517471218,4/4,
100037944,"Dufur Mayor","","","","City of Dufur",15,,9901,"Write-in",12/9/2018 7:21:44 AM,1,40,0.148148148148148,1/1,
100037944,"Dufur Mayor","","","","City of Dufur",15,,300027826,"Merle Keys",12/9/2018 7:21:44 AM,1,230,0.851851851851852,1/1,
100037940,"Dufur Council Seat #2","","","","City of Dufur",16,,9901,"Write-in",12/9/2018 7:21:44 AM,1,1,0.00318471337579618,1/1,
100037940,"Dufur Council Seat #2","","","","City of Dufur",16,,100063537,"Stan Ashbrook",12/9/2018 7:21:44 AM,1,191,0.60828025477707,1/1,
100037940,"Dufur Council Seat #2","","","","City of Dufur",16,,100064014,"Matt Brougher",12/9/2018 7:21:44 AM,1,122,0.388535031847134,1/1,
100037942,"Dufur Council Seat #4","","","","City of Dufur",17,,9901,"Write-in",12/9/2018 7:21:44 AM,1,11,0.0472103004291846,1/1,
100037942,"Dufur Council Seat #4","","","","City of Dufur",17,,100063539,"Barbara McKenzie",12/9/2018 7:21:44 AM,1,222,0.952789699570816,1/1,
100037943,"Dufur Council Seat #6","","","","City of Dufur",18,,9901,"Write-in",12/9/2018 7:21:44 AM,1,14,0.0603448275862069,1/1,
100037943,"Dufur Council Seat #6","","","","City of Dufur",18,,100063540,"Samantha Filbin",12/9/2018 7:21:44 AM,1,218,0.939655172413793,1/1,
100037953,"Shaniko Mayor","","","","City of Shaniko",19,,9901,"Write-in",12/9/2018 7:21:44 AM,1,0,0,1/1,
100037953,"Shaniko Mayor","","","","City of Shaniko",19,,100004074,"Goldie Lee Roberts",12/9/2018 7:21:44 AM,1,16,1,1/1,
100037954,"Shaniko Recorder","","","","City of Shaniko",20,,9901,"Write-in",12/9/2018 7:21:44 AM,1,1,0.0625,1/1,
100037954,"Shaniko Recorder","","","","City of Shaniko",20,,100064086,"Debra J Holbrook",12/9/2018 7:21:44 AM,1,15,0.9375,1/1,
