ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100038421,"US Representative, District 2","","","","US Congressional District 2",1,,9901,"Write-in",12/9/2018 7:21:07 AM,1,9,0.000779220779220779,304/381,
100038421,"US Representative, District 2","Democrat, Working Families","","","US Congressional District 2",1,,100060598,"Jamie McLeod-Skinner",12/9/2018 7:21:07 AM,1,2698,0.233593073593074,304/381,
100038421,"US Representative, District 2","Independent","","","US Congressional District 2",1,,100060602,"Mark R Roberts",12/9/2018 7:21:07 AM,1,508,0.043982683982684,304/381,
100038421,"US Representative, District 2","Republican","","","US Congressional District 2",1,,100061546,"Greg Walden",12/9/2018 7:21:07 AM,1,8335,0.721645021645022,304/381,
100038425,"Governor","","","","Statewide Partisan",4,,9901,"Write-in",12/9/2018 7:21:07 AM,1,25,0.00216712898751734,1002/1335,
100038425,"Governor","Constitution","","","Statewide Partisan",4,,100063718,"Aaron Auer",12/9/2018 7:21:07 AM,1,140,0.0121359223300971,1002/1335,
100038425,"Governor","Democrat, Working Families","","","Statewide Partisan",4,,300027544,"Kate Brown",12/9/2018 7:21:07 AM,1,2285,0.198075589459085,1002/1335,
100038425,"Governor","Libertarian","","","Statewide Partisan",4,,100063719,"Nick Chen",12/9/2018 7:21:07 AM,1,110,0.00953536754507628,1002/1335,
100038425,"Governor","Independent","","","Statewide Partisan",4,,100061848,"Patrick Starnes",12/9/2018 7:21:07 AM,1,418,0.0362343966712899,1002/1335,
100038425,"Governor","Progressive","","","Statewide Partisan",4,,100064101,"Chris Henry",12/9/2018 7:21:07 AM,1,42,0.00364077669902913,1002/1335,
100038425,"Governor","Republican","","","Statewide Partisan",4,,100060616,"Knute Buehler",12/9/2018 7:21:07 AM,1,8516,0.738210818307906,1002/1335,
100038488,"State Representative, 55th District","","","","HD 55",9,,9901,"Write-in",12/9/2018 7:21:07 AM,1,7,0.00061799240752185,49/49,
100038488,"State Representative, 55th District","Democrat, Working Families","","","HD 55",9,,100061482,"Karen Rippberger",12/9/2018 7:21:07 AM,1,2517,0.222212412818928,49/49,
100038488,"State Representative, 55th District","Republican, Independent","","","HD 55",9,,300025077,"Mike McLane",12/9/2018 7:21:07 AM,1,8803,0.77716959477355,49/49,
100038497,"District Attorney, Crook County","","","","District Attorney, Crook County",10,,9901,"Write-in",12/9/2018 7:21:07 AM,1,134,0.0186344041162564,17/17,
100038497,"District Attorney, Crook County","","","","District Attorney, Crook County",10,,100063763,"Wade L Whiting",12/9/2018 7:21:07 AM,1,7057,0.981365595883744,17/17,
100038397,"Judge of the Circuit Court, 22nd District, Position 3","","","","Circuit Court District 22",10,,9901,"Write-in",12/9/2018 7:21:07 AM,1,324,0.0473684210526316,32/32,
100038397,"Judge of the Circuit Court, 22nd District, Position 3","","","","Circuit Court District 22",10,,100063697,"Daina A Vitolins",12/9/2018 7:21:07 AM,1,6516,0.952631578947368,32/32,
100038673,"Crook County Clerk","","","","Crook County",11,,9901,"Write-in",12/9/2018 7:21:07 AM,1,85,0.0111475409836066,17/17,
100038673,"Crook County Clerk","","","","Crook County",11,,100044977,"Cheryl Seely",12/9/2018 7:21:07 AM,1,7540,0.988852459016393,17/17,
100038674,"Crook County Treasurer","","","","Crook County",12,,9901,"Write-in",12/9/2018 7:21:07 AM,1,105,0.0145732130464955,17/17,
100038674,"Crook County Treasurer","","","","Crook County",12,,100064158,"Debbie Palmer",12/9/2018 7:21:07 AM,1,7100,0.985426786953505,17/17,
100038679,"City of Prineville Mayor","","","","City of Prineville",13,,9901,"Write-in",12/9/2018 7:21:07 AM,1,110,0.0374149659863946,12/12,
100038679,"City of Prineville Mayor","","","","City of Prineville",13,,100064252,"Steve Uffelman",12/9/2018 7:21:07 AM,1,2830,0.962585034013605,12/12,
100038678,"City of Prineville City Council Member (Vote For 3)","","","","City of Prineville",14,,9901,"Write-in",12/9/2018 7:21:07 AM,3,120,0.0166782487838777,12/12,
100038678,"City of Prineville City Council Member (Vote For 3)","","","","City of Prineville",14,,100064251,"Patricia Jungmann",12/9/2018 7:21:07 AM,3,2221,0.30868658790827,12/12,
100038678,"City of Prineville City Council Member (Vote For 3)","","","","City of Prineville",14,,100064249,"Jeff Papke",12/9/2018 7:21:07 AM,3,2508,0.348575399583044,12/12,
100038678,"City of Prineville City Council Member (Vote For 3)","","","","City of Prineville",14,,100064250,"Janet Hutchison",12/9/2018 7:21:07 AM,3,2346,0.326059763724809,12/12,
100038676,"Crook County Soil and Water Conservation District, Director Zone 2","","","","Crook County Soil and Water Conservation District",15,,9901,"Write-in",12/9/2018 7:21:07 AM,1,81,0.0112562534741523,17/17,
100038676,"Crook County Soil and Water Conservation District, Director Zone 2","","","","Crook County Soil and Water Conservation District",15,,100064246,"Gary Bedortha",12/9/2018 7:21:07 AM,1,7115,0.988743746525848,17/17,
100038677,"Crook County Soil and Water Conservation District, Director Zone 3","","","","Crook County Soil and Water Conservation District",16,,9901,"Write-in",12/9/2018 7:21:07 AM,1,84,0.0120706998131916,17/17,
100038677,"Crook County Soil and Water Conservation District, Director Zone 3","","","","Crook County Soil and Water Conservation District",16,,100064247,"Jerry Coffelt",12/9/2018 7:21:07 AM,1,6875,0.987929300186808,17/17,
