ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100038421,"US Representative, District 2","","","","US Congressional District 2",1,,9901,"Write-in",12/9/2018 7:21:43 AM,1,3,0.000734933855952964,304/381,
100038421,"US Representative, District 2","Democrat, Working Families","","","US Congressional District 2",1,,100060598,"Jamie McLeod-Skinner",12/9/2018 7:21:43 AM,1,1212,0.296913277804998,304/381,
100038421,"US Representative, District 2","Independent","","","US Congressional District 2",1,,100060602,"Mark R Roberts",12/9/2018 7:21:43 AM,1,175,0.0428711415972562,304/381,
100038421,"US Representative, District 2","Republican","","","US Congressional District 2",1,,100061546,"Greg Walden",12/9/2018 7:21:43 AM,1,2692,0.659480646741793,304/381,
100038425,"Governor","","","","Statewide Partisan",4,,9901,"Write-in",12/9/2018 7:21:43 AM,1,4,0.000992063492063492,1002/1335,
100038425,"Governor","Constitution","","","Statewide Partisan",4,,100063718,"Aaron Auer",12/9/2018 7:21:43 AM,1,61,0.0151289682539683,1002/1335,
100038425,"Governor","Democrat, Working Families","","","Statewide Partisan",4,,300027544,"Kate Brown",12/9/2018 7:21:43 AM,1,1088,0.26984126984127,1002/1335,
100038425,"Governor","Libertarian","","","Statewide Partisan",4,,100063719,"Nick Chen",12/9/2018 7:21:43 AM,1,47,0.011656746031746,1002/1335,
100038425,"Governor","Independent","","","Statewide Partisan",4,,100061848,"Patrick Starnes",12/9/2018 7:21:43 AM,1,145,0.0359623015873016,1002/1335,
100038425,"Governor","Progressive","","","Statewide Partisan",4,,100064101,"Chris Henry",12/9/2018 7:21:43 AM,1,19,0.00471230158730159,1002/1335,
100038425,"Governor","Republican","","","Statewide Partisan",4,,100060616,"Knute Buehler",12/9/2018 7:21:43 AM,1,2668,0.661706349206349,1002/1335,
100038491,"State Representative, 58th District","","","","HD 58",4,,9901,"Write-in",12/9/2018 7:21:43 AM,1,19,0.00487679671457906,31/62,
100038491,"State Representative, 58th District","Independent","","","HD 58",4,,100061559,"Skye Farnam",12/9/2018 7:21:43 AM,1,974,0.25,31/62,
100038491,"State Representative, 58th District","Republican, Democrat","","","HD 58",4,,100043176,"Greg Barreto",12/9/2018 7:21:43 AM,1,2903,0.745123203285421,31/62,
100038496,"Judge of the Circuit Court, 10th District, Position 2","","","","Circuit Court District 10",9,,9901,"Write-in",12/9/2018 7:21:43 AM,1,3,0.000765110941086458,31/31,
100038496,"Judge of the Circuit Court, 10th District, Position 2","","","","Circuit Court District 10",9,,100063760,"Wes Williams",12/9/2018 7:21:43 AM,1,1699,0.433307829635297,31/31,
100038496,"Judge of the Circuit Court, 10th District, Position 2","","","","Circuit Court District 10",9,,100063759,"Mona K Williams",12/9/2018 7:21:43 AM,1,2219,0.565927059423616,31/31,
300024264,"County Clerk","","","","County-Wallowa",10,,9901,"Write-in",12/9/2018 7:21:43 AM,1,16,0.00516462233699161,12/12,
300024264,"County Clerk","","","","County-Wallowa",10,,300034965,"Sandy Lathrop",12/9/2018 7:21:43 AM,1,3082,0.994835377663008,12/12,
300024265,"County Commissioner #3","","","","County-Wallowa",11,,9901,"Write-in",12/9/2018 7:21:43 AM,1,8,0.00202275600505689,12/12,
300024265,"County Commissioner #3","","","","County-Wallowa",11,,300034972,"Dan R Deboie",12/9/2018 7:21:43 AM,1,267,0.0675094816687737,12/12,
300024265,"County Commissioner #3","","","","County-Wallowa",11,,300035334,"John Hillock",12/9/2018 7:21:43 AM,1,2350,0.594184576485461,12/12,
300024265,"County Commissioner #3","","","","County-Wallowa",11,,300034970,"Cliff Walters",12/9/2018 7:21:43 AM,1,378,0.0955752212389381,12/12,
300024265,"County Commissioner #3","","","","County-Wallowa",11,,300034971,"Diane Daggett",12/9/2018 7:21:43 AM,1,952,0.24070796460177,12/12,
300024282,"County Treasurer","","","","County-Wallowa",12,,9901,"Write-in",12/9/2018 7:21:43 AM,1,10,0.00275482093663912,12/12,
300024282,"County Treasurer","","","","County-Wallowa",12,,300034978,"Ginger Goebel- Burns",12/9/2018 7:21:43 AM,1,1692,0.466115702479339,12/12,
300024282,"County Treasurer","","","","County-Wallowa",12,,300034980,"Velda Bales",12/9/2018 7:21:43 AM,1,1197,0.329752066115702,12/12,
300024282,"County Treasurer","","","","County-Wallowa",12,,300034979,"Carolyn Doherty",12/9/2018 7:21:43 AM,1,731,0.20137741046832,12/12,
300024266,"Soil & Water Conservation-At Large 2","","","","County-Wallowa",13,,9901,"Write-in",12/9/2018 7:21:43 AM,1,20,0.00815660685154975,12/12,
300024266,"Soil & Water Conservation-At Large 2","","","","County-Wallowa",13,,300034981,"Thomas K Smith",12/9/2018 7:21:43 AM,1,2432,0.99184339314845,12/12,
