ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100038421,"US Representative, District 2","","","","US Congressional District 2",1,,9901,"Write-in",12/9/2018 7:21:42 AM,1,0,0,304/381,
100038421,"US Representative, District 2","Democrat, Working Families","","","US Congressional District 2",1,,100060598,"Jamie McLeod-Skinner",12/9/2018 7:21:42 AM,1,200,0.202224469160768,304/381,
100038421,"US Representative, District 2","Independent","","","US Congressional District 2",1,,100060602,"Mark R Roberts",12/9/2018 7:21:42 AM,1,34,0.0343781597573306,304/381,
100038421,"US Representative, District 2","Republican","","","US Congressional District 2",1,,100061546,"Greg Walden",12/9/2018 7:21:42 AM,1,755,0.763397371081901,304/381,
100038425,"Governor","","","","Statewide Partisan",4,,9901,"Write-in",12/9/2018 7:21:42 AM,1,1,0.00101522842639594,1002/1335,
100038425,"Governor","Constitution","","","Statewide Partisan",4,,100063718,"Aaron Auer",12/9/2018 7:21:42 AM,1,15,0.0152284263959391,1002/1335,
100038425,"Governor","Democrat, Working Families","","","Statewide Partisan",4,,300027544,"Kate Brown",12/9/2018 7:21:42 AM,1,190,0.192893401015228,1002/1335,
100038425,"Governor","Libertarian","","","Statewide Partisan",4,,100063719,"Nick Chen",12/9/2018 7:21:42 AM,1,7,0.00710659898477157,1002/1335,
100038425,"Governor","Independent","","","Statewide Partisan",4,,100061848,"Patrick Starnes",12/9/2018 7:21:42 AM,1,34,0.0345177664974619,1002/1335,
100038425,"Governor","Progressive","","","Statewide Partisan",4,,100064101,"Chris Henry",12/9/2018 7:21:42 AM,1,2,0.00203045685279188,1002/1335,
100038425,"Governor","Republican","","","Statewide Partisan",4,,100060616,"Knute Buehler",12/9/2018 7:21:42 AM,1,736,0.747208121827411,1002/1335,
100038490,"State Representative, 57th District","","","","HD 57",4,,9901,"Write-in",12/9/2018 7:21:42 AM,1,12,0.0148883374689826,9/40,
100038490,"State Representative, 57th District","Republican, Democrat, Independent","","","HD 57",4,,100061558,"Greg Smith",12/9/2018 7:21:42 AM,1,794,0.985111662531017,9/40,
100037810,"County Commissioner, Position 2","","","","Sherman",4,,9901,"Write-in",12/9/2018 7:21:42 AM,1,16,0.0190703218116806,5/5,
100037810,"County Commissioner, Position 2","Republican","","","Sherman",4,,100063428,"Tom McCoy",12/9/2018 7:21:42 AM,1,823,0.980929678188319,5/5,
100038418,"County Judge, Sherman County","","","","County Judge, Sherman County",10,,9901,"Write-in",12/9/2018 7:21:42 AM,1,5,0.00508130081300813,5/5,
100038418,"County Judge, Sherman County","","","","County Judge, Sherman County",10,,100061508,"Mike Smith",12/9/2018 7:21:42 AM,1,444,0.451219512195122,5/5,
100038418,"County Judge, Sherman County","","","","County Judge, Sherman County",10,,100061507,"Joe Dabulskis",12/9/2018 7:21:42 AM,1,535,0.54369918699187,5/5,
100037811,"County Treasurer","","","","Sherman",11,,9901,"Write-in",12/9/2018 7:21:42 AM,1,9,0.0110837438423645,5/5,
100037811,"County Treasurer","","","","Sherman",11,,100004304,"Marnene E Benson-Wood",12/9/2018 7:21:42 AM,1,803,0.988916256157635,5/5,
100037815,"Mayor - City of Grass Valley","","","","City of Grass Valley",12,,9901,"Write-in",12/9/2018 7:21:42 AM,1,20,0.289855072463768,1/1,
100037815,"Mayor - City of Grass Valley","","","","City of Grass Valley",12,,300035330,"Neil Pattee",12/9/2018 7:21:42 AM,1,49,0.710144927536232,1/1,
100037812,"Council Member, Position 1","","","","City of Grass Valley",13,,9901,"Write-in",12/9/2018 7:21:42 AM,1,2,0.0298507462686567,1/1,
100037812,"Council Member, Position 1","","","","City of Grass Valley",13,,300035331,"Joann Duarte",12/9/2018 7:21:42 AM,1,65,0.970149253731343,1/1,
100037813,"Council Member, Position 2","","","","City of Grass Valley",14,,9901,"Write-in",12/9/2018 7:21:42 AM,1,1,0.0133333333333333,1/1,
100037813,"Council Member, Position 2","","","","City of Grass Valley",14,,300035332,"Rita Wilson",12/9/2018 7:21:42 AM,1,74,0.986666666666667,1/1,
100037814,"Council Member, Position 3","","","","City of Grass Valley",15,,9901,"Write-in",12/9/2018 7:21:42 AM,1,23,1,1/1,
100037816,"Mayor - City of Moro","","","","City of Moro",16,,9901,"Write-in",12/9/2018 7:21:42 AM,1,3,0.0160427807486631,1/1,
100037816,"Mayor - City of Moro","","","","City of Moro",16,,100056217,"Andy Anderson",12/9/2018 7:21:42 AM,1,92,0.491978609625668,1/1,
100037816,"Mayor - City of Moro","","","","City of Moro",16,,300035029,"Perry Thurston",12/9/2018 7:21:42 AM,1,92,0.491978609625668,1/1,
100037989,"Council Members (Vote For 2)","","","","City of Moro",17,,9901,"Write-in",12/9/2018 7:21:42 AM,2,3,0.00882352941176471,1/1,
100037989,"Council Members (Vote For 2)","","","","City of Moro",17,,300035030,"Abbey Phelps",12/9/2018 7:21:42 AM,2,85,0.25,1/1,
100037989,"Council Members (Vote For 2)","","","","City of Moro",17,,100063572,"Bryan Cranston",12/9/2018 7:21:42 AM,2,135,0.397058823529412,1/1,
100037989,"Council Members (Vote For 2)","","","","City of Moro",17,,100063573,"Seth vonBorstel",12/9/2018 7:21:42 AM,2,117,0.344117647058824,1/1,
100037819,"Mayor - City of Rufus","","","","City of Rufus",18,,9901,"Write-in",12/9/2018 7:21:42 AM,1,4,0.05,1/1,
100037819,"Mayor - City of Rufus","","","","City of Rufus",18,,100063885,"Dowen Jones",12/9/2018 7:21:42 AM,1,76,0.95,1/1,
100037817,"Council Member, Position 1","","","","City of Rufus",19,,9901,"Write-in",12/9/2018 7:21:42 AM,1,1,0.0131578947368421,1/1,
100037817,"Council Member, Position 1","","","","City of Rufus",19,,100063884,"Janice Byrd-Strand",12/9/2018 7:21:42 AM,1,75,0.986842105263158,1/1,
100037818,"Council Member, Position 2","","","","City of Rufus",20,,9901,"Write-in",12/9/2018 7:21:42 AM,1,3,0.04,1/1,
100037818,"Council Member, Position 2","","","","City of Rufus",20,,100063421,"Don Arthur",12/9/2018 7:21:42 AM,1,72,0.96,1/1,
100037821,"Mayor - City of Wasco","","","","City of Wasco",21,,9901,"Write-in",12/9/2018 7:21:42 AM,1,7,0.0344827586206897,1/1,
100037821,"Mayor - City of Wasco","","","","City of Wasco",21,,300035031,"Eileen Wainwright",12/9/2018 7:21:42 AM,1,104,0.512315270935961,1/1,
100037821,"Mayor - City of Wasco","","","","City of Wasco",21,,300035032,"Scott Miller",12/9/2018 7:21:42 AM,1,92,0.45320197044335,1/1,
100037990,"Council Members (Vote For 3)","","","","City of Wasco",22,,9901,"Write-in",12/9/2018 7:21:42 AM,3,4,0.00792079207920792,1/1,
100037990,"Council Members (Vote For 3)","","","","City of Wasco",22,,300035041,"Erik Glover",12/9/2018 7:21:42 AM,3,105,0.207920792079208,1/1,
100037990,"Council Members (Vote For 3)","","","","City of Wasco",22,,300035033,"Gena Arthur",12/9/2018 7:21:42 AM,3,130,0.257425742574257,1/1,
100037990,"Council Members (Vote For 3)","","","","City of Wasco",22,,300035040,"Rodney Patten",12/9/2018 7:21:42 AM,3,161,0.318811881188119,1/1,
100037990,"Council Members (Vote For 3)","","","","City of Wasco",22,,300035039,"William Minter",12/9/2018 7:21:42 AM,3,105,0.207920792079208,1/1,
100037823,"Director, Zone 1","","","","Sherman Soil & Water Conservation District",23,,9901,"Write-in",12/9/2018 7:21:42 AM,1,2,0.00252206809583859,5/5,
100037823,"Director, Zone 1","","","","Sherman Soil & Water Conservation District",23,,300035176,"Jesse Stutzman",12/9/2018 7:21:42 AM,1,791,0.997477931904161,5/5,
