ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100038421,"US Representative, District 2","","","","US Congressional District 2",1,,9901,"Write-in",12/9/2018 7:21:42 AM,1,19,0.000788283616147368,304/381,
100038421,"US Representative, District 2","Democrat, Working Families","","","US Congressional District 2",1,,100060598,"Jamie McLeod-Skinner",12/9/2018 7:21:42 AM,1,7596,0.315147492013442,304/381,
100038421,"US Representative, District 2","Independent","","","US Congressional District 2",1,,100060602,"Mark R Roberts",12/9/2018 7:21:42 AM,1,1156,0.0479608347508609,304/381,
100038421,"US Representative, District 2","Republican","","","US Congressional District 2",1,,100061546,"Greg Walden",12/9/2018 7:21:42 AM,1,15332,0.636103389619549,304/381,
100038425,"Governor","","","","Statewide Partisan",4,,9901,"Write-in",12/9/2018 7:21:42 AM,1,31,0.00128588020574083,1002/1335,
100038425,"Governor","Constitution","","","Statewide Partisan",4,,100063718,"Aaron Auer",12/9/2018 7:21:42 AM,1,393,0.0163016426082628,1002/1335,
100038425,"Governor","Democrat, Working Families","","","Statewide Partisan",4,,300027544,"Kate Brown",12/9/2018 7:21:42 AM,1,7085,0.293885847021736,1002/1335,
100038425,"Governor","Libertarian","","","Statewide Partisan",4,,100063719,"Nick Chen",12/9/2018 7:21:42 AM,1,419,0.0173801227808196,1002/1335,
100038425,"Governor","Independent","","","Statewide Partisan",4,,100061848,"Patrick Starnes",12/9/2018 7:21:42 AM,1,885,0.0367098058735689,1002/1335,
100038425,"Governor","Progressive","","","Statewide Partisan",4,,100064101,"Chris Henry",12/9/2018 7:21:42 AM,1,117,0.00485316077650572,1002/1335,
100038425,"Governor","Republican","","","Statewide Partisan",4,,100060616,"Knute Buehler",12/9/2018 7:21:42 AM,1,15178,0.629583540733367,1002/1335,
100038490,"State Representative, 57th District","","","","HD 57",4,,9901,"Write-in",12/9/2018 7:21:42 AM,1,203,0.0197240575204042,9/40,
100038490,"State Representative, 57th District","Republican, Democrat, Independent","","","HD 57",4,,100061558,"Greg Smith",12/9/2018 7:21:42 AM,1,10089,0.980275942479596,9/40,
100038491,"State Representative, 58th District","","","","HD 58",4,,9901,"Write-in",12/9/2018 7:21:42 AM,1,42,0.00385497934832492,31/62,
100038491,"State Representative, 58th District","Independent","","","HD 58",4,,100061559,"Skye Farnam",12/9/2018 7:21:42 AM,1,2837,0.26039467645709,31/62,
100038491,"State Representative, 58th District","Republican, Democrat","","","HD 58",4,,100043176,"Greg Barreto",12/9/2018 7:21:42 AM,1,8016,0.735750344194585,31/62,
300024040,"Umatilla County Commissioner, Position 1","","","","Umatilla County",10,,9901,"Write-in",12/9/2018 7:21:42 AM,1,151,0.00711425206124853,0/45,
300024040,"Umatilla County Commissioner, Position 1","","","","Umatilla County",10,,100039380,"George L Murdock",12/9/2018 7:21:42 AM,1,10764,0.507137809187279,0/45,
300024040,"Umatilla County Commissioner, Position 1","","","","Umatilla County",10,,300034749,"Rick Pullen",12/9/2018 7:21:42 AM,1,10310,0.485747938751472,0/45,
300024041,"Umatilla County Commissioner, Position 2","","","","Umatilla County",11,,9901,"Write-in",12/9/2018 7:21:42 AM,1,783,0.0495318825910931,0/45,
300024041,"Umatilla County Commissioner, Position 2","","","","Umatilla County",11,,300030101,"John Shafer",12/9/2018 7:21:42 AM,1,15025,0.950468117408907,0/45,
300024043,"City of Adams Mayor","","","","City of Adams",12,,9901,"Write-in",12/9/2018 7:21:42 AM,1,40,1,0/1,
300024042,"City of Adams Council, At Large (Vote For 2)","","","","City of Adams",13,,9901,"Write-in",12/9/2018 7:21:42 AM,2,47,1,0/1,
300024044,"City of Athena Council, Position 1","","","","City of Athena",14,,9901,"Write-in",12/9/2018 7:21:42 AM,1,5,0.0111856823266219,0/1,
300024044,"City of Athena Council, Position 1","","","","City of Athena",14,,300035010,"George N Vorhauer",12/9/2018 7:21:42 AM,1,170,0.380313199105145,0/1,
300024044,"City of Athena Council, Position 1","","","","City of Athena",14,,300035009,"Roland E Wright",12/9/2018 7:21:42 AM,1,73,0.16331096196868,0/1,
300024044,"City of Athena Council, Position 1","","","","City of Athena",14,,300035011,"Wayne D Kostur",12/9/2018 7:21:42 AM,1,199,0.445190156599553,0/1,
300024045,"City of Athena Council, Position 3","","","","City of Athena",15,,9901,"Write-in",12/9/2018 7:21:42 AM,1,12,0.0294840294840295,0/1,
300024045,"City of Athena Council, Position 3","","","","City of Athena",15,,300024557,"Carol M Speed",12/9/2018 7:21:42 AM,1,395,0.97051597051597,0/1,
300024046,"City of Athena Council, Position 5","","","","City of Athena",16,,9901,"Write-in",12/9/2018 7:21:42 AM,1,3,0.0075,0/1,
300024046,"City of Athena Council, Position 5","","","","City of Athena",16,,300035012,"Sally J Thompson",12/9/2018 7:21:42 AM,1,397,0.9925,0/1,
300024048,"City of Echo Mayor","","","","City of Echo",17,,9901,"Write-in",12/9/2018 7:21:42 AM,1,20,0.099009900990099,0/1,
300024048,"City of Echo Mayor","","","","City of Echo",17,,300034731,"Eujeana Hampton",12/9/2018 7:21:42 AM,1,182,0.900990099009901,0/1,
300024047,"City of Echo Council, At Large (Vote For 4)","","","","City of Echo",18,,9901,"Write-in",12/9/2018 7:21:42 AM,4,69,0.0994236311239193,0/1,
300024047,"City of Echo Council, At Large (Vote For 4)","","","","City of Echo",18,,300034910,"Chad Ray",12/9/2018 7:21:42 AM,4,155,0.223342939481268,0/1,
300024047,"City of Echo Council, At Large (Vote For 4)","","","","City of Echo",18,,100045916,"Janie Enright",12/9/2018 7:21:42 AM,4,182,0.262247838616715,0/1,
300024047,"City of Echo Council, At Large (Vote For 4)","","","","City of Echo",18,,300034909,"Richard (Dick) Yoder",12/9/2018 7:21:42 AM,4,133,0.19164265129683,0/1,
300024047,"City of Echo Council, At Large (Vote For 4)","","","","City of Echo",18,,300034908,"Tammie Williams",12/9/2018 7:21:42 AM,4,155,0.223342939481268,0/1,
300024053,"City of Helix Mayor","","","","City of Helix",19,,9901,"Write-in",12/9/2018 7:21:42 AM,1,37,1,0/1,
300024050,"City of Helix Council, Position 4","","","","City of Helix",20,,9901,"Write-in",12/9/2018 7:21:42 AM,1,30,1,0/1,
300024051,"City of Helix Council, Position 5","","","","City of Helix",21,,9901,"Write-in",12/9/2018 7:21:42 AM,1,29,1,0/1,
300024052,"City of Helix Council, Position 6","","","","City of Helix",22,,9901,"Write-in",12/9/2018 7:21:42 AM,1,31,1,0/1,
300024054,"City of Hermiston Council, Ward I","","","","City of Hermiston",23,,9901,"Write-in",12/9/2018 7:21:42 AM,1,15,0.00389914218871848,0/5,
300024054,"City of Hermiston Council, Ward I","","","","City of Hermiston",23,,300034750,"Mark F Gomolski",12/9/2018 7:21:42 AM,1,1603,0.416688328567715,0/5,
300024054,"City of Hermiston Council, Ward I","","","","City of Hermiston",23,,300034736,"Lori Davis",12/9/2018 7:21:42 AM,1,2229,0.579412529243566,0/5,
300024057,"City of Milton-Freewater Council, Ward 1","","","","City of Milton-Freewater, Ward 1",24,,9901,"Write-in",12/9/2018 7:21:42 AM,1,1,0.00353356890459364,0/1,
300024057,"City of Milton-Freewater Council, Ward 1","","","","City of Milton-Freewater, Ward 1",24,,300029733,"Orrin Lyon",12/9/2018 7:21:42 AM,1,282,0.996466431095406,0/1,
300024055,"City of Milton-Freewater Council, At Large 2","","","","City of Milton-Freewater",25,,9901,"Write-in",12/9/2018 7:21:42 AM,1,14,0.0130597014925373,0/3,
300024055,"City of Milton-Freewater Council, At Large 2","","","","City of Milton-Freewater",25,,300034737,"Steve Irving",12/9/2018 7:21:42 AM,1,1058,0.986940298507463,0/3,
