ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100038421,"US Representative, District 2","","","","US Congressional District 2",1,,9901,"Write-in",12/9/2018 7:21:18 AM,1,47,0.000490027420683328,304/381,
100038421,"US Representative, District 2","Democrat, Working Families","","","US Congressional District 2",1,,100060598,"Jamie McLeod-Skinner",12/9/2018 7:21:18 AM,1,46924,0.489235035917967,304/381,
100038421,"US Representative, District 2","Independent","","","US Congressional District 2",1,,100060602,"Mark R Roberts",12/9/2018 7:21:18 AM,1,3003,0.0313096243470645,304/381,
100038421,"US Representative, District 2","Republican","","","US Congressional District 2",1,,100061546,"Greg Walden",12/9/2018 7:21:18 AM,1,45939,0.478965312314285,304/381,
100038425,"Governor","","","","Statewide Partisan",4,,9901,"Write-in",12/9/2018 7:21:18 AM,1,97,0.00100937574792662,1002/1335,
100038425,"Governor","Constitution","","","Statewide Partisan",4,,100063718,"Aaron Auer",12/9/2018 7:21:18 AM,1,766,0.00797094662795659,1002/1335,
100038425,"Governor","Democrat, Working Families","","","Statewide Partisan",4,,300027544,"Kate Brown",12/9/2018 7:21:18 AM,1,40676,0.423271834254259,1002/1335,
100038425,"Governor","Libertarian","","","Statewide Partisan",4,,100063719,"Nick Chen",12/9/2018 7:21:18 AM,1,1353,0.0140792307932445,1002/1335,
100038425,"Governor","Independent","","","Statewide Partisan",4,,100061848,"Patrick Starnes",12/9/2018 7:21:18 AM,1,2764,0.0287620058481358,1002/1335,
100038425,"Governor","Progressive","","","Statewide Partisan",4,,100064101,"Chris Henry",12/9/2018 7:21:18 AM,1,460,0.00478673035099221,1002/1335,
100038425,"Governor","Republican","","","Statewide Partisan",4,,100060616,"Knute Buehler",12/9/2018 7:21:18 AM,1,49983,0.520119876377486,1002/1335,
100038314,"State Representative, 53rd District","","","","HD 53",4,,9901,"Write-in",12/9/2018 7:21:18 AM,1,52,0.00139328010288838,19/19,
100038314,"State Representative, 53rd District","Democrat","","","HD 53",4,,100060708,"Eileen Kiely",12/9/2018 7:21:18 AM,1,16207,0.434247896682922,19/19,
100038314,"State Representative, 53rd District","Republican, Independent","","","HD 53",4,,100060660,"Jack Zika",12/9/2018 7:21:18 AM,1,21063,0.56435882321419,19/19,
100038315,"State Representative, 54th District","","","","HD 54",5,,9901,"Write-in",12/9/2018 7:21:18 AM,1,670,0.0184248157518425,17/17,
100038315,"State Representative, 54th District","Democrat","","","HD 54",5,,100060662,"Nathan K Boddie",12/9/2018 7:21:18 AM,1,9000,0.24749752502475,17/17,
100038315,"State Representative, 54th District","Working Families, Progressive","","","HD 54",5,,100063854,"Amanda La Bell",12/9/2018 7:21:18 AM,1,5560,0.15289847101529,17/17,
100038315,"State Representative, 54th District","Republican, Independent","","","HD 54",5,,100061210,"Cheri Helt",12/9/2018 7:21:18 AM,1,21134,0.581179188208118,17/17,
100038488,"State Representative, 55th District","","","","HD 55",9,,9901,"Write-in",12/9/2018 7:21:18 AM,1,9,0.00136695018226002,49/49,
100038488,"State Representative, 55th District","Democrat, Working Families","","","HD 55",9,,100061482,"Karen Rippberger",12/9/2018 7:21:18 AM,1,2144,0.325637910085055,49/49,
100038488,"State Representative, 55th District","Republican, Independent","","","HD 55",9,,300025077,"Mike McLane",12/9/2018 7:21:18 AM,1,4431,0.672995139732685,49/49,
100038493,"State Senator, 30th District","","","","SD 30",9,,9901,"Write-in",12/9/2018 7:21:18 AM,1,13,0.00109501347708895,93/93,
100038493,"State Senator, 30th District","Democrat","","","SD 30",9,,100063726,"Solea Kabakov",12/9/2018 7:21:18 AM,1,4090,0.344508086253369,93/93,
100038493,"State Senator, 30th District","Republican","","","SD 30",9,,100063725,"Cliff Bentz",12/9/2018 7:21:18 AM,1,7769,0.654396900269542,93/93,
100038515,"Deschutes County Commissioner, Position 1","","","","Deschutes",18,,9901,"Write-in",12/9/2018 7:21:18 AM,1,71,0.000764501297498681,50/50,
100038515,"Deschutes County Commissioner, Position 1","Democrat","","","Deschutes",18,,100063791,"Amy Lowes",12/9/2018 7:21:18 AM,1,45228,0.486998094130568,50/50,
100038515,"Deschutes County Commissioner, Position 1","Republican, Independent","","","Deschutes",18,,100063790,"Anthony R DeBone",12/9/2018 7:21:18 AM,1,47572,0.512237404571933,50/50,
100038516,"Deschutes County Commissioner, Position 3","","","","Deschutes",19,,9901,"Write-in",12/9/2018 7:21:18 AM,1,121,0.00131063018565456,50/50,
100038516,"Deschutes County Commissioner, Position 3","Democrat","","","Deschutes",19,,100063793,"James Cook",12/9/2018 7:21:18 AM,1,45609,0.494020926756353,50/50,
100038516,"Deschutes County Commissioner, Position 3","Republican","","","Deschutes",19,,100063792,"Patti Adair",12/9/2018 7:21:18 AM,1,46592,0.504668443057993,50/50,
100038514,"Deschutes County Clerk","","","","Deschutes",20,,9901,"Write-in",12/9/2018 7:21:18 AM,1,382,0.00581740653316074,50/50,
100038514,"Deschutes County Clerk","","","","Deschutes",20,,100004112,"Nancy Blankenship",12/9/2018 7:21:18 AM,1,65283,0.994182593466839,50/50,
100038517,"Deschutes County Treasurer","","","","Deschutes",21,,9901,"Write-in",12/9/2018 7:21:18 AM,1,438,0.00752486814300686,50/50,
100038517,"Deschutes County Treasurer","","","","Deschutes",21,,100045230,"Wayne Lowry",12/9/2018 7:21:18 AM,1,57769,0.992475131856993,50/50,
100038492,"State Representative, 59th District","","","","HD 59",21,,9901,"Write-in",12/9/2018 7:21:18 AM,1,6,0.000503820639852213,38/38,
100038492,"State Representative, 59th District","Democrat, Working Families","","","HD 59",21,,100061893,"Darcy Long-Curtiss",12/9/2018 7:21:18 AM,1,4248,0.356705013015367,38/38,
100038492,"State Representative, 59th District","Republican, Independent","","","HD 59",21,,100060562,"Daniel G Bonham",12/9/2018 7:21:18 AM,1,7655,0.642791166344781,38/38,
300024332,"City of Bend, City Council, Position 5","","","","City of Bend",22,,9901,"Write-in",12/9/2018 7:21:18 AM,1,159,0.00392573206261419,20/20,
300024332,"City of Bend, City Council, Position 5","","","","City of Bend",22,,300035078,"Victor Johnson",12/9/2018 7:21:18 AM,1,1609,0.0397264332625549,20/20,
300024332,"City of Bend, City Council, Position 5","","","","City of Bend",22,,300035079,"Gena Goodman-Campbell",12/9/2018 7:21:18 AM,1,26047,0.643104044244729,20/20,
300024332,"City of Bend, City Council, Position 5","","","","City of Bend",22,,300035081,"Andrew Davis",12/9/2018 7:21:18 AM,1,12687,0.313243790430102,20/20,
