ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100038421,"US Representative, District 2","","","","US Congressional District 2",1,,9901,"Write-in",12/9/2018 7:21:43 AM,1,18,0.00152632917832613,304/381,
100038421,"US Representative, District 2","Democrat, Working Families","","","US Congressional District 2",1,,100060598,"Jamie McLeod-Skinner",12/9/2018 7:21:43 AM,1,3281,0.278215890782668,304/381,
100038421,"US Representative, District 2","Independent","","","US Congressional District 2",1,,100060602,"Mark R Roberts",12/9/2018 7:21:43 AM,1,568,0.0481641651827355,304/381,
100038421,"US Representative, District 2","Republican","","","US Congressional District 2",1,,100061546,"Greg Walden",12/9/2018 7:21:43 AM,1,7926,0.672093614856271,304/381,
100038425,"Governor","","","","Statewide Partisan",4,,9901,"Write-in",12/9/2018 7:21:43 AM,1,24,0.00204151071793127,1002/1335,
100038425,"Governor","Constitution","","","Statewide Partisan",4,,100063718,"Aaron Auer",12/9/2018 7:21:43 AM,1,209,0.0177781558353181,1002/1335,
100038425,"Governor","Democrat, Working Families","","","Statewide Partisan",4,,300027544,"Kate Brown",12/9/2018 7:21:43 AM,1,2877,0.244726097312011,1002/1335,
100038425,"Governor","Libertarian","","","Statewide Partisan",4,,100063719,"Nick Chen",12/9/2018 7:21:43 AM,1,162,0.0137801973460361,1002/1335,
100038425,"Governor","Independent","","","Statewide Partisan",4,,100061848,"Patrick Starnes",12/9/2018 7:21:43 AM,1,441,0.0375127594419871,1002/1335,
100038425,"Governor","Progressive","","","Statewide Partisan",4,,100064101,"Chris Henry",12/9/2018 7:21:43 AM,1,60,0.00510377679482817,1002/1335,
100038425,"Governor","Republican","","","Statewide Partisan",4,,100060616,"Knute Buehler",12/9/2018 7:21:43 AM,1,7983,0.679057502551888,1002/1335,
100038491,"State Representative, 58th District","","","","HD 58",4,,9901,"Write-in",12/9/2018 7:21:43 AM,1,33,0.00286632502388604,31/62,
100038491,"State Representative, 58th District","Independent","","","HD 58",4,,100061559,"Skye Farnam",12/9/2018 7:21:43 AM,1,2571,0.22331277686094,31/62,
100038491,"State Representative, 58th District","Republican, Democrat","","","HD 58",4,,100043176,"Greg Barreto",12/9/2018 7:21:43 AM,1,8909,0.773820898115174,31/62,
100038496,"Judge of the Circuit Court, 10th District, Position 2","","","","Circuit Court District 10",9,,9901,"Write-in",12/9/2018 7:21:43 AM,1,20,0.00180228890691178,31/31,
100038496,"Judge of the Circuit Court, 10th District, Position 2","","","","Circuit Court District 10",9,,100063760,"Wes Williams",12/9/2018 7:21:43 AM,1,6182,0.557087501126431,31/31,
100038496,"Judge of the Circuit Court, 10th District, Position 2","","","","Circuit Court District 10",9,,100063759,"Mona K Williams",12/9/2018 7:21:43 AM,1,4895,0.441110209966658,31/31,
300024166,"City of La Grande Council Pos #5","","","","30 - CITY OF LA GRANDE",15,,9901,"Write-in",12/9/2018 7:21:43 AM,1,77,0.0275787965616046,3/3,
300024166,"City of La Grande Council Pos #5","","","","30 - CITY OF LA GRANDE",15,,300024460,"Gary L Lillard",12/9/2018 7:21:43 AM,1,2715,0.972421203438395,3/3,
300024167,"City of La Grande Council Pos #6","","","","30 - CITY OF LA GRANDE",16,,9901,"Write-in",12/9/2018 7:21:43 AM,1,50,0.0177430801987225,3/3,
300024167,"City of La Grande Council Pos #6","","","","30 - CITY OF LA GRANDE",16,,100063787,"Jim Whitbeck",12/9/2018 7:21:43 AM,1,2768,0.982256919801277,3/3,
