PRESIDENT,Precinct,Voters,Trnout,Pct,HARRY BROWNE (LIB),PATRICK J. BUCHANAN (IND),GEORGE W. BUSH (REP),AL GORE (DEM),JOHN HAGELIN (REF),RALPH NADER (PAC),HOWARD PHILLIPS (CON),Under Votes,Over Votes,Write-ins,,
,103,13,9,69.23%,0,0,2,7,0,0,0,0,0,0,,
,104,15,12,80%,0,0,2,8,0,2,0,0,0,0,,
,141,53,42,79.25%,0,0,19,22,0,1,0,0,0,0,,
,156,71,67,94.37%,0,0,27,38,0,2,0,0,0,0,,
,157,22,22,100%,2,0,5,12,0,3,0,0,0,0,,
,158,181,165,91.16%,0,0,86,64,0,13,1,1,0,0,,
,159,155,146,94.19%,0,0,43,97,0,5,0,1,0,0,,
,332,194,106,54.64%,0,3,36,58,0,5,0,2,2,0,,
,432,209,141,67.46%,0,0,60,73,1,6,0,0,1,0,,
,433,238,164,68.91%,0,0,63,92,0,7,0,1,0,1,,
,521,80,62,77.5%,0,0,36,26,0,0,0,0,0,0,,
,542,9,7,77.78%,0,0,3,4,0,0,0,0,0,0,,
,543,26,11,42.31%,0,0,4,7,0,0,0,0,0,0,,
,546,125,83,66.4%,0,0,23,52,2,6,0,0,0,0,,
,547,2,2,100%,0,0,1,0,0,0,0,0,0,1,,
,548,38,22,57.89%,0,0,6,14,0,2,0,0,0,0,,
,590,42,24,57.14%,0,0,8,15,0,1,0,0,0,0,,
,601,0,0,0%,0,0,0,0,0,0,0,0,0,0,,
,1002,846,718,84.87%,9,0,188,456,2,51,1,6,2,3,,
,1013,4798,4106,85.58%,7,3,821,2943,2,304,1,5,14,6,,
,1025,4652,3512,75.49%,23,6,420,2504,5,505,2,13,24,10,,
,1045,226,205,90.71%,6,0,77,114,0,7,0,1,0,0,,
,1053,3531,2200,62.31%,21,6,403,1484,5,230,3,16,20,12,,
,1103,4013,3063,76.33%,20,8,589,2067,5,324,1,16,25,8,,
,1156,3258,2847,87.38%,11,2,864,1810,3,126,0,21,6,4,,
,1170,4159,3619,87.02%,14,4,1115,2251,4,202,0,16,5,8,,
,1183,2855,2312,80.98%,8,2,569,1500,5,206,1,13,4,4,,
,1205,4235,3517,83.05%,21,9,825,2381,5,247,1,8,16,4,,
,1211,2212,1896,85.71%,5,3,472,1281,1,114,1,9,7,3,,
,1213,1408,1190,84.52%,3,1,354,710,1,109,0,4,6,2,,
,1222,4249,3702,87.13%,10,5,1036,2433,7,181,0,15,9,6,,
,1224,3432,3059,89.13%,15,4,820,2047,4,137,1,19,9,3,,
,1226,3298,2871,87.05%,9,3,834,1875,2,125,1,11,5,6,,
,1230,4294,3673,85.54%,11,3,964,2432,2,222,1,22,9,7,,
,1238,4218,3514,83.31%,19,16,1098,2123,5,223,0,15,7,8,,
,1240,753,682,90.57%,7,1,179,449,1,43,0,1,1,0,,
,1245,4725,4027,85.23%,18,7,1030,2704,6,226,1,13,17,5,,
,1315,2949,2306,78.2%,20,6,617,1439,4,195,0,7,11,7,,
,1321,1884,1657,87.95%,7,2,691,896,2,48,2,1,6,2,,
,1400,1389,1169,84.16%,1,2,465,638,0,50,1,9,1,2,,
,1402,422,351,83.18%,4,0,155,176,1,13,0,1,0,1,,
,1500,439,378,86.1%,1,0,141,219,0,14,0,2,0,1,,
,1504,1610,1367,84.91%,8,7,529,721,0,88,0,5,5,4,,
,1505,686,579,84.4%,2,0,282,263,0,28,0,2,0,2,,
,1507,348,316,90.8%,0,1,115,182,0,14,0,2,1,1,,
,1515,1079,976,90.45%,1,0,446,479,1,38,1,5,2,3,,
,1546,1118,1004,89.8%,1,1,496,446,1,48,0,8,2,1,,
,2002,4037,2650,65.64%,17,18,622,1760,4,180,1,12,27,9,,
,2026,4000,2653,66.33%,11,13,561,1817,4,194,1,19,27,6,,
,2029,3566,2586,72.52%,22,18,520,1805,4,158,3,16,30,10,,
,2077,4831,3640,75.35%,23,25,909,2319,5,288,0,35,20,16,,
,2086,4299,3159,73.48%,14,7,516,2311,2,249,1,21,27,11,,
,2099,3501,2379,67.95%,16,5,216,1827,1,260,0,16,34,4,,
,2100,4047,3219,79.54%,12,6,747,2189,5,225,2,15,14,4,,
,2114,3688,2882,78.15%,12,8,505,2083,3,224,2,22,13,10,,
,2143,2598,1979,76.17%,10,6,670,1162,4,100,0,11,12,4,,
,3000,3562,2645,74.26%,18,12,757,1656,2,161,2,16,16,5,,
,3002,2692,2064,76.67%,6,9,524,1360,4,136,2,10,8,5,,
,3004,2988,2034,68.07%,11,4,250,1543,1,187,1,14,18,5,,
,3008,3437,2726,79.31%,11,8,474,2009,1,186,2,13,16,6,,
,3058,4991,3693,73.99%,17,10,517,2657,1,429,1,18,36,7,,
,3086,2724,2020,74.16%,6,13,454,1391,1,127,0,9,12,7,,
,3097,3966,2963,74.71%,3,3,267,2345,1,298,4,15,24,3,,
,3113,3238,2879,88.91%,7,6,557,2093,1,191,2,12,4,6,,
,3128,3853,3393,88.06%,8,5,699,2418,1,240,0,8,8,6,,
,3144,3833,3407,88.89%,10,3,602,2555,4,205,0,15,7,6,,
,3151,5088,3622,71.19%,14,5,246,2839,5,425,3,29,50,6,,
,3177,4140,3440,83.09%,10,5,825,2345,3,214,1,19,14,4,,
,3185,2754,2156,78.29%,4,15,861,1165,4,73,5,10,14,5,,
,3193,4348,3622,83.3%,17,8,694,2595,1,261,1,16,18,11,,
,3240,4680,3647,77.93%,9,9,962,2354,7,267,3,22,7,7,,
,3248,2630,2107,80.11%,12,5,462,1395,0,204,2,12,8,7,,
,3253,1285,979,76.19%,4,0,163,688,1,97,1,7,15,3,,
,3259,4560,3831,84.01%,17,8,684,2774,2,313,2,13,11,7,,
,3274,3721,2938,78.96%,21,7,299,2088,5,481,0,16,11,10,,
,3290,3628,3212,88.53%,11,3,665,2322,6,188,0,11,3,3,,
,3297,1623,1153,71.04%,6,4,286,755,2,75,1,9,12,3,,
,3307,3317,2658,80.13%,10,9,1113,1409,6,82,1,12,13,3,,
,3311,3293,2463,74.8%,9,11,874,1399,2,115,2,24,20,7,,
,3315,2336,1658,70.98%,7,14,592,932,4,79,0,11,12,7,,
,3322,1584,1259,79.48%,1,10,541,657,0,31,0,7,7,5,,
,3327,2117,1625,76.76%,5,5,582,921,2,78,1,16,12,3,,
,3329,3650,2983,81.73%,9,10,1249,1566,5,108,2,19,10,5,,
,3330,3490,2724,78.05%,7,6,1095,1446,1,115,1,27,19,7,,
,4009,2727,2234,81.92%,10,1,183,1651,4,363,0,9,11,2,,
,4022,3891,2907,74.71%,21,5,278,2052,4,506,3,12,18,8,,
,4027,2315,1851,79.96%,11,5,130,1325,3,352,3,6,10,6,,
,4041,5109,4383,85.79%,17,11,569,3213,3,525,2,23,15,5,,
,4049,3743,2810,75.07%,21,7,334,1953,2,471,2,7,8,5,,
,4065,5006,3959,79.09%,15,14,527,2831,4,518,4,14,23,9,,
,4106,3615,2979,82.41%,13,3,374,2129,2,428,0,16,7,7,,
,4111,3585,3081,85.94%,13,2,724,2054,4,255,1,16,6,6,,
,4125,3850,2798,72.68%,11,10,1091,1486,10,147,4,17,14,8,,
,4131,3243,2625,80.94%,14,4,551,1766,7,251,3,12,11,6,,
,4155,3806,2963,77.85%,13,3,702,1989,6,210,0,24,10,6,,
,4167,2217,1704,76.86%,5,5,337,1131,6,195,3,7,11,4,,
,4178,4403,3269,74.24%,18,9,776,2129,3,275,2,26,22,9,,
