PRESIDENT,Precinct,Voters,Trnout,Pct,HARRY BROWNE (LIB),PATRICK J. BUCHANAN (IND),GEORGE W. BUSH (REP),AL GORE (DEM),JOHN HAGELIN (REF),RALPH NADER (PAC),HOWARD PHILLIPS (CON),Under Votes,Over Votes,Write-ins,,
,4185,2985,2205,73.87%,12,7,563,1413,5,169,1,8,14,13,,
,4202,3421,2553,74.63%,26,7,691,1591,7,196,7,11,13,4,,
,4216,4350,2836,65.2%,21,20,801,1701,5,223,9,24,17,15,,
,4242,4437,3577,80.62%,18,11,710,2487,4,313,4,8,14,8,,
,4250,4384,3561,81.23%,15,7,801,2410,2,280,0,17,20,9,,
,4254,3140,2500,79.62%,13,5,549,1648,1,249,3,13,13,6,,
,4282,2707,2400,88.66%,8,1,720,1532,1,115,1,9,5,8,,
,4295,3080,2556,82.99%,6,5,446,1796,4,265,5,11,14,4,,
,4299,3610,2475,68.56%,15,9,722,1546,3,151,4,12,6,7,,
,4309,2163,1674,77.39%,12,11,701,889,0,48,1,4,6,2,,
,4320,3640,2661,73.1%,10,13,973,1472,4,140,2,23,14,10,,
,4333,3442,2556,74.26%,11,11,936,1424,4,129,0,25,15,1,,
,4338,2457,1799,73.22%,10,11,650,1020,5,78,2,13,5,5,,
,4339,3088,2146,69.49%,9,15,811,1154,2,124,5,10,13,3,,
,4340,2215,1571,70.93%,11,4,490,936,3,91,3,7,19,7,,
,4344,2757,2023,73.38%,7,6,748,1155,5,82,1,9,6,4,,
,4345,3858,2881,74.68%,7,13,1086,1570,2,147,3,29,19,5,,
,4350,3287,2510,76.36%,12,14,919,1451,0,85,1,14,9,5,,
,4352,3218,2219,68.96%,10,15,818,1227,7,100,3,16,17,6,,
,4359,2001,1568,78.36%,4,6,648,821,4,61,4,13,3,4,,
,4360,2430,1713,70.49%,9,7,572,1008,4,82,6,7,10,8,,
,4361,3751,2691,71.74%,12,12,969,1531,2,120,5,20,12,8,,
,5029,562,486,86.48%,3,1,188,278,1,12,0,2,0,1,,
,5100,3027,2209,72.98%,14,6,917,1169,4,71,7,8,7,6,,
,5200,4071,3062,75.21%,15,7,1372,1474,6,145,8,23,10,2,,
,5201,3224,2650,82.2%,6,9,1207,1293,4,94,4,18,11,4,,
,5301,1445,1038,71.83%,5,8,400,561,2,44,6,5,5,2,,
,5401,300,265,88.33%,0,0,111,150,0,3,0,1,0,0,,
,5425,2690,2153,80.04%,14,8,1036,929,1,135,2,16,5,7,,
,5602,513,401,78.17%,0,0,217,166,0,10,3,4,1,0,,
,5603,401,305,76.06%,0,1,144,133,0,20,0,5,0,2,,
,5604,1807,1511,83.62%,5,1,825,602,3,57,1,13,2,2,,
,5819,4047,2981,73.66%,8,14,1100,1671,5,135,5,22,11,10,,
,5820,3953,3001,75.92%,10,11,1247,1563,5,116,0,27,13,9,,
,5828,3038,2094,68.93%,7,11,840,1088,3,110,2,15,9,9,,
,5842,4376,3566,81.49%,10,11,1632,1745,8,121,2,22,8,7,,
,5846,4030,3274,81.24%,9,6,1666,1451,5,98,2,16,9,12,,
,5850,3547,2507,70.68%,10,14,1031,1322,2,88,5,12,15,8,,
,5851,4022,3143,78.15%,6,6,1516,1465,4,100,2,19,18,7,,
,5853,3461,2665,77%,9,4,1124,1370,5,106,2,17,19,9,,
,5855,3683,3083,83.71%,8,8,1436,1512,2,89,1,16,5,6,,
,5861,2616,2049,78.33%,7,9,834,1071,7,82,5,21,2,11,,
,5868,2630,2025,77%,9,7,880,1030,5,70,3,10,4,7,,
,5870,3490,2530,72.49%,16,10,949,1401,2,107,4,14,15,12,,
,5871,2397,1591,66.37%,6,9,526,944,0,76,1,12,8,9,,
,TOTAL,383915,299776,78.08%,1308,868,83677,188441,388,21048,232,1658,1433,723,,
HOUSE 1ST DISTRICT,Precinct,Voters,Trnout,Pct,BETH A. KING (LIB),CHARLES STARR (REP),DAVID WU (DEM),Under Votes,Over Votes,Write-ins,,,,,,
,104,15,12,80%,0,1,11,0,0,0,,,,,,
,141,53,42,79.25%,1,17,21,3,0,0,,,,,,
,158,181,165,91.16%,6,66,84,8,0,1,,,,,,
,1013,4798,4106,85.58%,119,599,3219,157,4,8,,,,,,
,1025,4652,3512,75.49%,223,324,2770,171,12,12,,,,,,
,1045,226,205,90.71%,10,64,126,5,0,0,,,,,,
,1053,3531,2200,62.31%,141,322,1599,125,4,9,,,,,,
,1103,4013,3063,76.33%,179,478,2262,127,8,9,,,,,,
,1156,3258,2847,87.38%,79,653,2018,88,5,4,,,,,,
,1170,4159,3619,87.02%,95,855,2518,137,6,8,,,,,,
,1183,2855,2312,80.98%,105,425,1685,89,4,4,,,,,,
,1205,4235,3517,83.05%,120,661,2608,115,6,7,,,,,,
,1211,2212,1896,85.71%,64,375,1382,70,3,2,,,,,,
,1222,4249,3702,87.13%,103,826,2634,128,4,7,,,,,,
,1224,3432,3059,89.13%,72,637,2243,103,4,0,,,,,,
,1226,3298,2871,87.05%,62,657,2052,96,2,2,,,,,,
,1230,4294,3673,85.54%,104,796,2641,124,6,2,,,,,,
,1238,4218,3514,83.31%,133,917,2338,112,11,3,,,,,,
,1240,753,682,90.57%,24,154,487,16,0,1,,,,,,
,1245,4725,4027,85.23%,124,843,2912,140,5,3,,,,,,
,1315,2949,2306,78.2%,118,497,1594,91,1,5,,,,,,
,1400,1389,1169,84.16%,30,377,714,46,1,1,,,,,,
,1507,348,316,90.8%,9,98,199,8,1,1,,,,,,
,1515,1079,976,90.45%,21,347,573,33,1,1,,,,,,
,TOTAL,64922,53791,82.85%,1942,10989,38690,1992,88,90,,,,,,
HOUSE DIST 3,Precinct,Voters,Trnout,Pct,TRE ARROW (PAC),EARL BLUMENAUER (DEM),WALTER F. (WALT) BROWN (SOC),BRUCE ALEXANDER KNIGHT (LIB),JEFFERY L. POLLOCK (REP),Under Votes,Over Votes,Write-ins,,,,
,103,13,9,69.23%,0,5,1,0,2,1,0,0,,,,
,156,71,67,94.37%,5,41,0,0,19,2,0,0,,,,
,157,22,22,100%,1,15,0,3,3,0,0,0,,,,
,159,155,146,94.19%,4,105,1,0,29,7,0,0,,,,
,332,194,106,54.64%,6,57,2,2,33,5,0,1,,,,
,432,209,141,67.46%,6,76,2,3,49,5,0,0,,,,
,433,238,164,68.91%,7,98,2,4,48,4,0,1,,,,
,521,80,62,77.5%,0,32,0,0,26,4,0,0,,,,
,542,9,7,77.78%,0,5,0,0,2,0,0,0,,,,
,543,26,11,42.31%,0,7,0,0,3,0,0,1,,,,
,546,125,83,66.4%,3,51,1,2,22,3,1,0,,,,
,547,2,2,100%,0,2,0,0,0,0,0,0,,,,
,548,38,22,57.89%,2,9,0,3,7,1,0,0,,,,
,590,42,24,57.14%,1,10,1,0,7,5,0,0,,,,
,601,0,0,0%,0,0,0,0,0,0,0,0,,,,
,1002,846,718,84.87%,57,461,8,28,135,29,0,0,,,,
,1213,1408,1190,84.52%,97,751,20,12,243,63,1,3,,,,
,1321,1884,1657,87.95%,32,1040,6,16,466,90,3,4,,,,
,1402,422,351,83.18%,8,220,0,9,101,13,0,0,,,,
,1500,439,378,86.1%,19,229,0,3,105,21,0,1,,,,
,1504,1610,1367,84.91%,70,786,7,27,402,70,2,3,,,,
,1505,686,579,84.4%,19,327,4,4,202,21,1,1,,,,
,1546,1118,1004,89.8%,28,591,4,10,337,32,1,1,,,,
,2002,4037,2650,65.64%,211,1741,43,66,467,105,11,6,,,,
,2026,4000,2653,66.33%,177,1849,41,46,415,108,8,9,,,,
,2029,3566,2586,72.52%,169,1809,41,53,393,104,11,6,,,,
,2077,4831,3640,75.35%,215,2427,69,56,672,185,9,7,,,,
,2086,4299,3159,73.48%,213,2293,65,59,360,155,11,3,,,,
,2099,3501,2379,67.95%,204,1788,80,47,142,101,13,4,,,,
,2100,4047,3219,79.54%,192,2238,42,77,516,140,5,9,,,,
,2114,3688,2882,78.15%,219,2046,54,68,392,86,13,4,,,,
,2143,2598,1979,76.17%,97,1272,23,35,478,64,5,5,,,,
,3000,3562,2645,74.26%,154,1755,43,45,522,110,11,5,,,,
,3002,2692,2064,76.67%,127,1412,40,37,361,76,4,7,,,,
,3004,2988,2034,68.07%,177,1514,34,33,176,83,9,8,,,,
,3008,3437,2726,79.31%,150,2045,50,32,327,95,12,15,,,,
,3058,4991,3693,73.99%,334,2678,90,57,364,152,12,6,,,,
,3086,2724,2020,74.16%,106,1429,20,29,347,79,5,5,,,,
,3097,3966,2963,74.71%,262,2251,84,33,181,131,13,8,,,,
,3113,3238,2879,88.91%,159,2197,42,26,361,85,6,3,,,,
,3128,3853,3393,88.06%,187,2534,46,46,462,106,6,6,,,,
,3144,3833,3407,88.89%,153,2667,48,37,370,114,12,6,,,,
,3151,5088,3622,71.19%,361,2723,145,52,170,147,14,10,,,,
,3177,4140,3440,83.09%,144,2444,52,44,607,140,7,2,,,,
,3185,2754,2156,78.29%,78,1247,31,29,653,99,9,10,,,,
,3193,4348,3622,83.3%,202,2678,47,48,483,147,8,9,,,,
,3240,4680,3647,77.93%,231,2381,63,75,729,146,9,13,,,,
,3248,2630,2107,80.11%,167,1432,37,37,324,99,6,5,,,,
,3253,1285,979,76.19%,79,716,27,8,109,38,1,1,,,,
,3259,4560,3831,84.01%,206,2864,84,59,437,169,10,2,,,,
,3274,3721,2938,78.96%,421,1945,124,77,220,123,19,9,,,,
,3290,3628,3212,88.53%,132,2446,45,42,434,104,4,5,,,,
,3297,1623,1153,71.04%,86,757,22,20,208,56,1,3,,,,
,3307,3317,2658,80.13%,73,1569,35,25,811,136,6,3,,,,
,3311,3293,2463,74.8%,85,1505,28,43,674,119,2,7,,,,
,3315,2336,1658,70.98%,84,977,16,26,468,77,2,8,,,,
,3322,1584,1259,79.48%,28,752,7,15,379,74,0,4,,,,
,3327,2117,1625,76.76%,62,980,18,15,451,91,3,5,,,,
,3329,3650,2983,81.73%,75,1761,18,49,929,138,3,10,,,,
,3330,3490,2724,78.05%,80,1667,23,27,800,117,4,6,,,,
,4009,2727,2234,81.92%,290,1549,98,49,141,97,8,2,,,,
,4022,3891,2907,74.71%,437,1916,125,80,190,140,17,2,,,,
,4027,2315,1851,79.96%,281,1258,97,43,90,75,4,3,,,,
,4041,5109,4383,85.79%,417,3207,103,57,400,182,11,6,,,,
,4049,3743,2810,75.07%,364,1889,102,92,247,102,8,6,,,,
,4065,5006,3959,79.09%,426,2753,137,87,373,177,2,4,,,,
,4106,3615,2979,82.41%,331,2093,89,70,273,106,10,7,,,,
,4111,3585,3081,85.94%,213,2121,64,36,521,119,5,2,,,,
,4125,3850,2798,72.68%,124,1572,41,48,851,145,12,5,,,,
,4131,3243,2625,80.94%,207,1784,55,76,380,107,8,8,,,,
,4155,3806,2963,77.85%,195,2013,57,45,503,139,8,3,,,,
,4167,2217,1704,76.86%,155,1141,58,39,231,70,7,3,,,,
,4178,4403,3269,74.24%,246,2178,72,63,561,127,12,10,,,,
,4185,2985,2205,73.87%,142,1484,38,54,403,72,6,6,,,,
,4202,3421,2553,74.63%,162,1624,53,70,529,102,5,8,,,,
,4216,4350,2836,65.2%,181,1779,42,98,581,133,9,13,,,,
,4242,4437,3577,80.62%,265,2494,63,63,534,148,7,3,,,,
,4250,4384,3561,81.23%,262,2458,77,56,541,146,8,13,,,,
,4254,3140,2500,79.62%,192,1637,100,67,369,116,16,3,,,,
,4282,2707,2400,88.66%,85,1734,24,37,422,89,5,4,,,,
,4295,3080,2556,82.99%,232,1812,58,33,317,96,4,4,,,,
,4299,3610,2475,68.56%,152,1517,49,69,542,134,6,6,,,,
,4309,2163,1674,77.39%,43,975,23,24,509,98,2,0,,,,
,4320,3640,2661,73.1%,108,1564,39,56,734,135,12,13,,,,
,4333,3442,2556,74.26%,126,1557,31,39,663,126,9,5,,,,
,4338,2457,1799,73.22%,54,1087,26,37,514,78,2,1,,,,
,4339,3088,2146,69.49%,98,1238,23,50,626,102,6,3,,,,
,4340,2215,1571,70.93%,71,993,24,25,363,80,8,7,,,,
,4344,2757,2023,73.38%,80,1220,19,46,557,98,1,2,,,,
,4345,3858,2881,74.68%,125,1666,28,53,847,147,7,8,,,,
,4350,3287,2510,76.36%,77,1572,21,48,676,109,4,3,,,,
,4352,3218,2219,68.96%,99,1292,33,48,617,116,3,11,,,,
,4359,2001,1568,78.36%,54,928,18,24,476,65,2,1,,,,
,4360,2430,1713,70.49%,84,1047,25,46,410,92,5,4,,,,
,4361,3751,2691,71.74%,100,1623,31,41,721,151,6,18,,,,
,5029,562,486,86.48%,11,313,2,5,139,15,1,0,,,,
,5100,3027,2209,72.98%,48,1318,15,47,685,91,2,3,,,,
,5200,4071,3062,75.21%,112,1614,29,52,1080,164,5,6,,,,
,5201,3224,2650,82.2%,75,1430,22,33,957,121,8,4,,,,
,5301,1445,1038,71.83%,46,582,18,22,306,56,3,5,,,,
,5401,300,265,88.33%,6,163,0,3,78,14,1,0,,,,
,5425,2690,2153,80.04%,95,1037,31,62,822,90,5,11,,,,
,5602,513,401,78.17%,10,203,6,4,160,16,2,0,,,,
,5603,401,305,76.06%,16,148,2,2,113,21,0,3,,,,
,5604,1807,1511,83.62%,54,741,16,19,613,63,3,2,,,,
,5819,4047,2981,73.66%,95,1805,37,50,835,141,7,11,,,,
,5820,3953,3001,75.92%,91,1738,33,30,930,165,6,8,,,,
,5828,3038,2094,68.93%,80,1169,32,36,664,105,2,6,,,,
,5842,4376,3566,81.49%,103,1950,35,44,1257,168,5,4,,,,
,5846,4030,3274,81.24%,81,1666,18,40,1296,167,4,2,,,,
,5850,3547,2507,70.68%,103,1377,30,32,828,130,4,3,,,,
,5851,4022,3143,78.15%,91,1633,24,28,1190,168,3,6,,,,
,5853,3461,2665,77%,68,1533,32,32,865,118,6,11,,,,
,5855,3683,3083,83.71%,54,1796,24,21,1041,140,1,6,,,,
,5861,2616,2049,78.33%,56,1193,15,27,636,114,3,5,,,,
,5868,2630,2025,77%,73,1134,20,27,671,95,2,3,,,,
,5870,3490,2530,72.49%,101,1508,27,44,710,121,4,15,,,,
,5871,2397,1591,66.37%,100,948,20,35,399,79,4,6,,,,
,TOTAL,318993,245985,77.11%,14512,159481,4267,4263,51420,10856,619,567,,,,
SECRETARY OF STATE,Precinct,Voters,Trnout,Pct,BILL BRADBURY (DEM),LLOYD MARBET (PAC),"E. J. (ED) POLE, II (LIB)",LYNN SNODGRASS (REP),Under Votes,Over Votes,Write-ins,,,,,
,103,13,9,69.23%,4,2,0,3,0,0,0,,,,,
,104,15,12,80%,9,1,0,2,0,0,0,,,,,
,141,53,42,79.25%,24,0,1,15,2,0,0,,,,,
,156,71,67,94.37%,36,4,0,22,5,0,0,,,,,
,157,22,22,100%,10,3,1,7,0,1,0,,,,,
,158,181,165,91.16%,82,5,0,72,5,1,0,,,,,
,159,155,146,94.19%,92,10,0,36,8,0,0,,,,,
,332,194,106,54.64%,51,7,2,41,4,0,1,,,,,
,432,209,141,67.46%,71,1,0,64,5,0,0,,,,,
,433,238,164,68.91%,80,6,1,73,3,0,1,,,,,
,521,80,62,77.5%,20,0,0,33,9,0,0,,,,,
,542,9,7,77.78%,2,0,0,5,0,0,0,,,,,
,543,26,11,42.31%,8,0,0,3,0,0,0,,,,,
,546,125,83,66.4%,53,3,0,24,2,0,1,,,,,
,547,2,2,100%,1,0,0,0,0,1,0,,,,,
,548,38,22,57.89%,9,4,1,7,1,0,0,,,,,
,590,42,24,57.14%,11,1,0,9,3,0,0,,,,,
,601,0,0,0%,0,0,0,0,0,0,0,,,,,
,1002,846,718,84.87%,415,66,23,189,24,1,0,,,,,
,1013,4798,4106,85.58%,2819,375,57,662,172,20,1,,,,,
,1025,4652,3512,75.49%,2306,511,79,425,182,4,5,,,,,
,1045,226,205,90.71%,125,7,9,56,6,2,0,,,,,
,1053,3531,2200,62.31%,1373,237,61,394,121,4,10,,,,,
,1103,4013,3063,76.33%,1940,338,59,564,153,7,2,,,,,
,1156,3258,2847,87.38%,1867,155,38,653,125,8,1,,,,,
,1170,4159,3619,87.02%,2270,183,51,929,184,0,2,,,,,
,1183,2855,2312,80.98%,1448,219,32,501,105,6,1,,,,,
,1205,4235,3517,83.05%,2273,233,56,803,135,14,3,,,,,
,1211,2212,1896,85.71%,1227,115,26,445,82,1,0,,,,,
,1213,1408,1190,84.52%,679,133,11,311,51,4,1,,,,,
,1222,4249,3702,87.13%,2347,225,55,920,137,14,4,,,,,
,1224,3432,3059,89.13%,2023,127,42,735,125,7,0,,,,,
,1226,3298,2871,87.05%,1889,106,34,721,109,12,0,,,,,
,1230,4294,3673,85.54%,2317,227,41,926,150,10,2,,,,,
,1238,4218,3514,83.31%,2003,225,61,1055,154,15,1,,,,,
,1240,753,682,90.57%,458,33,12,157,19,3,0,,,,,
,1245,4725,4027,85.23%,2557,244,58,985,170,13,0,,,,,
,1315,2949,2306,78.2%,1410,193,57,536,101,6,3,,,,,
,1321,1884,1657,87.95%,904,33,18,632,68,2,0,,,,,
,1400,1389,1169,84.16%,642,40,9,421,47,9,1,,,,,
,1402,422,351,83.18%,194,9,8,130,9,1,0,,,,,
,1500,439,378,86.1%,206,21,4,130,16,1,0,,,,,
,1504,1610,1367,84.91%,685,94,27,511,46,2,2,,,,,
,1505,686,579,84.4%,262,24,8,256,26,2,1,,,,,
,1507,348,316,90.8%,184,13,4,104,10,1,0,,,,,
,1515,1079,976,90.45%,555,20,6,357,33,5,0,,,,,
,1546,1118,1004,89.8%,529,29,8,407,29,2,0,,,,,
,2002,4037,2650,65.64%,1580,210,52,697,99,10,2,,,,,
,2026,4000,2653,66.33%,1636,175,43,637,142,15,5,,,,,
,2029,3566,2586,72.52%,1680,159,56,578,95,13,5,,,,,
,2077,4831,3640,75.35%,2210,262,55,907,175,20,11,,,,,
,2086,4299,3159,73.48%,2095,261,62,605,121,12,3,,,,,
,2099,3501,2379,67.95%,1692,270,38,276,82,19,2,,,,,
,2100,4047,3219,79.54%,2011,234,54,782,126,8,4,,,,,
,2114,3688,2882,78.15%,1915,253,56,545,99,11,3,,,,,
,2143,2598,1979,76.17%,1088,119,39,661,67,5,0,,,,,
,3000,3562,2645,74.26%,1514,175,43,803,106,4,0,,,,,
,3002,2692,2064,76.67%,1250,158,31,534,82,5,4,,,,,
,3004,2988,2034,68.07%,1427,192,35,277,91,9,3,,,,,
,3008,3437,2726,79.31%,1855,222,25,507,100,14,3,,,,,
,3058,4991,3693,73.99%,2479,464,45,534,145,21,5,,,,,
,3086,2724,2020,74.16%,1288,137,21,479,87,8,0,,,,,
,3097,3966,2963,74.71%,2156,349,25,308,104,17,4,,,,,
,3113,3238,2879,88.91%,2004,205,20,531,115,4,0,,,,,
,3128,3853,3393,88.06%,2327,246,26,648,134,11,1,,,,,
,3144,3833,3407,88.89%,2518,210,24,539,105,10,1,,,,,
,3151,5088,3622,71.19%,2591,521,44,307,134,14,11,,,,,
,3177,4140,3440,83.09%,2243,171,48,828,140,8,2,,,,,
,3185,2754,2156,78.29%,1072,111,31,850,84,5,3,,,,,
,3193,4348,3622,83.3%,2422,278,33,730,140,13,6,,,,,
,3240,4680,3647,77.93%,2112,307,52,1021,133,14,8,,,,,
,3248,2630,2107,80.11%,1299,204,30,470,93,9,2,,,,,
,3253,1285,979,76.19%,674,105,7,151,41,0,1,,,,,
,3259,4560,3831,84.01%,2675,315,42,644,141,12,2,,,,,
,3274,3721,2938,78.96%,1846,577,45,324,124,13,9,,,,,
,3290,3628,3212,88.53%,2302,159,42,611,93,4,1,,,,,
,3297,1623,1153,71.04%,684,79,22,319,48,1,0,,,,,
,3307,3317,2658,80.13%,1297,75,24,1134,122,4,2,,,,,
,3311,3293,2463,74.8%,1225,103,35,970,117,9,4,,,,,
,3315,2336,1658,70.98%,813,84,27,645,80,5,4,,,,,
,3322,1584,1259,79.48%,609,23,13,554,55,4,1,,,,,
,3327,2117,1625,76.76%,817,57,15,633,95,5,3,,,,,
,3329,3650,2983,81.73%,1447,93,44,1273,116,7,3,,,,,
,3330,3490,2724,78.05%,1340,75,24,1162,114,4,5,,,,,
,4009,2727,2234,81.92%,1485,423,34,190,91,9,2,,,,,
,4022,3891,2907,74.71%,1826,586,74,290,116,11,4,,,,,
,4027,2315,1851,79.96%,1171,396,28,169,72,13,2,,,,,
,4041,5109,4383,85.79%,2968,613,50,553,176,17,6,,,,,
,4049,3743,2810,75.07%,1760,514,68,377,81,5,5,,,,,
